code,title
15-1122,Analistas de Seguridad de la Información 
15-1131,Programadores de Computadoras 
15-1132,Diseñadores de Aplicaciones de Programas Software
15-1133,Diseñadores de Sistemas de Programas Software
15-1134,Diseñadores de Red 
15-1141,Administradores de Bases de Datos 
15-1142,Administradores de Redes Informáticas y Sistemas de Computación
15-1143,Diseñadores de Redes Informáticas 
15-1151,Especialistas en Apoyo Técnico para Usuarios de Computadoras
15-1152,Especialistas en Apoyo Técnico de Computadoras y Redes Informáticas
15-1199,Todas las demás Ocupaciones Relacionadas con la Computación
15-2011,Actuarios
15-2021,Matemáticos
15-2031,Analistas de Operaciones de Investigación 
15-2041,Estadísticos 
15-2091,Técnicos Matemáticos
15-2099,Todas los demás Ocupaciones Relacionadas con las Ciencias Matemáticas  
17-1011,"Arquitectos, Excepto Paisajistas y Navales"
17-1012,Arquitectos Paisajistas
17-1021,Cartógrafos y Fotogrametristas 
17-1022,Agrimensores 
17-2011,Ingenieros Aeroespaciales 
17-2021,Ingenieros Agrónomos 
17-2031,Ingenieros Biomédicos 
17-2041,Ingenieros Químicos 
17-2051,Ingenieros Civiles 
17-2061,Ingenieros de Computadoras
17-2071,Ingenieros Eléctricos
17-2072,"Ingenieros Electrónicos, Excepto de Computadoras"
17-2081,Ingenieros Ambientales
17-2111,"Ingenieros Sanitarios y de Seguridad, Excepto Ingenieros e Inspectores de Seguridad Minera "
17-2112,Ingenieros Industriales 
17-2121,Ingenieros Marítimos y Arquitectos Navales 
17-2131,Ingenieros de Materiales 
17-2141,Ingenieros Mecánicos 
17-2151,"Ingenieros de Minería y Geología, Incluye a los Ingenieros de Seguridad Minera"
17-2161,Ingenieros Nucleares
17-2171,Ingenieros Petroleros
17-2199,Todos los demás Ingenieros
17-3011,Delineantes de Planos Arquitectónicos y Civiles
17-3012,Delineantes de Sistemas Eléctricos y Electrónicos
17-3013,Delineantes de Sistemas Mecánicos
17-3019,Todos los demás Delineantes
17-3021,Técnicos en Ingeniería y Operaciones Aeroespaciales
17-3022,Técnicos en Ingeniería Civil
17-3023,Técnicos en Ingeniería Eléctrica y Electrónica
17-3024,Técnicos en Electromecánica 
17-3025,Técnicos en Ingeniería Ambiental 
17-3026,Técnicos en Ingeniería Industrial 
17-3027,Técnicos en Ingeniería Mecánica 
17-3029,"Todos los demás Técnicos en Ingeniería, Excepto Delineantes"
17-3031,Técnicos en Agrimensura y Cartografía
19-1011,Científicos Especializados en Animales
19-1012,Científicos y Tecnólogos Especializados en Alimentos
19-1013,Científicos Especializados en Suelos y Botánica
19-1021,Bioquímicos y Biofísicos
19-1022,Microbiólogos
19-1023,Zoólogos y Biólogos de la Fauna Silvestre
19-1029,Todos los demás Científicos Especializados en Biología
19-1031,Científicos Especializados en Conservación
19-1032,Silvicultores 
19-1041,Epidemiólogos   
19-1042,"Científicos Médicos, Excepto Epidemiólogos"
19-1099,Todos los demás Científicos Especializados en Ciencias Biológicas
19-2011,Astrónomos 
19-2012,Físicos 
19-2021,Científicos Atmosféricos y Espaciales 
19-2031,Químicos 
19-2032,Científicos de Materiales 
19-2041,"Científicos y Especialistas en Medioambiente, Incluye Salud"
19-2042,"Científicos de la Geociencia, Excepto Hidrólogos y Geógrafos"
19-2043,Hidrólogos
19-2099,Todos los demás Científicos Físicos
19-3011,Economistas
19-3022,Investigadores de Encuestas 
19-3031,"Psicólogos Clínicos, de Consejería y Escolares "
19-3032,Psicólogos Industriales-Organizacionales 
19-3039,Todos los demás Psicólogos 
19-3041,Sociólogos 
19-3051,Planificadores Urbanos y Regionales 
19-3091,Antropólogos y Arqueólogos 
19-3092,Geógrafos
19-3093,Historiadores
19-3094,Científicos Políticos
19-3099,Todos los demás Científicos Sociales y Trabajadores Relacionados
19-4011,Técnicos en Ciencias Agrícolas y de los Alimentos
19-4021,Técnicos en Biología
19-4031,Técnicos Químicos
19-4041,Técnicos en Exploración Geológica y Petrolera
19-4051,Técnicos Nucleares
19-4061,Asistentes de Investigación en Ciencias Sociales
19-4091,"Técnicos en Ciencias Ambientales y de Protección, Incluye Salud "
19-4092,Técnicos en Ciencias Forenses 
19-4093,Técnicos Forestales y de Conservación 
19-4099,"Todos los demás Técnicos en Ciencias Biológicas, Físicas y Sociales"
21-1011,Consejeros Especializados en Abuso de Sustancias Controladas y Trastornos del Comportamiento
21-1012,"Consejeros Educativos, de Orientación, Escolares y Vocacionales"
21-1013,Terapeutas de Matrimonios y Familias
21-1014,Consejeros de Salud Mental
21-1015,Consejeros de Rehabilitación
21-1019,Todos los demás Consejeros
21-1021,"Trabajadores Sociales Especializados en Temas de la Infancia, Familiares y Escolares"
21-1022,Trabajadores Sociales de Cuidado de la Salud
21-1023,Trabajadores Sociales Especializados en Salud Mental y Abuso de Sustancias 
21-1029,Todos los demás Trabajadores Sociales  
21-1091,Educadores de la Salud
21-1092,Oficiales de Libertad Condicional y Especialistas en Tratamiento Correccional
21-1093,Asistentes de Servicios Sociales y Humanos 
21-1094,Trabajadores de la Salud para la Comunidad 
21-1099,Todos los demás Especialistas en Servicios Comunitarios y Sociales
21-2011,Clérigos
21-2021,Directores de Educación y Actividades Religiosas
21-2099,Todos los demás Trabajadores Religiosos
23-1011,Abogados 
23-1012,Oficiales Jurídicos 
23-1021,"Jueces de Derecho Administrativo, Adjudicadores y Oficiales de Audiencia"
23-1022,"Árbitros, Mediadores y Conciliadores"
23-1023,"Jueces, Jueces Magistrados y Magistrados"
23-2011,Asistentes Legales y Asistentes de Abogados
23-2091,Transcriptores Judiciales 
23-2093,"Examinadores, Analistas de Títulos y Gestores de Búsqueda de Títulos "
23-2099,Todos los demás Trabajadores de Asistencia Legal 
25-1011,Profesores de Estudios Comerciales de Nivel Postsecundario 
25-1021,Profesores de Ciencias de la Computación de Nivel Postsecundario
25-1022,Profesores de Ciencias Matemáticas de Nivel Postsecundario
25-1031,Profesores de Arquitectura de Nivel Postsecundario
25-1032,Profesores de Ingeniería de Nivel Postsecundario
25-1041,Profesores de Ciencias Agrarias de Nivel Postsecundario
25-1042,Profesores de Ciencias Biológicas de Nivel Postsecundario
25-1043,Profesores de Silvicultura y Ciencias de la Conservación de Nivel Postsecundario
25-1051,"Profesores de Ciencias Atmosféricas, Geológicas, Oceanográficas y Espaciales de Nivel Postsecundario"
25-1052,Profesores de Química de Nivel Postsecundario
25-1053,Profesores de Ciencias Ambientales de Nivel Postsecundario
25-1054,Profesores de Física de Nivel Postsecundario
25-1061,Profesores de Antropología y Arqueología de Nivel Postsecundario
25-1062,"Profesores de Estudios Regionales, Étnicos y Culturales de Nivel Postsecundario"
25-1063,Profesores de Economía de Nivel Postsecundario
25-1064,Profesores de Geografía de Nivel Postsecundario
25-1065,Profesores de Ciencias Políticas de Nivel Postsecundario
25-1066,Profesores de Psicología de Nivel Postsecundario
25-1067,Profesores de Sociología de Nivel Postsecundario   
25-1069,Todos los demás Profesores de Ciencias Sociales de Nivel Postsecundario
25-1071,Profesores de Especialidades de Salud de Nivel Postsecundario
25-1072,Profesores e Instructores de Enfermería de Nivel Postsecundario
25-1081,Profesores de Educación de Nivel Postsecundario
25-1082,Profesores de Bibliotecología de Nivel Postsecundario
25-1111,Profesores de Justicia Criminal y Aplicación y Cumplimiento de la Ley de Nivel Postsecundario
25-1112,Profesores de Derecho de Nivel Postsecundario
25-1113,Profesores de Trabajo Social de Nivel Postsecundario
25-1121,"Profesores de Arte, Teatro y Música de Nivel Postsecundario"
25-1122,Profesores de Comunicaciones de Nivel Postsecundario
25-1123,Profesores de Inglés y Literatura de Nivel Postsecundario 
25-1124,Profesores de Lengua y Literatura Extranjeras de Nivel Postsecundario 
25-1125,Profesores de Historia de Nivel Postsecundario 
25-1126,Profesores de Filosofía y Religión de Nivel Postsecundario 
25-1191,Ayudantes de Cátedra Graduados 
25-1192,Profesores de Economía Doméstica de Nivel Postsecundario
25-1193,Profesores de Estudios de Recreación y Acondicionamiento Físico de Nivel Postsecundario
25-1194,Profesores de Educación Vocacional de Nivel Postsecundario
25-1199,Todos los demás Profesores de Nivel Postsecundario
25-2011,"Maestros de Nivel Preescolar, Excepto de Educación Especial"
25-2012,"Maestros de Jardín de Infantes, Excepto de Educación Especial"
25-2021,"Maestros de Escuela Primaria, Excepto de Educación Especial"
25-2022,"Maestros de Escuela de Nivel Medio, Excepto de Educación Especial y de Educación Profesional/Técnica"
25-2023,Maestros de Educación Profesional/Técnica de Escuela de Nivel Medio
25-2031,"Maestros de Escuela Secundaria, Excepto de Educación Especial y Educación Profesional/Técnica"
25-2032,Maestros de Educación Profesional/Técnica de Escuela Secundaria
25-2051,Maestros de Educación Especial de Nivel Preescolar
25-2052,Maestros de Educación Especial de Jardín de Infantes y Escuela Primaria
25-2053,Maestros de Educación Especial de Escuela de Nivel Medio
25-2054,Maestros de Educación Especial de Escuela Secundaria
25-2059,Todos los demás Maestros de Educación Especial   
25-3011,"Maestros e Instructores de Educación Básica, Secundaria y de Alfabetización para Adultos "
25-3021,Maestros de Educación de Enriquecimiento Personal 
25-3099,Todos los demás Maestros e Instructores 
25-4011,Archiveros 
25-4012,Curadores 
25-4013,Técnicos y Conservadores de Museo 
25-4021,Bibliotecarios 
25-4031,Técnicos de Biblioteca 
25-9011,Especialistas en Colecciones de Materiales Audiovisuales y Multimedios
25-9021,Asesores en Gerencia de Granjas y Hogares
25-9031,Coordinadores Educativos
25-9041,Maestros Ayudantes
25-9099,"Todos los demás Trabajadores de Ocupaciones Relacionadas con la Educación, Capacitación y Bibliotecología"
27-1011,Directores de Arte 
27-1012,Artesanos 
27-1013,"Artistas de Bellas Artes, Incluye Pintores, Escultores e Ilustradores"
27-1014,Artistas y Animadores de Multimedios de Difusión
27-1019,Todos los demás Artistas y Trabajadores Relacionados 
27-1021,Diseñadores Comerciales e Industriales 
27-1022,Diseñadores de Moda 
27-1023,Diseñadores Florales 
27-1024,Diseñadores Gráficos 
27-1025,Diseñadores de Interiores 
27-1026,Diseñadores de Exhibidores de Mercadería y Escaparatistas
27-1027,Escenógrafos y Diseñadores de Exposiciones
27-1029,Todos los demás Diseñadores 
27-2011,Actores 
27-2012,Productores y Directores 
27-2021,Competidores Atléticos y Deportivos 
27-2022,Entrenadores y Buscadores de Talentos Deportivos
27-2023,"Árbitros, Referís y Otros Oficiales Deportivo"
27-2031,Bailarines
27-2032,Coreógrafos
27-2041,Directores y Compositores de Música
27-2042,Músicos y Cantantes
27-2099,"Todos los demás Animadores, Intérpretes Artísticos, Deportistas y Trabajadores Relacionados"
27-3011,Anunciadores de Radio y Televisión 
27-3012,Anunciadores de Sistema Público de Altavoces y Otros Anunciadores 
27-3021,Analistas de Emisiones de Noticias 
27-3022,Reporteros y Corresponsales 
27-3031,Especialistas en Relaciones Públicas 
27-3041,Editores 
27-3042,Redactores Técnicos  
27-3043,Escritores y Autores
27-3091,Intérpretes y Traductores 
27-3099,Todos los demás Trabajadores de Medios de Difusión y Comunicación 
27-4011,Técnicos de Equipos de Audio y Video 
27-4012,Técnicos de Difusión 
27-4013,Operadores de Radio 
27-4014,Técnicos de Ingeniería de Sonido 
27-4021,Fotógrafos 
27-4031,"Operadores de Cámara de Televisión, Video y Cine"
27-4032,Editores de Películas Cinematográficas y Video
27-4099,Todos los demás Trabajadores de Equipos de Medios de Difusión y Comunicación
29-1011,Quiroprácticos
29-1021,"Dentistas, Generales"
29-1022,Cirujanos Bucales y Maxilofaciales
29-1023,Ortodoncistas 
29-1024,Prostodoncistas 
29-1029,"Dentistas, Todos los demás Especialistas "
29-1031,Dietistas y Nutricionistas 
29-1041,Optómetras
29-1051,Farmacéuticos
29-1061,Anestesiólogos 
29-1062,Médicos Generales y de Familia 
29-1063,"Internistas, Generales "
29-1064,Obstetras y Ginecólogos 
29-1065,"Pediatras, Generales "
29-1066,Psiquiatras 
29-1067,Cirujanos 
29-1069,Todos los demás Médicos y Cirujanos
29-1071,Asistentes Médicos
29-1081,Podiatras 
29-1122,Terapistas Ocupacionales 
29-1123,Fisioterapeutas 
29-1124,Radioterapistas 
29-1125,Terapistas Recreativos 
29-1126,Terapistas Respiratorios 
29-1127,Patólogos del Habla y el Lenguaje
29-1128,Fisiólogos de Ejercicios
29-1129,Todos los demás Terapistas
29-1131,Veterinarios
29-1141,Enfermeros Graduados
29-1151,Enfermeros Anestesistas
29-1161,Enfermeros de Partos
29-1171,Enfermeros Médicos 
29-1181,Audiólogos 
29-1199,Todos los demás Profesionales de Diagnóstico y Tratamiento Médico 
29-2011,Tecnólogos de Laboratorio Médico y Clínico 
29-2012,Técnicos de Laboratorio Médico y Clínico 
29-2021,Higienistas Dentales 
29-2031,Tecnólogos y Técnicos Cardiovasculares   
29-2032,Sonografistas de Diagnóstico Médico
29-2033,Tecnólogos de Medicina Nuclear 
29-2034,Tecnólogos de Radiología 
29-2035,Tecnólogos Especializados en Imágenes de Resonancia Magnética
29-2041,Técnicos de Emergencias Médicas y Paramédicos
29-2051,Técnicos en Dietética
29-2052,Técnicos de Farmacia
29-2053,Técnicos Psiquiátricos
29-2054,Técnicos de Terapia Respiratoria
29-2055,Tecnólogos Quirúrgicos 
29-2056,Tecnólogos y Técnicos de Veterinaria 
29-2057,Técnicos de Medicina Oftalmológica 
29-2061,Enfermeros Prácticos y Vocacionales con Licencia
29-2071,Técnicos de Registros Médicos e Información de Salud
29-2081,"Ópticos, Despacho"
29-2091,Ortopedas y Protésicos
29-2092,Especialistas en Aparatos Auditivos
29-2099,Todos los demás Tecnólogos y Técnicos de Salud
29-9011,Especialistas en Salud y Seguridad Ocupacional
29-9012,Técnicos en Salud y Seguridad Ocupacional
29-9091,Instructores Atléticos
29-9092,Consejeros Genéticos 
29-9099,Todos los demás Trabajadores de Ocupaciones Profesionales y Técnicas Relacionadas con el Cuidado de la Salud
31-1011,Auxiliares de Atención en el Hogar
31-1013,Auxiliares de Psiquiatría
31-1014,Asistentes de Enfermería
31-1015,Camilleros
31-2011,Asistentes de Terapia Ocupacional
31-2012,Auxiliares de Terapia Ocupacional
31-2021,Asistentes de Fisioterapeutas
31-2022,Auxiliares de Fisioterapeutas 
31-9011,Terapistas de Masajes 
31-9091,Asistentes Dentales
31-9092,Ayudantes de Médicos
31-9093,Preparadores de Equipos Médicos
31-9094,Transcriptores Médicos 
31-9095,Auxiliares de Farmacia 
31-9096,Asistentes de Veterinarios y Cuidadores de Animales de Laboratorio
31-9097,Flebotomistas 
31-9099,Todos los demás Trabajadores de Ocupaciones de Apoyo Relacionadas con el Cuidado de la Salud
33-1011,Supervisores Directos de Oficiales Correccionales
33-1012,Supervisores Directos de Policías y Detectives
33-1021,Supervisores Directos de Trabajadores de Extinción y Prevención de Incendios   
33-1099,Todos los demás Supervisores Directos de Trabajadores de Servicios de Protección
33-2011,Bomberos 
33-2021,Inspectores e Investigadores de Incendios 
33-2022,Inspectores y Especialistas en Prevención de Incendios Forestales
33-3011,Alguaciles
33-3012,Oficiales Correccionales y Carceleros
33-3021,Detectives e Investigadores Criminales
33-3031,Guardianes de Caza y Pesca
33-3041,Guardias Controladores de Reglas de Estacionamiento
33-3051,Agentes y Patrulleros Policiales 
33-3052,Policías de Tránsito y Policías Ferroviarios 
33-9011,Trabajadores de Control de Animales 
33-9021,Detectives e Investigadores Privados
33-9031,Agentes de Vigilancia de Salas de Juego e Investigadores de Juego
33-9032,Guardias de Seguridad
33-9091,Guardias de Cruce Peatonal y Vehicular
33-9092,"Guardavidas, Patrullas de Esquí y Otros Trabajadores de Servicios de Protección en Espacios Recreativos"
33-9093,Agentes de la Seguridad en el Transporte
33-9099,Todos los demás Trabajadores de Servicios de Protección
35-1011,Chefs y Primeros Chefs
35-1012,Supervisores Directos de Trabajadores de Preparación y Servicio de Comidas 
35-2011,Cocineros de Comidas Rápidas 
35-2012,Cocineros de Institución y Cafetería
35-2013,Cocineros de Residencias Privadas
35-2014,Cocineros de Restaurante
35-2015,Cocineros de Platos de Preparación Sencilla
35-2019,Todos los demás Cocineros
35-2021,Trabajadores de Preparación de Comidas
35-3011,Cantineros
35-3021,"Trabajadores de Tareas Combinadas de Preparación y Servicio de Comidas, Incluye Comidas Rápidas "
35-3022,"Dependientes de Mostrador, Cafetería, Concesión de Servicio de Comidas y Establecimiento de Servicio de Café"
35-3031,Camareros y Camareras
35-3041,"Servidores de Comidas, Excepto Restaurante "
35-9011,"Auxiliares de Salón Comedor y Cafetería, y Ayudantes de Cantineros"
35-9021,Lavaplatos 
35-9031,"Anfitriones de Restaurante, Bar y Establecimiento de Servicio de Café"
35-9099,Todos los demás Trabajadores Relacionados con la Preparación y Servicio de Comidas
37-1011,Supervisores Directos de Empleados Domésticos y de Limpieza
37-1012,"Supervisores Directos de Trabajadores de Jardinería, Mantenimiento de Césped y Terrenos   "
37-2011,"Ordenanzas y Empleados de Limpieza, Excepto Empleados Domésticos y Personal de Limpieza de Casas Privadas"
37-2012,Empleados Domésticos y Personal de Limpieza de Casas Privadas
37-2019,Todos los demás Trabajadores de Limpieza de Edificios
37-2021,Trabajadores de Control y Exterminación de Plagas
37-3011,Trabajadores de Jardinería y Áreas Verdes
37-3012,"Operadores, Fumigadores y Aplicadores de Pesticidas, Vegetación"
37-3013,Podadores y Cortadores de Árboles 
37-3019,Todos los demás Trabajadores de Mantenimiento de Áreas Verdes
39-1011,Supervisores de Salas de Juego
39-1012,Supervisores de Máquinas Tragamonedas 
39-1021,Supervisores Directos de Trabajadores de Servicios Personales
39-2011,Adiestradores de Animales 
39-2021,"Cuidadores de Animales, Excepto de Animales de Granja "
39-3011,Operadores de Mesas de Juego 
39-3012,Receptores y Corredores de Apuestas de Juego y Deportes
39-3019,Todos los demás Trabajadores de Servicios de Juego
39-3021,Operadores de Proyectores de Cine 
39-3031,Acomodadores y Controladores de Boletos de Admisión
39-3091,Asistentes de Establecimientos de Diversión y Recreación
39-3092,Asistentes de Vestuario
39-3093,"Asistentes del Área de Armarios, Guardarropa y Vestidor"
39-3099,Todos los demás Asistentes de Establecimientos de Entretenimiento y Trabajadores Relacionados
39-4011,Embalsamadores
39-4021,Asistentes de Servicios Fúnebres
39-4031,"Enterradores, Sepultureros y Directores de Ceremonias Fúnebres"
39-5011,Barberos 
39-5012,"Peluqueros, Estilistas de Cabello y Cosmetólogos"
39-5091,"Maquilladores Artísticos, Teatrales y de Actores"
39-5092,Manicuristas y Pedicuristas
39-5093,Lavadores de Cabello 
39-5094,Especialistas en Cuidados de la Piel 
39-6011,Maleteros y Botones
39-6012,Porteros
39-7011,Guías y Escoltas de Excursiones
39-7012,Guías de Viajes
39-9011,Trabajadores de Cuidado de Niños
39-9021,Auxiliares de Cuidado Personal 
39-9031,Entrenadores de Acondicionamiento Físico e Instructores de Ejercicios Aeróbicos
39-9032,Trabajadores de Actividades Recreativas
39-9041,Coordinadores de Residencias Comunitarias   
39-9099,Todos los demás Trabajadores de Ocupaciones Relacionadas con el Cuidado y Servicio Personal
41-1011,Supervisores Directos de Trabajadores de Ventas Minoristas
41-1012,"Supervisores Directos de Trabajadores de Ventas, Excepto Ventas Minoristas"
41-2011,Cajeros
41-2012,Encargados de Cambio y Cajeros de Cabina de Salas de Juego
41-2021,Empleados de Mostrador y de Alquiler
41-2022,Vendedores de Piezas 
41-2031,Vendedores Minoristas 
41-3011,Agentes de Venta de Publicidad 
41-3021,Agentes de Venta de Seguros
41-3031,"Agentes de Venta de Valores, Productos Básicos y Servicios Financieros "
41-3041,Agentes de Viajes 
41-3099,Todos  los demás Representantes de Venta de Servicios 
41-4011,Representantes de Ventas Mayoristas y de Productos Manufacturados Técnicos y Científicos
41-4012,"Representantes de Ventas Mayoristas y de Productos Manufacturados, Excepto de Productos Técnicos y Científicos"
41-9011,Demostradores y Promotores de Producto 
41-9012,Modelos 
41-9021,Corredores de Bienes Raíces 
41-9022,Agentes  de Venta de Bienes Raíces
41-9031,Ingenieros de Ventas
41-9041,Representantes de Telemercadeo
41-9091,"Trabajadores de Venta a Domicilio, Vendedores de Periódicos y Ambulantes y Trabajadores Relacionados"
41-9099,Todos los demás Trabajadores de Ventas y Ocupaciones Relacionadas
43-1011,Supervisores Directos de Empleados de Oficina y de Apoyo Administrativo
43-2011,"Operadores de Sistema Telefónico Central, Incluye Servicio de Contestación de Llamadas"
43-2021,Operadores Telefónicos 
43-2099,Todos los demás Operadores de Equipos de Comunicaciones
43-3011,Cobradores de Cuentas y Facturas
43-3021,Oficinistas de Facturación y Registro de Facturas
43-3031,"Empleados de Teneduría de Libros, Contabilidad y Auditoría"
43-3041,Tesoreros de Salas de Juego
43-3051,Oficinistas de Nómina y de Registro de Horas Trabajadas
43-3061,Oficinistas Auxiliares de Compras
43-3071,Cajeros de Instituciones Financieras
43-3099,Todos los demás Empleados de Oficina de Servicios Financieros 
43-4011,Oficinistas de Corretaje 
43-4021,Oficinistas de Correspondencia
43-4031,"Oficinistas Judiciales, Municipales y de Otorgamiento de Licencias  "
43-4041,"Autorizadores, Verificadores y Empleados de Crédito"
43-4051,Representantes del Servicio al Cliente
43-4061,Entrevistadores de Determinación de Elegibilidad para Programas del Gobierno
43-4071,Oficinistas de Archivo
43-4081,"Empleados de Recepción de Hotel, Motel y Centro Turístico"
43-4111,"Entrevistadores, Excepto de Determinación de Elegibilidad y Otorgamiento de Préstamos"
43-4121,Asistentes de Oficina de Biblioteca
43-4131,Entrevistadores y Empleados de Préstamos Financieros
43-4141,Oficinistas de Apertura de Cuentas
43-4151,Empleados de Órdenes de Pedido
43-4161,"Asistentes de Recursos Humanos, Excepto de Nómina y de Registro de Horas Trabajadas"
43-4171,Recepcionistas y Oficinistas de Información 
43-4181,Agentes de Reservación y Venta de Boletos de Transporte y Empleados de Oficina de Viajes
43-4199,Todos los demás Empleados de Información y Registro
43-5011,Agentes de Carga y Flete
43-5021,Mensajeros y Repartidores
43-5031,"Despachadores de Policía, Bomberos y Ambulancia"
43-5032,"Despachadores, Excepto Policía, Bomberos y Ambulancia"
43-5041,Lectores de Medidores de Servicios Públicos
43-5051,Oficinistas del Servicio Postal
43-5052,Carteros del Servicio Postal
43-5053,Clasificadores y Procesadores de Correo y Operadores de Máquinas de Procesamiento de Correo del Servicio Postal
43-5061,"Oficinistas de Producción, Planificación y Expedición"
43-5071,"Oficinistas de Despacho, Recibo y Tráfico "
43-5081,Oficinistas de Inventario y Preparadores de Órdenes de Pedido
43-5111,"Controladores y Verificadores de Peso, Medidas y Muestras, Mantenimiento de Registros"
43-6011,Secretarios Ejecutivos y Asistentes Administrativos Ejecutivos
43-6012,Secretarios Legales
43-6013,Secretarios de Médicos
43-6014,"Secretarios y Asistentes Administrativos, Excepto Legales, Médicos y Ejecutivos"
43-9011,Operadores de Computadora
43-9021,Operadores de Equipos de Ingreso de Datos 
43-9022,Procesadores de Texto y Dactilógrafos 
43-9031,Autoeditores
43-9041,Oficinistas de Procesamiento de Reclamaciones y Pólizas de Seguro
43-9051,"Empleados de Correspondencia y Operadores de Máquinas de Correspondencia, Excepto del Servicio Postal"
43-9061,"Empleados de Oficina, Tareas Generales  "
43-9071,"Operadores de Máquinas de Oficina, Excepto Computadoras"
43-9081,Correctores de Pruebas y Marcadores de Copias
43-9111,Asistentes de Estadísticas
43-9199,Todos los demás Empleados de Oficina y de Apoyo Administrativo
45-1011,"Supervisores Directos de Trabajadores de Ocupaciones Relacionadas con la Agricultura, la Pesca y la Silvicultura"
45-2011,Inspectores Agrícolas
45-2021,Criadores de Animales
45-2041,Evaluadores y Clasificadores de Productos Agrícolas
45-2091,Operadores de Equipo Agrícola
45-2092,"Trabajadores y Jornaleros Agrícolas, de Cultivos, de Viveros y de Invernaderos"
45-2093,"Trabajadores Agrícolas de Animales de Granja, Ganado y Animales Acuáticos"
45-2099,Todos los demás Trabajadores Agrícolas 
45-3011,Pescadores y Trabajadores Relacionados con la Pesca
45-3021,Cazadores y Tramperos de Animales
45-4011,Trabajadores Forestales y de Conservación
45-4021,Derribadores
45-4022,Operadores de Equipo de Tala Forestal
45-4023,Evaluadores y Tasadores de Árboles Talados
45-4029,Todos los demás Trabajadores de Tala Forestal
47-1011,Supervisores Directos de Trabajadores de Oficios de Construcción y Extracción
47-2011,Caldereros
47-2021,Albañiles de Ladrillos y Bloques
47-2022,Albañiles de Piedras
47-2031,Carpinteros 
47-2041,Instaladores de Alfombras 
47-2042,"Instaladores de Pisos, Excepto Alfombras, Pisos de Madera y Losas "
47-2043,Pulidores y Terminadores de Pisos 
47-2044,Instaladores de Losas y Mármol
47-2051,Albañiles de Trabajos en Cemento y Terminadores de Concreto
