census2010,title,soc2010,soc2010_title
4320,First-line supervisors of personal service workers,39-1021,First-Line Supervisors of Personal Service Workers
4340,Animal trainers,39-2011,Animal Trainers
4350,Nonfarm animal caretakers,39-2021,Nonfarm Animal Caretakers
4400,Gaming services workers,39-3011,Gaming Dealers
4400,Gaming services workers,39-3012,Gaming and Sports Book Writers and Runners
4400,Gaming services workers,39-3019,"Gaming Service Workers, All Other"
4410,Motion picture projectionists,39-3021,Motion Picture Projectionists
4420,"Ushers, lobby attendants, and ticket takers",39-3031,"Ushers, Lobby Attendants, and Ticket Takers"
4430,Miscellaneous entertainment attendants and related workers,39-3091,Amusement and Recreation Attendants
4430,Miscellaneous entertainment attendants and related workers,39-3092,Costume Attendants
4430,Miscellaneous entertainment attendants and related workers,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants"
4430,Miscellaneous entertainment attendants and related workers,39-3099,"Entertainment Attendants and Related Workers, All Other"
4460,Embalmers and funeral attendants,39-4011,Embalmers
4460,Embalmers and funeral attendants,39-4021,Funeral Attendants
4465,"Morticians, undertakers, and funeral directors",39-4031,"Morticians, Undertakers, and Funeral Directors"
4500,Barbers,39-5011,Barbers
4510,"Hairdressers, hairstylists, and cosmetologists",39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
4520,Miscellaneous personal appearance workers,39-5091,"Makeup Artists, Theatrical and Performance"
4520,Miscellaneous personal appearance workers,39-5092,Manicurists and Pedicurists
4520,Miscellaneous personal appearance workers,39-5093,Shampooers
4520,Miscellaneous personal appearance workers,39-5094,Skincare Specialists
4530,"Baggage porters, bellhops, and concierges",39-6011,Baggage Porters and Bellhops
4530,"Baggage porters, bellhops, and concierges",39-6012,Concierges
4540,Tour and travel guides,39-7011,Tour Guides and Escorts
4540,Tour and travel guides,39-7012,Travel Guides
4600,Childcare workers,39-9011,Childcare Workers
4610,Personal care aides,39-9021,Personal Care Aides
4620,Recreation and fitness workers,39-9031,Fitness Trainers and Aerobics Instructors
4620,Recreation and fitness workers,39-9032,Recreation Workers
4640,Residential advisors,39-9041,Residential Advisors
4650,"Personal care and service workers, all other",39-9099,"Personal Care and Service Workers, All Other"
4700,First-line supervisors of retail sales workers,41-1011,First-Line Supervisors of Retail Sales Workers
4710,First-line supervisors of non-retail sales workers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
4720,Cashiers,41-2011,Cashiers
4720,Cashiers,41-2012,Gaming Change Persons and Booth Cashiers
4740,Counter and rental clerks,41-2021,Counter and Rental Clerks
4750,Parts salespersons,41-2022,Parts Salespersons
4760,Retail salespersons,41-2031,Retail Salespersons
4800,Advertising sales agents,41-3011,Advertising Sales Agents
4810,Insurance sales agents,41-3021,Insurance Sales Agents
4820,"Securities, commodities, and financial services sales agents",41-3031,"Securities, Commodities, and Financial Services Sales Agents"
4830,Travel agents,41-3041,Travel Agents
4840,"Sales representatives, services, all other",41-3099,"Sales Representatives, Services, All Other"
4850,"Sales representatives, wholesale and manufacturing",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4850,"Sales representatives, wholesale and manufacturing",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4900,"Models, demonstrators, and product promoters",41-9011,Demonstrators and Product Promoters
4900,"Models, demonstrators, and product promoters",41-9012,Models
4920,Real estate brokers and sales agents,41-9021,Real Estate Brokers
4920,Real estate brokers and sales agents,41-9022,Real Estate Sales Agents
4930,Sales engineers,41-9031,Sales Engineers
4940,Telemarketers,41-9041,Telemarketers
4950,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
4965,"Sales and related workers, all other",41-9099,"Sales and Related Workers, All Other"
5000,First-line supervisors of office and administrative support workers,43-1011,First-Line Supervisors of Office and Administrative Support Workers
5010,"Switchboard operators, including answering service",43-2011,"Switchboard Operators, Including Answering Service"
5020,Telephone operators,43-2021,Telephone Operators
5030,"Communications equipment operators, all other",43-2099,"Communications Equipment Operators, All Other"
5100,Bill and account collectors,43-3011,Bill and Account Collectors
5110,Billing and posting clerks,43-3021,Billing and Posting Clerks
5120,"Bookkeeping, accounting, and auditing clerks",43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
5130,Gaming cage workers,43-3041,Gaming Cage Workers
5140,Payroll and timekeeping clerks,43-3051,Payroll and Timekeeping Clerks
5150,Procurement clerks,43-3061,Procurement Clerks
5160,Tellers,43-3071,Tellers
5165,"Financial clerks, all other",43-3099,"Financial Clerks, All Other"
5200,Brokerage clerks,43-4011,Brokerage Clerks
5210,Correspondence clerks,43-4021,Correspondence Clerks
5220,"Court, municipal, and license clerks",43-4031,"Court, Municipal, and License Clerks"
5230,"Credit authorizers, checkers, and clerks",43-4041,"Credit Authorizers, Checkers, and Clerks"
5240,Customer service representatives,43-4051,Customer Service Representatives
5250,"Eligibility interviewers, government programs",43-4061,"Eligibility Interviewers, Government Programs"
5260,File clerks,43-4071,File Clerks
5300,"Hotel, motel, and resort desk clerks",43-4081,"Hotel, Motel, and Resort Desk Clerks"
5310,"Interviewers, except eligibility and loan",43-4111,"Interviewers, Except Eligibility and Loan"
5320,"Library assistants, clerical",43-4121,"Library Assistants, Clerical"
5330,Loan interviewers and clerks,43-4131,Loan Interviewers and Clerks
5340,New accounts clerks,43-4141,New Accounts Clerks
5350,Order clerks,43-4151,Order Clerks
5360,"Human resources assistants, except payroll and timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
5400,Receptionists and information clerks,43-4171,Receptionists and Information Clerks
5410,Reservation and transportation ticket agents and travel clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
5420,"Information and record clerks, all other",43-4199,"Information and Record Clerks, All Other"
5500,Cargo and freight agents,43-5011,Cargo and Freight Agents
5510,Couriers and messengers,43-5021,Couriers and Messengers
5520,Dispatchers,43-5031,"Police, Fire, and Ambulance Dispatchers"
5520,Dispatchers,43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
5530,"Meter readers, utilities",43-5041,"Meter Readers, Utilities"
5540,Postal service clerks,43-5051,Postal Service Clerks
5550,Postal service mail carriers,43-5052,Postal Service Mail Carriers
5560,"Postal service mail sorters, processors, and processing machine operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
5600,"Production, planning, and expediting clerks",43-5061,"Production, Planning, and Expediting Clerks"
5610,"Shipping, receiving, and traffic clerks",43-5071,"Shipping, Receiving, and Traffic Clerks"
5620,Stock clerks and order fillers,43-5081,Stock Clerks and Order Fillers
5630,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
5700,Secretaries and administrative assistants,43-6011,Executive Secretaries and Executive Administrative Assistants
5700,Secretaries and administrative assistants,43-6012,Legal Secretaries
5700,Secretaries and administrative assistants,43-6013,Medical Secretaries
5700,Secretaries and administrative assistants,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
5800,Computer operators,43-9011,Computer Operators
5810,Data entry keyers,43-9021,Data Entry Keyers
5820,Word processors and typists,43-9022,Word Processors and Typists
5830,Desktop publishers,43-9031,Desktop Publishers
5840,Insurance claims and policy processing clerks,43-9041,Insurance Claims and Policy Processing Clerks
5850,"Mail clerks and mail machine operators, except postal service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
5860,"Office clerks, general",43-9061,"Office Clerks, General"
5900,"Office machine operators, except computer",43-9071,"Office Machine Operators, Except Computer"
5910,Proofreaders and copy markers,43-9081,Proofreaders and Copy Markers
5920,Statistical assistants,43-9111,Statistical Assistants
5940,"Office and administrative support workers, all other",43-9199,"Office and Administrative Support Workers, All Other"
6005,"First-line supervisors of farming, fishing, and forestry workers",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
6010,Agricultural inspectors,45-2011,Agricultural Inspectors
6020,Animal breeders,45-2021,Animal Breeders
6040,"Graders and sorters, agricultural products",45-2041,"Graders and Sorters, Agricultural Products"
6050,Miscellaneous agricultural workers,45-2091,Agricultural Equipment Operators
6050,Miscellaneous agricultural workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
6050,Miscellaneous agricultural workers,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
6050,Miscellaneous agricultural workers,45-2099,"Agricultural Workers, All Other"
6100,Fishers and related fishing workers,45-3011,Fishers and Related Fishing Workers
6110,Hunters and trappers,45-3021,Hunters and Trappers
6120,Forest and conservation workers,45-4011,Forest and Conservation Workers
6130,Logging workers,45-4021,Fallers
6130,Logging workers,45-4022,Logging Equipment Operators
6130,Logging workers,45-4023,Log Graders and Scalers
6130,Logging workers,45-4029,"Logging Workers, All Other"
6200,First-line supervisors of construction trades and extraction workers,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
6210,Boilermakers,47-2011,Boilermakers
6220,"Brickmasons, blockmasons, and stonemasons",47-2021,Brickmasons and Blockmasons
6220,"Brickmasons, blockmasons, and stonemasons",47-2022,Stonemasons
6230,Carpenters,47-2031,Carpenters
6240,"Carpet, floor, and tile installers and finishers",47-2041,Carpet Installers
6240,"Carpet, floor, and tile installers and finishers",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
6240,"Carpet, floor, and tile installers and finishers",47-2043,Floor Sanders and Finishers
6240,"Carpet, floor, and tile installers and finishers",47-2044,Tile and Marble Setters
6250,"Cement masons, concrete finishers, and terrazzo workers",47-2051,Cement Masons and Concrete Finishers
6250,"Cement masons, concrete finishers, and terrazzo workers",47-2053,Terrazzo Workers and Finishers
6260,Construction laborers,47-2061,Construction Laborers
6300,"Paving, surfacing, and tamping equipment operators",47-2071,"Paving, Surfacing, and Tamping Equipment Operators"
6310,Pile-driver operators,47-2072,Pile-Driver Operators
6320,Operating engineers and other construction equipment operators,47-2073,Operating Engineers and Other Construction Equipment Operators
6330,"Drywall installers, ceiling tile installers, and tapers",47-2081,Drywall and Ceiling Tile Installers
6330,"Drywall installers, ceiling tile installers, and tapers",47-2082,Tapers
6355,Electricians,47-2111,Electricians
6360,Glaziers,47-2121,Glaziers
6400,Insulation workers,47-2131,"Insulation Workers, Floor, Ceiling, and Wall"
6400,Insulation workers,47-2132,"Insulation Workers, Mechanical"
6420,"Painters, construction and maintenance",47-2141,"Painters, Construction and Maintenance"
6430,Paperhangers,47-2142,Paperhangers
6440,"Pipelayers, plumbers, pipefitters, and steamfitters",47-2151,Pipelayers
6440,"Pipelayers, plumbers, pipefitters, and steamfitters",47-2152,"Plumbers, Pipefitters, and Steamfitters"
6460,Plasterers and stucco masons,47-2161,Plasterers and Stucco Masons
6500,Reinforcing iron and rebar workers,47-2171,Reinforcing Iron and Rebar Workers
6515,Roofers,47-2181,Roofers
6520,Sheet metal workers,47-2211,Sheet Metal Workers
6530,Structural iron and steel workers,47-2221,Structural Iron and Steel Workers
6540,Solar photovoltaic installers,47-2231,Solar Photovoltaic Installers
6600,"Helpers, construction trades",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
6600,"Helpers, construction trades",47-3012,Helpers--Carpenters
6600,"Helpers, construction trades",47-3013,Helpers--Electricians
6600,"Helpers, construction trades",47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
6600,"Helpers, construction trades",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
6600,"Helpers, construction trades",47-3016,Helpers--Roofers
6600,"Helpers, construction trades",47-3019,"Helpers, Construction Trades, All Other"
6660,Construction and building inspectors,47-4011,Construction and Building Inspectors
6700,Elevator installers and repairers,47-4021,Elevator Installers and Repairers
6710,Fence erectors,47-4031,Fence Erectors
6720,Hazardous materials removal workers,47-4041,Hazardous Materials Removal Workers
6730,Highway maintenance workers,47-4051,Highway Maintenance Workers
6740,Rail-track laying and maintenance equipment operators,47-4061,Rail-Track Laying and Maintenance Equipment Operators
6750,Septic tank servicers and sewer pipe cleaners,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners
6765,Miscellaneous construction and related workers,47-4091,Segmental Pavers
6765,Miscellaneous construction and related workers,47-4099,"Construction and Related Workers, All Other"
6800,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5011,"Derrick Operators, Oil and Gas"
6800,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5012,"Rotary Drill Operators, Oil and Gas"
6800,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5013,"Service Unit Operators, Oil, Gas, and Mining"
6820,"Earth drillers, except oil and gas",47-5021,"Earth Drillers, Except Oil and Gas"
6830,"Explosives workers, ordnance handling experts, and blasters",47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters"
6840,Mining machine operators,47-5041,Continuous Mining Machine Operators
6840,Mining machine operators,47-5042,Mine Cutting and Channeling Machine Operators
6840,Mining machine operators,47-5049,"Mining Machine Operators, All Other"
6910,"Roof bolters, mining",47-5061,"Roof Bolters, Mining"
6920,"Roustabouts, oil and gas",47-5071,"Roustabouts, Oil and Gas"
6930,Helpers—extraction workers,47-5081,Helpers--Extraction Workers
6940,Other extraction workers,47-5051,"Rock Splitters, Quarry"
6940,Other extraction workers,47-5099,"Extraction Workers, All Other"
7000,"First-line supervisors of mechanics, installers, and repairers",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7010,"Computer, automated teller, and office machine repairers",49-2011,"Computer, Automated Teller, and Office Machine Repairers"
7020,Radio and telecommunications equipment installers and repairers,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairs"
7020,Radio and telecommunications equipment installers and repairers,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
7030,Avionics technicians,49-2091,Avionics Technicians
7040,"Electric motor, power tool, and related repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers"
7050,"Electrical and electronics installers and repairers, transportation equipment",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
7100,"Electrical and electronics repairers, industrial and utility",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
7100,"Electrical and electronics repairers, industrial and utility",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
7110,"Electronic equipment installers and repairers, motor vehicles",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
7120,Electronic home entertainment equipment installers and repairers,49-2097,Electronic Home Entertainment Equipment Installers and Repairers
7130,Security and fire alarm systems installers,49-2098,Security and Fire Alarm Systems Installers
7140,Aircraft mechanics and service technicians,49-3011,Aircraft Mechanics and Service Technicians
7150,Automotive body and related repairers,49-3021,Automotive Body and Related Repairers
7160,Automotive glass installers and repairers,49-3022,Automotive Glass Installers and Repairers
7200,Automotive service technicians and mechanics,49-3023,Automotive Service Technicians and Mechanics
7210,Bus and truck mechanics and diesel engine specialists,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
7220,Heavy vehicle and mobile equipment service technicians and mechanics,49-3041,Farm Equipment Mechanics and Service Technicians
7220,Heavy vehicle and mobile equipment service technicians and mechanics,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"
7220,Heavy vehicle and mobile equipment service technicians and mechanics,49-3043,Rail Car Repairers
7240,Small engine mechanics,49-3051,Motorboat Mechanics and Service Technicians
7240,Small engine mechanics,49-3052,Motorcycle Mechanics
7240,Small engine mechanics,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3091,Bicycle Repairers
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3092,Recreational Vehicle Service Technicians
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3093,Tire Repairers and Changers
7300,Control and valve installers and repairers,49-9011,Mechanical Door Repairers
7300,Control and valve installers and repairers,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
7315,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
7320,Home appliance repairers,49-9031,Home Appliance Repairers
7330,Industrial and refractory machinery mechanics,49-9041,Industrial Machinery Mechanics
7330,Industrial and refractory machinery mechanics,49-9045,"Refractory Materials Repairers, Except Brickmasons"
7340,"Maintenance and repair workers, general",49-9071,"Maintenance and Repair Workers, General"
7350,"Maintenance workers, machinery",49-9043,"Maintenance Workers, Machinery"
7360,Millwrights,49-9044,Millwrights
7410,Electrical power-line installers and repairers,49-9051,Electrical Power-Line Installers and Repairers
7420,Telecommunications line installers and repairers,49-9052,Telecommunications Line Installers and Repairers
7430,Precision instrument and equipment repairers,49-9061,Camera and Photographic Equipment Repairers
7430,Precision instrument and equipment repairers,49-9062,Medical Equipment Repairers
7430,Precision instrument and equipment repairers,49-9063,Musical Instrument Repairers and Tuners
7430,Precision instrument and equipment repairers,49-9064,Watch Repairers
7430,Precision instrument and equipment repairers,49-9069,"Precision Instrument and Equipment Repairers, All Other"
7440,Wind turbine service technicians,49-9081,Wind Turbine Service Technicians
7510,"Coin, vending, and amusement machine servicers and repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
7520,Commercial divers,49-9092,Commercial Divers
7540,Locksmiths and safe repairers,49-9094,Locksmiths and Safe Repairers
7550,Manufactured building and mobile home installers,49-9095,Manufactured Building and Mobile Home Installers
7560,Riggers,49-9096,Riggers
7600,Signal and track switch repairers,49-9097,Signal and Track Switch Repairers
7610,"Helpers—installation, maintenance, and repair workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
7630,"Other installation, maintenance, and repair workers",49-9093,"Fabric Menders, Except Garment"
7630,"Other installation, maintenance, and repair workers",49-9099,"Installation, Maintenance, and Repair Workers, All Other"
7700,First-line supervisors of production and operating workers,51-1011,First-Line Supervisors of Production and Operating Workers
7710,"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
7720,"Electrical, electronics, and electromechanical assemblers",51-2021,"Coil Winders, Tapers, and Finishers"
7720,"Electrical, electronics, and electromechanical assemblers",51-2022,Electrical and Electronic Equipment Assemblers
7720,"Electrical, electronics, and electromechanical assemblers",51-2023,Electromechanical Equipment Assemblers
7730,Engine and other machine assemblers,51-2031,Engine and Other Machine Assemblers
7740,Structural metal fabricators and fitters,51-2041,Structural Metal Fabricators and Fitters
7750,Miscellaneous assemblers and fabricators,51-2091,Fiberglass Laminators and Fabricators
7750,Miscellaneous assemblers and fabricators,51-2092,Team Assemblers
7750,Miscellaneous assemblers and fabricators,51-2093,Timing Device Assemblers and Adjusters
7750,Miscellaneous assemblers and fabricators,51-2099,"Assemblers and Fabricators, All Other"
7800,Bakers,51-3011,Bakers
7810,"Butchers and other meat, poultry, and fish processing workers",51-3021,Butchers and Meat Cutters
7810,"Butchers and other meat, poultry, and fish processing workers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
7810,"Butchers and other meat, poultry, and fish processing workers",51-3023,Slaughterers and Meat Packers
7830,"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7840,Food batchmakers,51-3092,Food Batchmakers
7850,Food cooking machine operators and tenders,51-3093,Food Cooking Machine Operators and Tenders
7855,"Food processing workers, all other",51-3099,"Food Processing Workers, All Other"
7900,Computer control programmers and operators,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
7900,Computer control programmers and operators,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
7920,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
7930,"Forging machine setters, operators, and tenders, metal and plastic",51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
7940,"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
7950,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
7960,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
8010,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
8020,"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
8030,Machinists,51-4041,Machinists
8040,"Metal furnace operators, tenders, pourers, and casters",51-4051,Metal-Refining Furnace Operators and Tenders
8040,"Metal furnace operators, tenders, pourers, and casters",51-4052,"Pourers and Casters, Metal"
8060,"Model makers and patternmakers, metal and plastic",51-4061,"Model Makers, Metal and Plastic"
8060,"Model makers and patternmakers, metal and plastic",51-4062,"Patternmakers, Metal and Plastic"
8100,"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4071,Foundry Mold and Coremakers
8100,"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
8120,"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
8130,Tool and die makers,51-4111,Tool and Die Makers
8140,"Welding, soldering, and brazing workers",51-4121,"Welders, Cutters, Solderers, and Brazers"
8140,"Welding, soldering, and brazing workers",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
8150,"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
8160,"Layout workers, metal and plastic",51-4192,"Layout Workers, Metal and Plastic"
8200,"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
8210,"Tool grinders, filers, and sharpeners",51-4194,"Tool Grinders, Filers, and Sharpeners"
8220,"Metal workers and plastic workers, all other",51-4199,"Metal Workers and Plastic Workers, All Other"
8250,Prepress technicians and workers,51-5111,Prepress Technicians and Workers
8255,Printing press operators,51-5112,Printing Press Operators
8256,Print binding and finishing workers,51-5113,Print Binding and Finishing Workers
8300,Laundry and dry-cleaning workers,51-6011,Laundry and Dry-Cleaning Workers
8310,"Pressers, textile, garment, and related materials",51-6021,"Pressers, Textile, Garment, and Related Materials"
8320,Sewing machine operators,51-6031,Sewing Machine Operators
8330,Shoe and leather workers and repairers,51-6041,Shoe and Leather Workers and Repairers
8340,Shoe machine operators and tenders,51-6042,Shoe Machine Operators and Tenders
8350,"Tailors, dressmakers, and sewers",51-6051,"Sewers, Hand"
8350,"Tailors, dressmakers, and sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers"
8360,Textile bleaching and dyeing machine operators and tenders,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
8400,"Textile cutting machine setters, operators, and tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
8410,"Textile knitting and weaving machine setters, operators, and tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
8420,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
8430,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
8440,Fabric and apparel patternmakers,51-6092,Fabric and Apparel Patternmakers
8450,Upholsterers,51-6093,Upholsterers
8460,"Textile, apparel, and furnishings workers, all other",51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
8500,Cabinetmakers and bench carpenters,51-7011,Cabinetmakers and Bench Carpenters
8510,Furniture finishers,51-7021,Furniture Finishers
8520,"Model makers and patternmakers, wood",51-7031,"Model Makers, Wood"
8520,"Model makers and patternmakers, wood",51-7032,"Patternmakers, Wood"
8530,"Sawing machine setters, operators, and tenders, wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
8540,"Woodworking machine setters, operators, and tenders, except sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
8550,"Woodworkers, all other",51-7099,"Woodworkers, All Other"
8600,"Power plant operators, distributors, and dispatchers",51-8011,Nuclear Power Reactor Operators
8600,"Power plant operators, distributors, and dispatchers",51-8012,Power Distributors and Dispatchers
8600,"Power plant operators, distributors, and dispatchers",51-8013,Power Plant Operators
8610,Stationary engineers and boiler operators,51-8021,Stationary Engineers and Boiler Operators
8620,Water and wastewater treatment plant and system operators,51-8031,Water and Wastewater Treatment Plant and System Operators
8630,Miscellaneous plant and system operators,51-8091,Chemical Plant and System Operators
8630,Miscellaneous plant and system operators,51-8092,Gas Plant Operators
8630,Miscellaneous plant and system operators,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
8630,Miscellaneous plant and system operators,51-8099,"Plant and System Operators, All Other"
8640,"Chemical processing machine setters, operators, and tenders",51-9011,Chemical Equipment Operators and Tenders
8640,"Chemical processing machine setters, operators, and tenders",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9022,"Grinding and Polishing Workers, Hand"
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
8710,Cutting workers,51-9031,"Cutters and Trimmers, Hand"
8710,Cutting workers,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
8740,"Inspectors, testers, sorters, samplers, and weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
8750,Jewelers and precious stone and metal workers,51-9071,Jewelers and Precious Stone and Metal Workers
8760,"Medical, dental, and ophthalmic laboratory technicians",51-9081,Dental Laboratory Technicians
8760,"Medical, dental, and ophthalmic laboratory technicians",51-9082,Medical Appliance Technicians
8760,"Medical, dental, and ophthalmic laboratory technicians",51-9083,Ophthalmic Laboratory Technicians
8800,Packaging and filling machine operators and tenders,51-9111,Packaging and Filling Machine Operators and Tenders
8810,Painting workers,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
8810,Painting workers,51-9122,"Painters, Transportation Equipment"
8810,Painting workers,51-9123,"Painting, Coating, and Decorating Workers"
8830,Photographic process workers and processing machine operators,51-9151,Photographic Process Workers and Processing Machine Operators
8840,Semiconductor processors,51-9141,Semiconductor Processors
8850,Adhesive bonding machine operators and tenders,51-9191,Adhesive Bonding Machine Operators and Tenders
8860,"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
8900,Cooling and freezing equipment operators and tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders
8910,Etchers and engravers,51-9194,Etchers and Engravers
8920,"Molders, shapers, and casters, except metal and plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
8930,"Paper goods machine setters, operators, and tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
8940,Tire builders,51-9197,Tire Builders
8950,Helpers—production workers,51-9198,Helpers--Production Workers
