soc1980,soc1980_title,soc2000,soc2000_title
6153,"ELECTRICAL AND ELECTRONIC REPAIRERS, COMMERCIAL AN",51-9199,"Production Workers, All Other"
6154,DATA PROCESSING EQUIPMENT REPAIRERS,49-2011,"Computer, Automated Teller, and Office Machine Repairers"
6154,DATA PROCESSING EQUIPMENT REPAIRERS,51-2022,Electrical and Electronic Equipment Assemblers
6155,"ELECTRONIC REPAIRERS, HOME-ENTERTAINMENT EQUIPMENT",49-2097,Electronic Home Entertainment Equipment Installers and Repairers
6156,HOUSEHOLD APPLIANCE AND POWER TOOL REPAIRERS,49-2092,"Electric Motor, Power Tool, and Related Repairers"
6156,HOUSEHOLD APPLIANCE AND POWER TOOL REPAIRERS,49-9031,Home Appliance Repairers
6157,TELEPHONE LINE INSTALLERS AND REPAIRERS,49-9051,Electrical Power-Line Installers and Repairers
6157,TELEPHONE LINE INSTALLERS AND REPAIRERS,49-9052,Telecommunications Line Installers and Repairers
6158,TELEPHONE INSTALLERS AND REPAIRERS,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,47-2111,Electricians
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,49-2091,Avionics Technicians
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,49-3023,Automotive Service Technicians and Mechanics
6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,49-9051,Electrical Power-Line Installers and Repairers
616,"HEATING, AIR-CONDITIONING, AND REFRIGERATION MECHA",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
616,"HEATING, AIR-CONDITIONING, AND REFRIGERATION MECHA",49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",17-3023,Electrical and Electronic Engineering Technicians
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9041,Industrial Machinery Mechanics
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9061,Camera and Photographic Equipment Repairers
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9062,Medical Equipment Repairers
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9064,Watch Repairers
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9069,"Precision Instrument and Equipment Repairers, All Other"
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",49-9099,"Installation, Maintenance, and Repair Workers, All Other"
6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPA",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
6172,MUSICAL INSTRUMENT REPAIRERS AND TUNERS,49-9063,Musical Instrument Repairers and Tuners
6173,LOCKSMITHS AND SAFE REPAIRERS,49-9094,Locksmiths and Safe Repairers
6174,OFFICE MACHINE REPAIRERS,49-2011,"Computer, Automated Teller, and Office Machine Repairers"
6175,MECHANICAL CONTROLS AND VALVE REPAIRERS,49-3011,Aircraft Mechanics and Service Technicians
6175,MECHANICAL CONTROLS AND VALVE REPAIRERS,49-3043,Rail Car Repairers
6175,MECHANICAL CONTROLS AND VALVE REPAIRERS,49-9011,Mechanical Door Repairers
6175,MECHANICAL CONTROLS AND VALVE REPAIRERS,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
6175,MECHANICAL CONTROLS AND VALVE REPAIRERS,49-9031,Home Appliance Repairers
