code,title,Level,Hierarchical_structure,parent,soc2d,soc3d,soc5d,soc6d
11-9050,Food Service Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9050,NA
11-9051,Food Service Managers,6,Detailed Occupation,11-9050,11-0000,11-9000,11-9050,11-9051
11-9060,Funeral Directors,5,Broad Occupation,11-9000,11-0000,11-9000,11-9060,NA
11-9061,Funeral Directors,6,Detailed Occupation,11-9060,11-0000,11-9000,11-9060,11-9061
11-9070,Gaming Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9070,NA
11-9071,Gaming Managers,6,Detailed Occupation,11-9070,11-0000,11-9000,11-9070,11-9071
11-9080,Lodging Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9080,NA
11-9081,Lodging Managers,6,Detailed Occupation,11-9080,11-0000,11-9000,11-9080,11-9081
11-9110,Medical and Health Services Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9110,NA
11-9111,Medical and Health Services Managers,6,Detailed Occupation,11-9110,11-0000,11-9000,11-9110,11-9111
11-9120,Natural Sciences Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9120,NA
11-9121,Natural Sciences Managers,6,Detailed Occupation,11-9120,11-0000,11-9000,11-9120,11-9121
11-9130,Postmasters and Mail Superintendents,5,Broad Occupation,11-9000,11-0000,11-9000,11-9130,NA
11-9131,Postmasters and Mail Superintendents,6,Detailed Occupation,11-9130,11-0000,11-9000,11-9130,11-9131
11-9140,"Property, Real Estate, and Community Association Managers",5,Broad Occupation,11-9000,11-0000,11-9000,11-9140,NA
11-9141,"Property, Real Estate, and Community Association Managers",6,Detailed Occupation,11-9140,11-0000,11-9000,11-9140,11-9141
11-9150,Social and Community Service Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9150,NA
11-9151,Social and Community Service Managers,6,Detailed Occupation,11-9150,11-0000,11-9000,11-9150,11-9151
11-9190,Miscellaneous Managers,5,Broad Occupation,11-9000,11-0000,11-9000,11-9190,NA
11-9199,"Managers, All Other",6,Detailed Occupation,11-9190,11-0000,11-9000,11-9190,11-9199
13-0000,Business and Financial Operations Occupations,2,Major Group,NA,13-0000,NA,NA,NA
13-1000,Business Operations Specialists,3,Minor Group,13-0000,13-0000,13-1000,NA,NA
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",5,Broad Occupation,13-1000,13-0000,13-1000,13-1010,NA
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",6,Detailed Occupation,13-1010,13-0000,13-1000,13-1010,13-1011
13-1020,Buyers and Purchasing Agents,5,Broad Occupation,13-1000,13-0000,13-1000,13-1020,NA
13-1021,"Purchasing Agents and Buyers, Farm Products",6,Detailed Occupation,13-1020,13-0000,13-1000,13-1020,13-1021
13-1022,"Wholesale and Retail Buyers, Except Farm Products",6,Detailed Occupation,13-1020,13-0000,13-1000,13-1020,13-1022
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",6,Detailed Occupation,13-1020,13-0000,13-1000,13-1020,13-1023
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",5,Broad Occupation,13-1000,13-0000,13-1000,13-1030,NA
13-1031,"Claims Adjusters, Examiners, and Investigators",6,Detailed Occupation,13-1030,13-0000,13-1000,13-1030,13-1031
13-1032,"Insurance Appraisers, Auto Damage",6,Detailed Occupation,13-1030,13-0000,13-1000,13-1030,13-1032
13-1040,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",5,Broad Occupation,13-1000,13-0000,13-1000,13-1040,NA
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",6,Detailed Occupation,13-1040,13-0000,13-1000,13-1040,13-1041
13-1050,Cost Estimators,5,Broad Occupation,13-1000,13-0000,13-1000,13-1050,NA
13-1051,Cost Estimators,6,Detailed Occupation,13-1050,13-0000,13-1000,13-1050,13-1051
13-1060,Emergency Management Specialists,5,Broad Occupation,13-1000,13-0000,13-1000,13-1060,NA
13-1061,Emergency Management Specialists,6,Detailed Occupation,13-1060,13-0000,13-1000,13-1060,13-1061
13-1070,"Human Resources, Training, and Labor Relations Specialists",5,Broad Occupation,13-1000,13-0000,13-1000,13-1070,NA
13-1071,"Employment, Recruitment, and Placement Specialists",6,Detailed Occupation,13-1070,13-0000,13-1000,13-1070,13-1071
13-1072,"Compensation, Benefits, and Job Analysis Specialists",6,Detailed Occupation,13-1070,13-0000,13-1000,13-1070,13-1072
13-1073,Training and Development Specialists,6,Detailed Occupation,13-1070,13-0000,13-1000,13-1070,13-1073
13-1079,"Human Resources, Training, and Labor Relations Specialists, All Other",6,Detailed Occupation,13-1070,13-0000,13-1000,13-1070,13-1079
13-1080,Logisticians,5,Broad Occupation,13-1000,13-0000,13-1000,13-1080,NA
13-1081,Logisticians,6,Detailed Occupation,13-1080,13-0000,13-1000,13-1080,13-1081
13-1110,Management Analysts,5,Broad Occupation,13-1000,13-0000,13-1000,13-1110,NA
13-1111,Management Analysts,6,Detailed Occupation,13-1110,13-0000,13-1000,13-1110,13-1111
13-1120,Meeting and Convention Planners,5,Broad Occupation,13-1000,13-0000,13-1000,13-1120,NA
13-1121,Meeting and Convention Planners,6,Detailed Occupation,13-1120,13-0000,13-1000,13-1120,13-1121
13-1190,Miscellaneous Business Operations Specialists,5,Broad Occupation,13-1000,13-0000,13-1000,13-1190,NA
13-1199,"Business Operations Specialists, All Other",6,Detailed Occupation,13-1190,13-0000,13-1000,13-1190,13-1199
13-2000,Financial Specialists,3,Minor Group,13-0000,13-0000,13-2000,NA,NA
13-2010,Accountants and Auditors,5,Broad Occupation,13-2000,13-0000,13-2000,13-2010,NA
13-2011,Accountants and Auditors,6,Detailed Occupation,13-2010,13-0000,13-2000,13-2010,13-2011
13-2020,Appraisers and Assessors of Real Estate,5,Broad Occupation,13-2000,13-0000,13-2000,13-2020,NA
13-2021,Appraisers and Assessors of Real Estate,6,Detailed Occupation,13-2020,13-0000,13-2000,13-2020,13-2021
13-2030,Budget Analysts,5,Broad Occupation,13-2000,13-0000,13-2000,13-2030,NA
13-2031,Budget Analysts,6,Detailed Occupation,13-2030,13-0000,13-2000,13-2030,13-2031
13-2040,Credit Analysts,5,Broad Occupation,13-2000,13-0000,13-2000,13-2040,NA
13-2041,Credit Analysts,6,Detailed Occupation,13-2040,13-0000,13-2000,13-2040,13-2041
13-2050,Financial Analysts and Advisors,5,Broad Occupation,13-2000,13-0000,13-2000,13-2050,NA
13-2051,Financial Analysts,6,Detailed Occupation,13-2050,13-0000,13-2000,13-2050,13-2051
13-2052,Personal Financial Advisors,6,Detailed Occupation,13-2050,13-0000,13-2000,13-2050,13-2052
13-2053,Insurance Underwriters,6,Detailed Occupation,13-2050,13-0000,13-2000,13-2050,13-2053
13-2060,Financial Examiners,5,Broad Occupation,13-2000,13-0000,13-2000,13-2060,NA
13-2061,Financial Examiners,6,Detailed Occupation,13-2060,13-0000,13-2000,13-2060,13-2061
13-2070,Loan Counselors and Officers,5,Broad Occupation,13-2000,13-0000,13-2000,13-2070,NA
13-2071,Loan Counselors,6,Detailed Occupation,13-2070,13-0000,13-2000,13-2070,13-2071
13-2072,Loan Officers,6,Detailed Occupation,13-2070,13-0000,13-2000,13-2070,13-2072
13-2080,"Tax Examiners, Collectors, Preparers, and Revenue Agents",5,Broad Occupation,13-2000,13-0000,13-2000,13-2080,NA
13-2081,"Tax Examiners, Collectors, and Revenue Agents",6,Detailed Occupation,13-2080,13-0000,13-2000,13-2080,13-2081
13-2082,Tax Preparers,6,Detailed Occupation,13-2080,13-0000,13-2000,13-2080,13-2082
13-2090,Miscellaneous Financial Specialists,5,Broad Occupation,13-2000,13-0000,13-2000,13-2090,NA
13-2099,"Financial Specialists, All Other",6,Detailed Occupation,13-2090,13-0000,13-2000,13-2090,13-2099
15-0000,Computer and Mathematical Occupations,2,Major Group,NA,15-0000,NA,NA,NA
15-1000,Computer Specialists,3,Minor Group,15-0000,15-0000,15-1000,NA,NA
15-1010,"Computer and Information Scientists, Research",5,Broad Occupation,15-1000,15-0000,15-1000,15-1010,NA
15-1011,"Computer and Information Scientists, Research",6,Detailed Occupation,15-1010,15-0000,15-1000,15-1010,15-1011
15-1020,Computer Programmers,5,Broad Occupation,15-1000,15-0000,15-1000,15-1020,NA
15-1021,Computer Programmers,6,Detailed Occupation,15-1020,15-0000,15-1000,15-1020,15-1021
15-1030,Computer Software Engineers,5,Broad Occupation,15-1000,15-0000,15-1000,15-1030,NA
15-1031,"Computer Software Engineers, Applications",6,Detailed Occupation,15-1030,15-0000,15-1000,15-1030,15-1031
15-1032,"Computer Software Engineers, Systems Software",6,Detailed Occupation,15-1030,15-0000,15-1000,15-1030,15-1032
15-1040,Computer Support Specialists,5,Broad Occupation,15-1000,15-0000,15-1000,15-1040,NA
15-1041,Computer Support Specialists,6,Detailed Occupation,15-1040,15-0000,15-1000,15-1040,15-1041
15-1050,Computer Systems Analysts,5,Broad Occupation,15-1000,15-0000,15-1000,15-1050,NA
15-1051,Computer Systems Analysts,6,Detailed Occupation,15-1050,15-0000,15-1000,15-1050,15-1051
15-1060,Database Administrators,5,Broad Occupation,15-1000,15-0000,15-1000,15-1060,NA
15-1061,Database Administrators,6,Detailed Occupation,15-1060,15-0000,15-1000,15-1060,15-1061
15-1070,Network and Computer Systems Administrators,5,Broad Occupation,15-1000,15-0000,15-1000,15-1070,NA
15-1071,Network and Computer Systems Administrators,6,Detailed Occupation,15-1070,15-0000,15-1000,15-1070,15-1071
15-1080,Network Systems and Data Communications Analysts,5,Broad Occupation,15-1000,15-0000,15-1000,15-1080,NA
15-1081,Network Systems and Data Communications Analysts,6,Detailed Occupation,15-1080,15-0000,15-1000,15-1080,15-1081
15-1090,Miscellaneous Computer Specialists,5,Broad Occupation,15-1000,15-0000,15-1000,15-1090,NA
15-1099,"Computer Specialists, All Other",6,Detailed Occupation,15-1090,15-0000,15-1000,15-1090,15-1099
15-2000,Mathematical Science Occupations,3,Minor Group,15-0000,15-0000,15-2000,NA,NA
15-2010,Actuaries,5,Broad Occupation,15-2000,15-0000,15-2000,15-2010,NA
15-2011,Actuaries,6,Detailed Occupation,15-2010,15-0000,15-2000,15-2010,15-2011
15-2020,Mathematicians,5,Broad Occupation,15-2000,15-0000,15-2000,15-2020,NA
15-2021,Mathematicians,6,Detailed Occupation,15-2020,15-0000,15-2000,15-2020,15-2021
15-2030,Operations Research Analysts,5,Broad Occupation,15-2000,15-0000,15-2000,15-2030,NA
15-2031,Operations Research Analysts,6,Detailed Occupation,15-2030,15-0000,15-2000,15-2030,15-2031
15-2040,Statisticians,5,Broad Occupation,15-2000,15-0000,15-2000,15-2040,NA
15-2041,Statisticians,6,Detailed Occupation,15-2040,15-0000,15-2000,15-2040,15-2041
15-2090,Miscellaneous Mathematical Science Occupations,5,Broad Occupation,15-2000,15-0000,15-2000,15-2090,NA
15-2091,Mathematical Technicians,6,Detailed Occupation,15-2090,15-0000,15-2000,15-2090,15-2091
15-2099,"Mathematical Science Occupations, All Other",6,Detailed Occupation,15-2090,15-0000,15-2000,15-2090,15-2099
17-0000,Architecture and Engineering Occupations,2,Major Group,NA,17-0000,NA,NA,NA
17-1000,"Architects, Surveyors, and Cartographers",3,Minor Group,17-0000,17-0000,17-1000,NA,NA
17-1010,"Architects, Except Naval",5,Broad Occupation,17-1000,17-0000,17-1000,17-1010,NA
17-1011,"Architects, Except Landscape and Naval",6,Detailed Occupation,17-1010,17-0000,17-1000,17-1010,17-1011
17-1012,Landscape Architects,6,Detailed Occupation,17-1010,17-0000,17-1000,17-1010,17-1012
17-1020,"Surveyors, Cartographers, and Photogrammetrists",5,Broad Occupation,17-1000,17-0000,17-1000,17-1020,NA
17-1021,Cartographers and Photogrammetrists,6,Detailed Occupation,17-1020,17-0000,17-1000,17-1020,17-1021
17-1022,Surveyors,6,Detailed Occupation,17-1020,17-0000,17-1000,17-1020,17-1022
17-2000,Engineers,3,Minor Group,17-0000,17-0000,17-2000,NA,NA
17-2010,Aerospace Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2010,NA
17-2011,Aerospace Engineers,6,Detailed Occupation,17-2010,17-0000,17-2000,17-2010,17-2011
17-2020,Agricultural Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2020,NA
17-2021,Agricultural Engineers,6,Detailed Occupation,17-2020,17-0000,17-2000,17-2020,17-2021
17-2030,Biomedical Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2030,NA
17-2031,Biomedical Engineers,6,Detailed Occupation,17-2030,17-0000,17-2000,17-2030,17-2031
17-2040,Chemical Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2040,NA
17-2041,Chemical Engineers,6,Detailed Occupation,17-2040,17-0000,17-2000,17-2040,17-2041
17-2050,Civil Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2050,NA
17-2051,Civil Engineers,6,Detailed Occupation,17-2050,17-0000,17-2000,17-2050,17-2051
17-2060,Computer Hardware Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2060,NA
17-2061,Computer Hardware Engineers,6,Detailed Occupation,17-2060,17-0000,17-2000,17-2060,17-2061
17-2070,Electrical and Electronics Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2070,NA
17-2071,Electrical Engineers,6,Detailed Occupation,17-2070,17-0000,17-2000,17-2070,17-2071
17-2072,"Electronics Engineers, Except Computer",6,Detailed Occupation,17-2070,17-0000,17-2000,17-2070,17-2072
17-2080,Environmental Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2080,NA
17-2081,Environmental Engineers,6,Detailed Occupation,17-2080,17-0000,17-2000,17-2080,17-2081
17-2110,"Industrial Engineers, Including Health and Safety",5,Broad Occupation,17-2000,17-0000,17-2000,17-2110,NA
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",6,Detailed Occupation,17-2110,17-0000,17-2000,17-2110,17-2111
17-2112,Industrial Engineers,6,Detailed Occupation,17-2110,17-0000,17-2000,17-2110,17-2112
17-2120,Marine Engineers and Naval Architects,5,Broad Occupation,17-2000,17-0000,17-2000,17-2120,NA
17-2121,Marine Engineers and Naval Architects,6,Detailed Occupation,17-2120,17-0000,17-2000,17-2120,17-2121
17-2130,Materials Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2130,NA
17-2131,Materials Engineers,6,Detailed Occupation,17-2130,17-0000,17-2000,17-2130,17-2131
17-2140,Mechanical Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2140,NA
17-2141,Mechanical Engineers,6,Detailed Occupation,17-2140,17-0000,17-2000,17-2140,17-2141
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",5,Broad Occupation,17-2000,17-0000,17-2000,17-2150,NA
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6,Detailed Occupation,17-2150,17-0000,17-2000,17-2150,17-2151
17-2160,Nuclear Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2160,NA
17-2161,Nuclear Engineers,6,Detailed Occupation,17-2160,17-0000,17-2000,17-2160,17-2161
17-2170,Petroleum Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2170,NA
17-2171,Petroleum Engineers,6,Detailed Occupation,17-2170,17-0000,17-2000,17-2170,17-2171
17-2190,Miscellaneous Engineers,5,Broad Occupation,17-2000,17-0000,17-2000,17-2190,NA
17-2199,"Engineers, All Other",6,Detailed Occupation,17-2190,17-0000,17-2000,17-2190,17-2199
17-3000,"Drafters, Engineering, and Mapping Technicians",3,Minor Group,17-0000,17-0000,17-3000,NA,NA
17-3010,Drafters,5,Broad Occupation,17-3000,17-0000,17-3000,17-3010,NA
17-3011,Architectural and Civil Drafters,6,Detailed Occupation,17-3010,17-0000,17-3000,17-3010,17-3011
17-3012,Electrical and Electronics Drafters,6,Detailed Occupation,17-3010,17-0000,17-3000,17-3010,17-3012
17-3013,Mechanical Drafters,6,Detailed Occupation,17-3010,17-0000,17-3000,17-3010,17-3013
17-3019,"Drafters, All Other",6,Detailed Occupation,17-3010,17-0000,17-3000,17-3010,17-3019
17-3020,"Engineering Technicians, Except Drafters",5,Broad Occupation,17-3000,17-0000,17-3000,17-3020,NA
17-3021,Aerospace Engineering and Operations Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3021
17-3022,Civil Engineering Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3022
17-3023,Electrical and Electronic Engineering Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3023
17-3024,Electro-Mechanical Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3024
17-3025,Environmental Engineering Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3025
17-3026,Industrial Engineering Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3026
17-3027,Mechanical Engineering Technicians,6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3027
17-3029,"Engineering Technicians, Except Drafters, All Other",6,Detailed Occupation,17-3020,17-0000,17-3000,17-3020,17-3029
17-3030,Surveying and Mapping Technicians,5,Broad Occupation,17-3000,17-0000,17-3000,17-3030,NA
17-3031,Surveying and Mapping Technicians,6,Detailed Occupation,17-3030,17-0000,17-3000,17-3030,17-3031
19-0000,"Life, Physical, and Social Science Occupations",2,Major Group,NA,19-0000,NA,NA,NA
19-1000,Life Scientists,3,Minor Group,19-0000,19-0000,19-1000,NA,NA
19-1010,Agricultural and Food Scientists,5,Broad Occupation,19-1000,19-0000,19-1000,19-1010,NA
19-1011,Animal Scientists,6,Detailed Occupation,19-1010,19-0000,19-1000,19-1010,19-1011
19-1012,Food Scientists and Technologists,6,Detailed Occupation,19-1010,19-0000,19-1000,19-1010,19-1012
19-1013,Soil and Plant Scientists,6,Detailed Occupation,19-1010,19-0000,19-1000,19-1010,19-1013
19-1020,Biological Scientists,5,Broad Occupation,19-1000,19-0000,19-1000,19-1020,NA
19-1021,Biochemists and Biophysicists,6,Detailed Occupation,19-1020,19-0000,19-1000,19-1020,19-1021
19-1022,Microbiologists,6,Detailed Occupation,19-1020,19-0000,19-1000,19-1020,19-1022
19-1023,Zoologists and Wildlife Biologists,6,Detailed Occupation,19-1020,19-0000,19-1000,19-1020,19-1023
19-1029,"Biological Scientists, All Other",6,Detailed Occupation,19-1020,19-0000,19-1000,19-1020,19-1029
19-1030,Conservation Scientists and Foresters,5,Broad Occupation,19-1000,19-0000,19-1000,19-1030,NA
19-1031,Conservation Scientists,6,Detailed Occupation,19-1030,19-0000,19-1000,19-1030,19-1031
19-1032,Foresters,6,Detailed Occupation,19-1030,19-0000,19-1000,19-1030,19-1032
19-1040,Medical Scientists,5,Broad Occupation,19-1000,19-0000,19-1000,19-1040,NA
19-1041,Epidemiologists,6,Detailed Occupation,19-1040,19-0000,19-1000,19-1040,19-1041
19-1042,"Medical Scientists, Except Epidemiologists",6,Detailed Occupation,19-1040,19-0000,19-1000,19-1040,19-1042
19-1090,Miscellaneous Life Scientists,5,Broad Occupation,19-1000,19-0000,19-1000,19-1090,NA
19-1099,"Life Scientists, All Other",6,Detailed Occupation,19-1090,19-0000,19-1000,19-1090,19-1099
19-2000,Physical Scientists,3,Minor Group,19-0000,19-0000,19-2000,NA,NA
19-2010,Astronomers and Physicists,5,Broad Occupation,19-2000,19-0000,19-2000,19-2010,NA
19-2011,Astronomers,6,Detailed Occupation,19-2010,19-0000,19-2000,19-2010,19-2011
19-2012,Physicists,6,Detailed Occupation,19-2010,19-0000,19-2000,19-2010,19-2012
19-2020,Atmospheric and Space Scientists,5,Broad Occupation,19-2000,19-0000,19-2000,19-2020,NA
19-2021,Atmospheric and Space Scientists,6,Detailed Occupation,19-2020,19-0000,19-2000,19-2020,19-2021
19-2030,Chemists and Materials Scientists,5,Broad Occupation,19-2000,19-0000,19-2000,19-2030,NA
19-2031,Chemists,6,Detailed Occupation,19-2030,19-0000,19-2000,19-2030,19-2031
19-2032,Materials Scientists,6,Detailed Occupation,19-2030,19-0000,19-2000,19-2030,19-2032
19-2040,Environmental Scientists and Geoscientists,5,Broad Occupation,19-2000,19-0000,19-2000,19-2040,NA
19-2041,"Environmental Scientists and Specialists, Including Health",6,Detailed Occupation,19-2040,19-0000,19-2000,19-2040,19-2041
19-2042,"Geoscientists, Except Hydrologists and Geographers",6,Detailed Occupation,19-2040,19-0000,19-2000,19-2040,19-2042
19-2043,Hydrologists,6,Detailed Occupation,19-2040,19-0000,19-2000,19-2040,19-2043
19-2090,Miscellaneous Physical Scientists,5,Broad Occupation,19-2000,19-0000,19-2000,19-2090,NA
19-2099,"Physical Scientists, All Other",6,Detailed Occupation,19-2090,19-0000,19-2000,19-2090,19-2099
19-3000,Social Scientists and Related Workers,3,Minor Group,19-0000,19-0000,19-3000,NA,NA
19-3010,Economists,5,Broad Occupation,19-3000,19-0000,19-3000,19-3010,NA
19-3011,Economists,6,Detailed Occupation,19-3010,19-0000,19-3000,19-3010,19-3011
19-3020,Market and Survey Researchers,5,Broad Occupation,19-3000,19-0000,19-3000,19-3020,NA
19-3021,Market Research Analysts,6,Detailed Occupation,19-3020,19-0000,19-3000,19-3020,19-3021
19-3022,Survey Researchers,6,Detailed Occupation,19-3020,19-0000,19-3000,19-3020,19-3022
19-3030,Psychologists,5,Broad Occupation,19-3000,19-0000,19-3000,19-3030,NA
19-3031,"Clinical, Counseling, and School Psychologists",6,Detailed Occupation,19-3030,19-0000,19-3000,19-3030,19-3031
19-3032,Industrial-Organizational Psychologists,6,Detailed Occupation,19-3030,19-0000,19-3000,19-3030,19-3032
19-3039,"Psychologists, All Other",6,Detailed Occupation,19-3030,19-0000,19-3000,19-3030,19-3039
19-3040,Sociologists,5,Broad Occupation,19-3000,19-0000,19-3000,19-3040,NA
19-3041,Sociologists,6,Detailed Occupation,19-3040,19-0000,19-3000,19-3040,19-3041
19-3050,Urban and Regional Planners,5,Broad Occupation,19-3000,19-0000,19-3000,19-3050,NA
19-3051,Urban and Regional Planners,6,Detailed Occupation,19-3050,19-0000,19-3000,19-3050,19-3051
19-3090,Miscellaneous Social Scientists and Related Workers,5,Broad Occupation,19-3000,19-0000,19-3000,19-3090,NA
19-3091,Anthropologists and Archeologists,6,Detailed Occupation,19-3090,19-0000,19-3000,19-3090,19-3091
19-3092,Geographers,6,Detailed Occupation,19-3090,19-0000,19-3000,19-3090,19-3092
19-3093,Historians,6,Detailed Occupation,19-3090,19-0000,19-3000,19-3090,19-3093
19-3094,Political Scientists,6,Detailed Occupation,19-3090,19-0000,19-3000,19-3090,19-3094
19-3099,"Social Scientists and Related Workers, All Other",6,Detailed Occupation,19-3090,19-0000,19-3000,19-3090,19-3099
19-4000,"Life, Physical, and Social Science Technicians",3,Minor Group,19-0000,19-0000,19-4000,NA,NA
19-4010,Agricultural and Food Science Technicians,5,Broad Occupation,19-4000,19-0000,19-4000,19-4010,NA
19-4011,Agricultural and Food Science Technicians,6,Detailed Occupation,19-4010,19-0000,19-4000,19-4010,19-4011
19-4020,Biological Technicians,5,Broad Occupation,19-4000,19-0000,19-4000,19-4020,NA
