sic1987,sic1987_title,naics2022,naics2022_title
0251,"Broiler, Fryer, and Roaster Chickens",NA,NA
0252,Chicken Eggs,NA,NA
0253,Turkeys and Turkey Eggs,NA,NA
0254,Poultry Hatcheries,NA,NA
0259,"Poultry and Eggs, NEC",NA,NA
0271,Fur-Bearing Animals and Rabbits,NA,NA
0272,Horses and Other Equines,NA,NA
0273,Animal Aquaculture (finfish farms),NA,NA
0273,Animal Aquaculture (shellfish farms),NA,NA
0273,Animal Aquaculture (except finfish and shellfish farms),NA,NA
0279,"Animal Specialties, NEC (frog and alligator farms)",NA,NA
0279,"Animal Specialties, NEC (apiculture)",NA,NA
0279,"Animal Specialties, NEC (except apiculture, frog and alligator farms)",NA,NA
0291,"General Farms, Primarily Livestock and Animal Specialties",NA,NA
0711,Soil Preparation Services,NA,NA
0721,"Crop Planting, Cultivating, and Protecting",NA,NA
0722,"Crop Harvesting, Primarily by Machine",NA,NA
0723,"Crop Preparation Services for Market, Except Cotton Ginning (except custom grain grinding)",NA,NA
0723,"Crop Preparation Services for Market, Except Cotton Ginning (custom grain grinding)",NA,NA
0724,Cotton Ginning,NA,NA
0741,Veterinary Services for Livestock,NA,NA
0742,Veterinary Services for Animal Specialties,NA,NA
0751,"Livestock Services, Except Veterinary (except custom slaughtering)",NA,NA
0751,"Livestock Services, Except Veterinary (custom slaughtering)",NA,NA
0752,"Animal Specialty Services, Except Veterinary (boarding and training horses (except race horses), animal semen banks, and artificial insemination services for pets)",NA,NA
0752,"Animal Specialty Services, Except Veterinary (pet care services, except veterinary)",NA,NA
0761,Farm Labor Contractors and Crew Leaders,NA,NA
0762,Farm Management Services,NA,NA
0781,Landscape Counseling and Planning (except horticultural consulting),NA,NA
0781,Landscape Counseling and Planning (horticulture consulting),NA,NA
0782,Lawn and Garden Services,NA,NA
0783,Ornamental Shrub and Tree Services,NA,NA
0811,Timber Tracts (short rotation woody crops),NA,NA
0811,Timber Tracts (long term timber farms),NA,NA
0831,Forest Nurseries and Gathering of Forest Products (gathering maple sap),NA,NA
0831,Forest Nurseries and Gathering of Forest Products (gathering maple sap),NA,NA
0831,"Forest Nurseries and Gathering of Forest Products (forest products, except gathering of maple sap)",NA,NA
0851,Forestry Services,NA,NA
0912,Finfish,NA,NA
0913,Shellfish,NA,NA
0919,Miscellaneous Marine Products (plant aquaculture),NA,NA
0919,Miscellaneous Marine Products (cultured pearl production),NA,NA
0919,Miscellaneous Marine Products (plant aquaculture),NA,NA
0919,Miscellaneous Marine Products (catching sea urchins),NA,NA
0919,"Miscellaneous Marine Products (except plant aquaculture, cultured pearl production, and catching sea urchins)",NA,NA
0921,Fish Hatcheries and Preserves (finfish hatcheries),NA,NA
0921,Fish Hatcheries and Preserves (shellfish hatcheries),NA,NA
0971,"Hunting and Trapping, and Game Propagation",NA,NA
1011,Iron Ores,NA,NA
1021,Copper Ores,NA,NA
1031,Lead and Zinc Ores,NA,NA
1041,Gold Ores,NA,NA
1044,Silver Ores,NA,NA
1061,"Ferroalloy Ores, Except Vanadium (nickel)",NA,NA
1061,"Ferroalloy Ores, Except Vanadium (other ferroalloys except nickel)",NA,NA
1081,Metal Mining Services (except site preparation and related activities performed on a contract or fee basis and geophysical surveying and mapping),NA,NA
1081,Metal Mining Services (site preparation and related construction activities on a contract basis),NA,NA
1081,Metal Mining Services (geophysical surveying and mapping),NA,NA
1094,Uranium-Radium-Vanadium Ores,NA,NA
1099,"Miscellaneous Metal Ores, NEC",NA,NA
1221,Bituminous Coal and Lignite Surface Mining,NA,NA
1222,Bituminous Coal Underground Mining,NA,NA
1231,Anthracite Mining,NA,NA
1231,Anthracite Mining,NA,NA
1241,Coal Mining Services (except site preparation and related construction activities on a contract basis),NA,NA
1241,Coal Mining Services (site preparation and related construction activities on a contract basis),NA,NA
1311,Crude Petroleum and Natural Gas,NA,NA
1311,Crude Petroleum and Natural Gas,NA,NA
1321,Natural Gas Liquids,NA,NA
1381,Drilling Oil and Gas Wells,NA,NA
1382,Oil and Gas Field Exploration Services (except geophysical mapping and surveying),NA,NA
1382,Oil and Gas Field Exploration Services (geophysical surveying and mapping),NA,NA
1389,"Oil and Gas Field Services, NEC (except construction of field gathering lines, site preparation and related construction activities performed on a contract or fee basis)",NA,NA
1389,"Oil and Gas Field Services, NEC (construction of field gathering lines on a contract or fee basis)",NA,NA
1389,"Oil and Gas Field Services, NEC (site preparation and related construction activities on a contract basis)",NA,NA
1411,Dimension Stone,NA,NA
1422,Crushed and Broken Limestone,NA,NA
1423,Crushed and Broken Granite,NA,NA
1429,"Crushed and Broken Stone, NEC",NA,NA
1442,Construction Sand and Gravel,NA,NA
1446,Industrial Sand,NA,NA
1455,Kaolin and Ball Clay,NA,NA
1459,"Clay, Ceramic, and Refractory Minerals, NEC",NA,NA
1474,"Potash, Soda, and Borate Minerals",NA,NA
1475,Phosphate Rock,NA,NA
1479,"Chemical and Fertilizer Mineral Mining, NEC",NA,NA
1481,"Nonmetallic Minerals Services, Except Fuels (except geophysical surveying and mapping and site preparation and related construction activities performed on a contract or fee basis)",NA,NA
1481,"Nonmetallic Minerals Services, Except Fuels (site preparation and related construction activities on a contract basis)",NA,NA
1481,"Nonmetallic Minerals Services, Except Fuels (geophysical surveying and mapping)",NA,NA
1499,"Miscellaneous Nonmetallic Minerals, Except Fuels (bituminous limestone and bituminous sandstone)",NA,NA
1499,"Miscellaneous Nonmetallic Minerals, Except Fuels (except bituminous limestone and bituminous sandstone)",NA,NA
1521,General Contractors--Single Family Houses (except remodeling contractors),NA,NA
1521,General Contractors - Single-Family Houses (remodeling contractors),NA,NA
1522,"General Contractors - Residential Buildings Other Than Single-Family (except remodeling contractors, hotel and motel construction contractors, and dormitory and barrack construction contractors)",NA,NA
1522,General Contractors - Residential Buildings Other Than Single-Family (remodeling contractors),NA,NA
1522,"General Contractors - Residential Buildings Other Than Single-Family (dormitory, barrack, hotel, and motel construction contractors)",NA,NA
1531,Operative Builders (residential operative builders),NA,NA
1531,Operative Builders (residential operative remodelers),NA,NA
1531,"Operative Builders (Operative builders of industrial and manufacturing buildings except grain elevators, dry cleaning plants, and manufacturing and industrial warehouses)",NA,NA
1531,"Operative Builders (grain elevator, dry cleaning plant, and manufacturing and industrial warehouse operative builders)",NA,NA
1541,"General Contractors Industrial Buildings and Warehouses ( except grain elevators; drycleaning plants; and manufacturing, public, and industrial warehouses)",NA,NA
1541,"General Contractors - Industrial Buildings and Warehouses (general contractors of grain elevators; dry cleaning plants; and manufacturing, industrial, and public warehouses)",NA,NA
1542,"General Contractors - Nonresidential Buildings, Other than Industrial Buildings and Warehouses",NA,NA
1611,"Highway and Street Construction, Except Elevated Highways",NA,NA
1622,"Bridge, Tunnel, and Elevated Highway Construction (bridge and elevated highway construction)",NA,NA
1622,"Bridge, Tunnel, and Elevated Highway Construction (tunnel construction)",NA,NA
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction (water and sewer pipelines and related construction)",NA,NA
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction (gas and oil pipelines, mains, and pumping stations)",NA,NA
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction (power and communications transmission lines)",NA,NA
1629,"Heavy Construction, NEC (Industrial nonbuilding structures [except petrochemical plants and petroleum refineries])",NA,NA
1629,"Heavy Construction NEC (irrigation systems, sewage treatment plants, and water treatment plants)",NA,NA
1629,"Heavy Construction, NEC (petrochemical plants and refineries)",NA,NA
1629,"Heavy Construction, NEC (power generation plants [except hydroelectric dams], transmission stations, and distribution stations)",NA,NA
1629,"Heavy Construction, NEC (except industrial nonbuilding structures, irrigation systems, sewage and water treatment plants, petrochemical plants and refineries, power generation plants [except hydroelectric dams] transmission and distribution stations, right-of-way clearing, line slashing, blasting, and trenching)",NA,NA
1629,"Heavy Construction, NEC (right-of-way clearing and line slashing, blasting, and trenching)",NA,NA
1711,"Plumbing, Heating, and Air-Conditioning (environmental control installation contractors)",NA,NA
1711,"Plumbing, Heating, and Air-Conditioning (except environmental controls installation; and septic tank, cesspool, and dry well construction)",NA,NA
1711,"Plumbing, Heating, and Air-Conditioning (septic tank, cesspool, and dry well construction contractors)",NA,NA
1721,Painting and Paper Hanging (traffic lane painting),NA,NA
1721,Painting and Paper Hanging,NA,NA
1731,Electrical Work (electrical work except burglar and fire alarm installation),NA,NA
1741,"Masonry, Stone Setting, and Other Stone Work",NA,NA
1742,"Plastering, Drywall, Acoustical, and Insulation Work",NA,NA
1743,"Terrazzo, Tile, Marble, and Mosaic Work (fresco work)",NA,NA
1743,"Terrazzo, Tile, Marble, and Mosaic Work (except fresco work)",NA,NA
1751,Carpentry Work (framing carpentry),NA,NA
1751,Carpentry Work (finish carpentry),NA,NA
1752,"Floor Laying and Other Floor Work, NEC",NA,NA
1752,"Floor Laying and Other Floor Work, NEC",NA,NA
1761,"Roofing, Siding, and Sheet Metal Work (roofing contractors)",NA,NA
1761,"Roofing, Siding, and Sheet Metal Work (siding contractors)",NA,NA
1761,"Roofing, Siding, and Sheet Metal Work (except roofing and siding work)",NA,NA
1771,"Concrete Work (concrete work except stucco work and asphalt, brick, and paving)",NA,NA
1771,Concrete Work (stucco work),NA,NA
1771,"Concrete Work (asphalt, brick, and concrete paving)",NA,NA
1781,Water Well Drilling,NA,NA
1791,Structural Steel Erection (structural steel work),NA,NA
1791,Structural Steel Erection (curtain wall installation and metal furring installation),NA,NA
1791,Structural Steel Erection (cooling tower installation),NA,NA
1791,Structural Steel Erection (curtain wall installation and metal furring installation),NA,NA
1793,Glass and Glazing Work,NA,NA
1794,Excavation Work,NA,NA
1795,Wrecking and Demolition Work,NA,NA
1796,"Installation or Erection of Building Equipment, NEC (scrubber, dust collection, and other industrial ventilation installation)",NA,NA
1796,"Installation or Erection of Building Equipment, NEC (installation of equipment not elsewhere specified such as central vacuum cleaning systems and dumb waiters)",NA,NA
1799,"Special Trade Contractors, NEC (indoor swimming pool construction contractors)",NA,NA
1799,"Special Trade Contractors, NEC (anchored earth retention contractors)",NA,NA
1799,"Special Trade Contractors, NEC (glass tinting work)",NA,NA
1799,"Special Trade Contractors, NEC (forming contractors and ornamental metal work contractors)",NA,NA
1799,"Special Trade Contractors, NEC (building equipment installation contractors for service station equipment; boiler, duct, and pipe insulation; lightning rod installation; bowling alley equipment installation; church bell installation; and clock tower installation)",NA,NA
1799,"Special Trade Contractors, NEC (forming contractors and ornamental metal work contractors)",NA,NA
1799,"Special Trade Contractors, NEC (paint and wallpaper stripping and removing contractors)",NA,NA
1799,"Special Trade Contractors, NEC (countertop, residential-type, installation)",NA,NA
1799,"Special Trade Contractors, NEC (building finishing contractors for weather stripping and damp proofing, window covering fixture installation, bathtub refinishing, modular furniture installation, trade show exhibit installation and removal, and spectator seating installation) )",NA,NA
1799,"Special Trade Contractors, NEC (dewatering contractors, test drilling for construction, and core drilling for construction)",NA,NA
1799,"Special Trade Contractors, NEC (except indoor swimming pool contractors; anchored earth retention contractors; glass tinting work; forming contractors; ornamental metal work contractors; lightning rod installation contractors; paint and wall paper removal contractors; countertop, residential-type, installation; miscellaneous residential building finishing contractors; dewatering contractors; test drilling for construction; and core drilling for construction)",NA,NA
1799,"Special Trade Contractors, NEC (power washing building exteriors, not associated with construction)",NA,NA
1799,"Special Trade Contractors, NEC (asbestos abatement and lead paint removal contractors)",NA,NA
2011,Meat Packing Plants,NA,NA
2013,Sausages and Other Prepared Meat Products (except lard made from purchased materials),NA,NA
2013,Sausages and Other Prepared Meat Products (lard made from purchased materials),NA,NA
2015,Poultry Slaughtering and Processing (poultry slaughtering and processing),NA,NA
2015,Poultry Slaughtering and Processing (egg processing),NA,NA
2021,Creamery Butter,NA,NA
2022,"Natural, Processed, and Imitation Cheese",NA,NA
2023,"Dry, Condensed and Evaporated Dairy Products (liquid non-dairy creamer)",NA,NA
2023,"Dry, Condensed and Evaporated Dairy Products (except liquid non-dairy creamer)",NA,NA
2024,Ice Cream and Frozen Desserts,NA,NA
2026,Fluid Milk (except ultra-high temperature),NA,NA
2026,Fluid Milk (ultra-high temperature),NA,NA
2032,Canned Specialties (except canned puddings),NA,NA
2032,Canned Specialties (canned puddings),NA,NA
2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",NA,NA
2034,"Dried and Dehydrated Fruits, Vegetables and Soup Mixes (vegetable flour)",NA,NA
2034,"Dried and Dehydrated Fruits, Vegetables and Soup Mixes (except vegetable flour and soup mixes made from purchased dried and dehydrated ingredients)",NA,NA
2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes (soup mixes made from purchased dehydrated ingredients)",NA,NA
2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings (pickled fruits and vegetables)",NA,NA
2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings (sauces and salad dressings)",NA,NA
2037,"Frozen Fruits, Fruit Juices, and Vegetables",NA,NA
2038,"Frozen Specialties, NEC",NA,NA
2041,Flour and Other Grain Mill Products,NA,NA
2043,Cereal Breakfast Foods (cereal breakfast foods and related preparations except grain based coffee substitutes),NA,NA
2043,Cereal Breakfast Foods (grain based coffee substitutes),NA,NA
2044,Rice Milling,NA,NA
2045,Prepared Flour Mixes and Doughs,NA,NA
2046,Wet Corn Milling (except refining purchased corn oil),NA,NA
2046,Wet Corn Milling (refining purchased corn oil),NA,NA
2047,Dog and Cat Food,NA,NA
2048,"Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (except slaughtering animals for pet food)",NA,NA
2048,"Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (slaughtering animals for pet food)",NA,NA
2051,"Bread and Other Bakery Products, Except Cookies and Crackers",NA,NA
2052,Cookies and Crackers (unleavened bread and soft pretzels),NA,NA
2052,Cookies and Crackers (except unleavened bread and pretzels),NA,NA
2052,"Cookies and Crackers (hard pretzels and snack pretzels, except soft)",NA,NA
2053,"Frozen Bakery Products, Except Bread",NA,NA
2061,"Cane Sugar, Except Refining",NA,NA
2062,Cane Sugar Refining,NA,NA
2063,Beet Sugar,NA,NA
2064,Candy and Other Confectionery Products (nonchocolate confectionery ),NA,NA
2064,Candy and Other Confectionery Products (chocolate confectionery),NA,NA
2066,"Chocolate and Cocoa Products (except chocolate products, made from purchased chocolate)",NA,NA
2066,Chocolate and Cocoa Products (chocolate products made from purchased chocolate),NA,NA
2067,Chewing Gum,NA,NA
2068,Salted and Roasted Nuts and Seeds,NA,NA
2074,Cottonseed Oil Mills (cottonseed processing),NA,NA
2074,Cottonseed Oil Mills (processing purchased cottonseed oil),NA,NA
2075,"Soybean Oil Mills (soybean processing, except edible soybean oil)",NA,NA
2075,Soybean Oil Mills (processing purchased soybean oil),NA,NA
2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean (oilseed processing)",NA,NA
2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean (processing purchased vegetable and oilseed oils)",NA,NA
2077,Animal and Marine Fats and Oils (animal fats and oils),NA,NA
2077,Animal and Marine Fats and Oils (canned marine fats and oils),NA,NA
2077,Animal and Marine Fats and Oils (fresh and frozen marine fats and oils),NA,NA
2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC (processing soybean oil into edible cooking oils from soybeans crushed in the same establishment)",NA,NA
2079,"Shortening, Table Oils, Margarine and Other Edible Fats and Oils, NEC (processing vegetable oils, except soybean, into edible cooking oils from oilseeds and vegetables crushed in the same establishment)",NA,NA
2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC (except processing vegetable and soybean oils into edible oils from oilseeds and vegetables crushed in the same establishment)",NA,NA
2082,Malt Beverages (malt extract),NA,NA
2082,Malt Beverages (except malt extract),NA,NA
2083,Malt,NA,NA
2084,"Wines, Brandy, and Brandy Spirits",NA,NA
2085,Distilled and Blended Liquors (apple jack),NA,NA
2085,Distilled and Blended Liquors (except apple jack),NA,NA
2086,Bottled and Canned Soft Drinks and Carbonated Water (except bottled water),NA,NA
2086,Bottled and Canned Soft Drinks and Carbonated Water (bottled water),NA,NA
2087,"Flavoring Extracts and Flavoring Syrups, NEC (coffee flavoring and syrups)",NA,NA
2087,"Flavoring Extracts and Flavoring Syrups, NEC  (flavoring syrups and concentrates except coffee)",NA,NA
2087,"Flavoring Extracts and Flavoring Syrups, NEC (flavoring extracts and natural food colorings)",NA,NA
2087,"Flavoring Extracts and Flavoring Syrups, NEC (powered drink mix)",NA,NA
2091,Canned and Cured Fish and Seafoods,NA,NA
2092,Prepared Fresh or Frozen Fish and Seafoods,NA,NA
2095,Roasted Coffee,NA,NA
2096,"Potato Chips, Corn Chips, and Similar Snacks",NA,NA
2097,Manufactured Ice,NA,NA
2098,"Macaroni, Spaghetti, Vermicelli and Noodles",NA,NA
2099,"Food Preparations, NEC (reducing maple sap to maple syrup)",NA,NA
2099,"Food Preparations, NEC (reducing maple sap to maple syrup)",NA,NA
2099,"Food Preparations, NEC (rice, uncooked and packaged with other ingredients made in rice mills)",NA,NA
2099,"Food Preparations, NEC (marshmallow creme)",NA,NA
2099,"Food Preparations, NEC (bouillon and potatoes dried and packaged with other ingredients produced in dehydrating plants)",NA,NA
2099,"Food Preparations, NEC (dry pasta packaged with other ingredients made in dry pasta plants)",NA,NA
2099,"Food Preparations, NEC (tortillas)",NA,NA
2099,"Food Preparations, NEC (peanut butter)",NA,NA
2099,"Food Preparations, NEC (tea)",NA,NA
2099,"Food Preparations, NEC (vinegar, prepared dip)",NA,NA
2099,"Food Preparations, NEC (spices, dry dip mix, dry salad dressing mix, and seasoning mix)",NA,NA
2099,"Food Preparations, NEC (perishable prepared food)",NA,NA
2099,"Food Preparations, NEC (except bouillon, marshmallow creme, spices, peanut butter, perishable prepared foods, tortillas, tea and tea extracts, dry dip mix, prepared dips, dry salad dressing mix, seasoning mix, dried potatoes, pasta, and rice mixed with other ingredients in mills or dehydrating plants, reducing maple sap to maple syrup, wool grease, and vinegar)",NA,NA
2111,Cigarettes,NA,NA
2121,Cigars,NA,NA
2131,Chewing and Smoking Tobacco and Snuff,NA,NA
2141,Tobacco Stemming and Redrying (stemming and redrying tobacco),NA,NA
2141,Tobacco Stemming and Redrying (reconstituted tobacco),NA,NA
2211,"Broadwoven Fabric Mills, Cotton",NA,NA
2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk",NA,NA
2231,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing) (except finishing wool fabric without weaving wool fabric)",NA,NA
2231,"Broadwoven Fabric Mills, Wool (wool broadwoven fabric finishing without weaving fabric)",NA,NA
2231,"Broadwoven Fabric Mills, Wool (wool fabric, except broadwoven, finishing without weaving fabric)",NA,NA
2241,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk and Manmade Fiber",NA,NA
2251,"Women’s Full-Length and Knee-Length Hosiery, Except Socks (dyeing and finishing sheer hosiery without knitting sheer hosiery)",NA,NA
2251,"Women’s Full-Length and Knee-Length Hosiery, Except Socks (except dyeing and finishing sheer hosiery without knitting sheer hosiery)",NA,NA
2252,"Hosiery, NEC (dyeing and finishing hosiery , except sheer, without knitting hosiery)",NA,NA
2252,"Hosiery, NEC (girls’ full length and knee length sheer hosiery)",NA,NA
2252,"Hosiery, NEC (except girls' full-length and knee-length sheer hosiery and dyeing and finishing hosiery without knitting hosiery)",NA,NA
2253,Knit Outerwear Mills (dyeing and finishing knit outerwear without knitting outerwear),NA,NA
2253,Knit Outerwear Mills (except bath and lounging robes and dying and finish without knitting garments),NA,NA
2253,Knit Outerwear Mills (knitting bath or lounging robes),NA,NA
2254,Knit Underwear and Nightwear Mills (dyeing and finishing underwear and nightwear without knitting garments),NA,NA
2254,Knit Underwear and Nightwear Mills (except dyeing and finishing underwear and nightwear without knitting garments),NA,NA
2257,Weft Knit Fabric Mills (except finishing without knitting weft fabric),NA,NA
2257,Weft Knit Fabric Mills (finishing weft fabric without knitting weft fabric),NA,NA
2258,Lace and Warp Knit Fabric Mills (except finishing lace or warp fabric without knitting lace or warp fabric),NA,NA
2258,Lace and Warp Knit Fabric Mills (finishing lace or warp fabric without knitting lace or warp fabric),NA,NA
2259,"Knitting Mills, NEC (knitting weft fabric and fabricating textile products, such as bedspreads, curtains, or towels)",NA,NA
2259,"Knitting Mills, NEC (knitting lace or warp fabric and fabricating textile products, such as bedspreads, curtains, or towels)",NA,NA
2259,"Knitting Mills, NEC (dyeing and finishing knit gloves and mittens without knitting gloves or mittens)",NA,NA
2259,"Knitting Mills, NEC (knitting gloves and mittens)",NA,NA
2259,"Knitting Mills, NEC (knitting girdles and allied foundation garments)",NA,NA
2261,Finishers of Broadwoven Fabrics of Cotton,NA,NA
2262,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk,NA,NA
2269,"Finishers of Textiles, NEC (linen fabric finishing)",NA,NA
2269,"Finishers of Textiles, NEC (except linen fabric finishing)",NA,NA
2273,Carpets and Rugs,NA,NA
2281,Yarn Spinning Mills,NA,NA
2282,"Yarn Texturizing, Throwing, Twisting and Winding Mills",NA,NA
2284,Thread Mills (except finishing thread without manufacturing thread),NA,NA
2284,Thread Mills (finishing thread without manufacturing thread),NA,NA
2295,"Coated Fabrics, Not Rubberized",NA,NA
2296,Tire Cord and Fabrics,NA,NA
2297,Nonwoven Fabrics,NA,NA
2298,Cordage and Twine (hemp rope made in spinning mills),NA,NA
2298,Cordage and Twine (except hemp rope made in spinning mills),NA,NA
2299,"Textile Goods, NEC (hemp bags made in spinning mills)",NA,NA
2299,"Textile Goods, NEC (spinning yarn of flax, hemp, jute, and ramie)",NA,NA
2299,"Textile Goods, NEC (manufacturing thread of hemp, linen, and ramie)",NA,NA
2299,"Textile Goods, NEC (broadwoven fabrics of jute, linen, hemp, and ramie and hand woven fabrics)",NA,NA
2299,"Textile Goods, NEC (narrow woven fabric of jute, linen, hemp, and ramie)",NA,NA
2299,"Textile Goods, NEC (nonwoven felt)",NA,NA
2299,"Textile Goods, NEC (finishing hard fiber thread and yarn without manufacturing thread or yarn)",NA,NA
2299,"Textile Goods, NEC (manufacturing other textile products)",NA,NA
2311,"Men’s and Boys’ Suits, Coats, and Overcoats (contractors)",NA,NA
2311,"Men’s and Boys’ Suits, Coats, and Overcoats (contractors)",NA,NA
2311,"Men’s and Boys’ Suits, Coats, and Overcoats (except contractors)",NA,NA
2321,"Men’s and Boys’ Shirts, Except Work Shirts (contractors)",NA,NA
2321,"Men’s and Boys’ Shirts, Except Work Shirts (contractors)",NA,NA
2321,"Men’s and Boys’ Shirts, Except Work Shirts (except contractors)",NA,NA
2322,Men’s and Boys’ Underwear and Nightwear (contractors),NA,NA
2322,Men’s and Boys’ Underwear and Nightwear (contractors),NA,NA
2322,Men’s and Boys’ Underwear and Nightwear (except contractors),NA,NA
2323,Men's and Boys' Neckwear (contractors),NA,NA
2323,Men's and Boys' Neckwear (contractors),NA,NA
2323,Men’s and Boys’ Neckwear (except contractors),NA,NA
2325,Men’s and Boys’ Separate Trousers and Slacks (contractors),NA,NA
2325,Men’s and Boys’ Separate Trousers and Slacks (contractors),NA,NA
2325,Men’s and Boys’ Separate Trousers and Slacks (except  contractors),NA,NA
2326,Men’s and Boys’ Work Clothing (contractors),NA,NA
2326,Men’s and Boys’ Work Clothing (contractors),NA,NA
2326,Men’s and Boys’ Work Clothing (except contractors),NA,NA
2329,"Men’s and Boys’ Clothing, NEC (contractors)",NA,NA
2329,"Men’s and Boys’ Clothing, NEC (contractors)",NA,NA
2329,"Men’s and Boys’ Clothing, NEC (except team athletic uniforms and contractors)",NA,NA
2329,"Men’s and Boys’ Clothing, NEC (team athletic uniforms except contractors)",NA,NA
2331,"Women’s, Misses’, and Juniors’ Blouses and Shirts (contractors)",NA,NA
2331,"Women’s, Misses’, and Juniors’ Blouses and Shirts (contractors)",NA,NA
2331,"Women’s, Misses’, and Juniors’ Blouses and Shirts (except contractors)",NA,NA
2335,"Women’s, Misses’, and Juniors’ Dresses (contractors)",NA,NA
2335,"Women’s, Misses’, and Juniors’ Dresses (contractors)",NA,NA
2335,"Women’s, Misses’, and Juniors’ Dresses (except contractors)",NA,NA
2337,"Women’s, Misses’, and Juniors’ Suits, Skirts, and Coats (contractors)",NA,NA
2337,"Women’s, Misses’, and Juniors’ Suits, Skirts, and Coats (contractors)",NA,NA
2337,"Women’s, Misses’, and Juniors’ Suits, Skirts, and Coats (except contractors)",NA,NA
2339,"Women’s, Misses’, and Juniors’ Outerwear, NEC (contractors)",NA,NA
2339,"Women’s, Misses’, and Juniors’ Outerwear, NEC (contractors)",NA,NA
2339,"Women’s, Misses’, and Juniors’ Outerwear, NEC (except team athletic uniforms, scarves,  and contractors)",NA,NA
2339,"Women’s, Misses’, and Juniors’ Outerwear, NEC (team athletic uniforms except contractors)",NA,NA
2339,"Women’s, Misses’, and Juniors’ Outerwear, NEC (scarves except contractors)",NA,NA
2341,"Women’s, Misses’, Children’s, and Infants’ Underwear and Nightwear (boys’ contractors)",NA,NA
2341,"Women’s, Misses’, Children’s, and Infants’ Underwear and Nightwear (women's, girls', and infants' contractors)",NA,NA
