code,title,level
13-1111,Management Analysts,detailed
13-1120,Meeting and Convention Planners,broad
13-1121,Meeting and Convention Planners,detailed
13-1190,Miscellaneous Business Operations Specialists,broad
13-1199,"Business Operations Specialists, All Other",detailed
13-2000,Financial Specialists,minor
13-2010,Accountants and Auditors,broad
13-2011,Accountants and Auditors,detailed
13-2020,Appraisers and Assessors of Real Estate,broad
13-2021,Appraisers and Assessors of Real Estate,detailed
13-2030,Budget Analysts,broad
13-2031,Budget Analysts,detailed
13-2040,Credit Analysts,broad
13-2041,Credit Analysts,detailed
13-2050,Financial Analysts and Advisors,broad
13-2051,Financial Analysts,detailed
13-2052,Personal Financial Advisors,detailed
13-2053,Insurance Underwriters,detailed
13-2060,Financial Examiners,broad
13-2061,Financial Examiners,detailed
13-2070,Loan Counselors and Officers,broad
13-2071,Loan Counselors,detailed
13-2072,Loan Officers,detailed
13-2080,"Tax Examiners, Collectors, Preparers, and Revenue Agents",broad
13-2081,"Tax Examiners, Collectors, and Revenue Agents",detailed
13-2082,Tax Preparers,detailed
13-2090,Miscellaneous Financial Specialists,broad
13-2099,"Financial Specialists, All Other",detailed
15-0000,Computer and Mathematical Occupations,major
15-1000,Computer Specialists,minor
15-1010,"Computer and Information Scientists, Research",broad
15-1011,"Computer and Information Scientists, Research",detailed
15-1020,Computer Programmers,broad
15-1021,Computer Programmers,detailed
15-1030,Computer Software Engineers,broad
15-1031,"Computer Software Engineers, Applications",detailed
15-1032,"Computer Software Engineers, Systems Software",detailed
15-1040,Computer Support Specialists,broad
15-1041,Computer Support Specialists,detailed
15-1050,Computer Systems Analysts,broad
15-1051,Computer Systems Analysts,detailed
15-1060,Database Administrators,broad
15-1061,Database Administrators,detailed
15-1070,Network and Computer Systems Administrators,broad
15-1071,Network and Computer Systems Administrators,detailed
15-1080,Network Systems and Data Communications Analysts,broad
15-1081,Network Systems and Data Communications Analysts,detailed
15-1090,Miscellaneous Computer Specialists,broad
15-1099,"Computer Specialists, All Other",detailed
15-2000,Mathematical Science Occupations,minor
15-2010,Actuaries,broad
15-2011,Actuaries,detailed
15-2020,Mathematicians,broad
15-2021,Mathematicians,detailed
15-2030,Operations Research Analysts,broad
15-2031,Operations Research Analysts,detailed
15-2040,Statisticians,broad
15-2041,Statisticians,detailed
15-2090,Miscellaneous Mathematical Science Occupations,broad
15-2091,Mathematical Technicians,detailed
15-2099,"Mathematical Science Occupations, All Other",detailed
17-0000,Architecture and Engineering Occupations,major
17-1000,"Architects, Surveyors, and Cartographers",minor
17-1010,"Architects, Except Naval",broad
17-1011,"Architects, Except Landscape and Naval",detailed
17-1012,Landscape Architects,detailed
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad
17-1021,Cartographers and Photogrammetrists,detailed
17-1022,Surveyors,detailed
17-2000,Engineers,minor
17-2010,Aerospace Engineers,broad
17-2011,Aerospace Engineers,detailed
17-2020,Agricultural Engineers,broad
17-2021,Agricultural Engineers,detailed
17-2030,Biomedical Engineers,broad
17-2031,Biomedical Engineers,detailed
17-2040,Chemical Engineers,broad
17-2041,Chemical Engineers,detailed
17-2050,Civil Engineers,broad
17-2051,Civil Engineers,detailed
17-2060,Computer Hardware Engineers,broad
17-2061,Computer Hardware Engineers,detailed
17-2070,Electrical and Electronics Engineers,broad
17-2071,Electrical Engineers,detailed
17-2072,"Electronics Engineers, Except Computer",detailed
17-2080,Environmental Engineers,broad
17-2081,Environmental Engineers,detailed
17-2110,"Industrial Engineers, Including Health and Safety",broad
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed
17-2112,Industrial Engineers,detailed
17-2120,Marine Engineers and Naval Architects,broad
17-2121,Marine Engineers and Naval Architects,detailed
17-2130,Materials Engineers,broad
17-2131,Materials Engineers,detailed
17-2140,Mechanical Engineers,broad
17-2141,Mechanical Engineers,detailed
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed
17-2160,Nuclear Engineers,broad
17-2161,Nuclear Engineers,detailed
17-2170,Petroleum Engineers,broad
17-2171,Petroleum Engineers,detailed
17-2190,Miscellaneous Engineers,broad
17-2199,"Engineers, All Other",detailed
17-3000,"Drafters, Engineering, and Mapping Technicians",minor
17-3010,Drafters,broad
17-3011,Architectural and Civil Drafters,detailed
17-3012,Electrical and Electronics Drafters,detailed
17-3013,Mechanical Drafters,detailed
17-3019,"Drafters, All Other",detailed
17-3020,"Engineering Technicians, Except Drafters",broad
17-3021,Aerospace Engineering and Operations Technicians,detailed
17-3022,Civil Engineering Technicians,detailed
17-3023,Electrical and Electronic Engineering Technicians,detailed
17-3024,Electro-Mechanical Technicians,detailed
17-3025,Environmental Engineering Technicians,detailed
17-3026,Industrial Engineering Technicians,detailed
17-3027,Mechanical Engineering Technicians,detailed
17-3029,"Engineering Technicians, Except Drafters, All Other",detailed
17-3030,Surveying and Mapping Technicians,broad
17-3031,Surveying and Mapping Technicians,detailed
19-0000,"Life, Physical, and Social Science Occupations",major
19-1000,Life Scientists,minor
19-1010,Agricultural and Food Scientists,broad
19-1011,Animal Scientists,detailed
19-1012,Food Scientists and Technologists,detailed
19-1013,Soil and Plant Scientists,detailed
19-1020,Biological Scientists,broad
19-1021,Biochemists and Biophysicists,detailed
19-1022,Microbiologists,detailed
19-1023,Zoologists and Wildlife Biologists,detailed
19-1029,"Biological Scientists, All Other",detailed
19-1030,Conservation Scientists and Foresters,broad
19-1031,Conservation Scientists,detailed
19-1032,Foresters,detailed
19-1040,Medical Scientists,broad
19-1041,Epidemiologists,detailed
19-1042,"Medical Scientists, Except Epidemiologists",detailed
19-1090,Miscellaneous Life Scientists,broad
19-1099,"Life Scientists, All Other",detailed
19-2000,Physical Scientists,minor
19-2010,Astronomers and Physicists,broad
19-2011,Astronomers,detailed
19-2012,Physicists,detailed
19-2020,Atmospheric and Space Scientists,broad
19-2021,Atmospheric and Space Scientists,detailed
19-2030,Chemists and Materials Scientists,broad
19-2031,Chemists,detailed
19-2032,Materials Scientists,detailed
19-2040,Environmental Scientists and Geoscientists,broad
19-2041,"Environmental Scientists and Specialists, Including Health",detailed
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed
19-2043,Hydrologists,detailed
19-2090,Miscellaneous Physical Scientists,broad
19-2099,"Physical Scientists, All Other",detailed
19-3000,Social Scientists and Related Workers,minor
19-3010,Economists,broad
19-3011,Economists,detailed
19-3020,Market and Survey Researchers,broad
19-3021,Market Research Analysts,detailed
19-3022,Survey Researchers,detailed
19-3030,Psychologists,broad
19-3031,"Clinical, Counseling, and School Psychologists",detailed
19-3032,Industrial-Organizational Psychologists,detailed
19-3039,"Psychologists, All Other",detailed
19-3040,Sociologists,broad
19-3041,Sociologists,detailed
19-3050,Urban and Regional Planners,broad
19-3051,Urban and Regional Planners,detailed
19-3090,Miscellaneous Social Scientists and Related Workers,broad
19-3091,Anthropologists and Archeologists,detailed
19-3092,Geographers,detailed
19-3093,Historians,detailed
19-3094,Political Scientists,detailed
19-3099,"Social Scientists and Related Workers, All Other",detailed
19-4000,"Life, Physical, and Social Science Technicians",minor
19-4010,Agricultural and Food Science Technicians,broad
19-4011,Agricultural and Food Science Technicians,detailed
19-4020,Biological Technicians,broad
19-4021,Biological Technicians,detailed
19-4030,Chemical Technicians,broad
19-4031,Chemical Technicians,detailed
19-4040,Geological and Petroleum Technicians,broad
19-4041,Geological and Petroleum Technicians,detailed
19-4050,Nuclear Technicians,broad
19-4051,Nuclear Technicians,detailed
19-4060,Social Science Research Assistants,broad
19-4061,Social Science Research Assistants,detailed
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad
19-4091,"Environmental Science and Protection Technicians, Including Health",detailed
19-4092,Forensic Science Technicians,detailed
19-4093,Forest and Conservation Technicians,detailed
19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed
21-0000,Community and Social Services Occupations,major
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor
21-1010,Counselors,broad
21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed
21-1012,"Educational, Vocational, and School Counselors",detailed
21-1013,Marriage and Family Therapists,detailed
21-1014,Mental Health Counselors,detailed
21-1015,Rehabilitation Counselors,detailed
21-1019,"Counselors, All Other",detailed
21-1020,Social Workers,broad
21-1021,"Child, Family, and School Social Workers",detailed
21-1022,Medical and Public Health Social Workers,detailed
21-1023,Mental Health and Substance Abuse Social Workers,detailed
21-1029,"Social Workers, All Other",detailed
21-1090,Miscellaneous Community and Social Service Specialists,broad
21-1091,Health Educators,detailed
21-1092,Probation Officers and Correctional Treatment Specialists,detailed
21-1093,Social and Human Service Assistants,detailed
21-1099,"Community and Social Service Specialists, All Other",detailed
21-2000,Religious Workers,minor
21-2010,Clergy,broad
21-2011,Clergy,detailed
21-2020,"Directors, Religious Activities and Education",broad
21-2021,"Directors, Religious Activities and Education",detailed
21-2090,Miscellaneous Religious Workers,broad
21-2099,"Religious Workers, All Other",detailed
23-0000,Legal Occupations,major
23-1000,"Lawyers, Judges, and Related Workers",minor
23-1010,Lawyers,broad
23-1011,Lawyers,detailed
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed
23-1022,"Arbitrators, Mediators, and Conciliators",detailed
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed
23-2000,Legal Support Workers,minor
23-2010,Paralegals and Legal Assistants,broad
23-2011,Paralegals and Legal Assistants,detailed
23-2090,Miscellaneous Legal Support Workers,broad
23-2091,Court Reporters,detailed
23-2092,Law Clerks,detailed
23-2093,"Title Examiners, Abstractors, and Searchers",detailed
23-2099,"Legal Support Workers, All Other",detailed
25-0000,"Education, Training, and Library Occupations",major
25-1000,Postsecondary Teachers,minor
25-1010,"Business Teachers, Postsecondary",broad
25-1011,"Business Teachers, Postsecondary",detailed
25-1020,"Math and Computer Teachers, Postsecondary",broad
25-1021,"Computer Science Teachers, Postsecondary",detailed
25-1022,"Mathematical Science Teachers, Postsecondary",detailed
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad
25-1031,"Architecture Teachers, Postsecondary",detailed
25-1032,"Engineering Teachers, Postsecondary",detailed
25-1040,"Life Sciences Teachers, Postsecondary",broad
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed
25-1042,"Biological Science Teachers, Postsecondary",detailed
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed
25-1050,"Physical Sciences Teachers, Postsecondary",broad
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed
25-1052,"Chemistry Teachers, Postsecondary",detailed
25-1053,"Environmental Science Teachers, Postsecondary",detailed
25-1054,"Physics Teachers, Postsecondary",detailed
25-1060,"Social Sciences Teachers, Postsecondary",broad
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed
25-1063,"Economics Teachers, Postsecondary",detailed
25-1064,"Geography Teachers, Postsecondary",detailed
25-1065,"Political Science Teachers, Postsecondary",detailed
25-1066,"Psychology Teachers, Postsecondary",detailed
25-1067,"Sociology Teachers, Postsecondary",detailed
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed
25-1070,"Health Teachers, Postsecondary",broad
25-1071,"Health Specialties Teachers, Postsecondary",detailed
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed
25-1080,"Education and Library Science Teachers, Postsecondary",broad
25-1081,"Education Teachers, Postsecondary",detailed
25-1082,"Library Science Teachers, Postsecondary",detailed
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed
25-1112,"Law Teachers, Postsecondary",detailed
25-1113,"Social Work Teachers, Postsecondary",detailed
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed
25-1122,"Communications Teachers, Postsecondary",detailed
25-1123,"English Language and Literature Teachers, Postsecondary",detailed
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed
25-1125,"History Teachers, Postsecondary",detailed
25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed
25-1190,Miscellaneous Postsecondary Teachers,broad
25-1191,Graduate Teaching Assistants,detailed
25-1192,"Home Economics Teachers, Postsecondary",detailed
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed
25-1194,"Vocational Education Teachers, Postsecondary",detailed
25-1199,"Postsecondary Teachers, All Other",detailed
25-2000,"Primary, Secondary, and Special Education School Teachers",minor
25-2010,Preschool and Kindergarten Teachers,broad
25-2011,"Preschool Teachers, Except Special Education",detailed
25-2012,"Kindergarten Teachers, Except Special Education",detailed
25-2020,Elementary and Middle School Teachers,broad
25-2021,"Elementary School Teachers, Except Special Education",detailed
25-2022,"Middle School Teachers, Except Special and Vocational Education",detailed
25-2023,"Vocational Education Teachers, Middle School",detailed
25-2030,Secondary School Teachers,broad
25-2031,"Secondary School Teachers, Except Special and Vocational Education",detailed
25-2032,"Vocational Education Teachers, Secondary School",detailed
25-2040,Special Education Teachers,broad
25-2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",detailed
25-2042,"Special Education Teachers, Middle School",detailed
25-2043,"Special Education Teachers, Secondary School",detailed
25-3000,Other Teachers and Instructors,minor
25-3010,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",broad
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",detailed
25-3020,Self-Enrichment Education Teachers,broad
25-3021,Self-Enrichment Education Teachers,detailed
25-3090,Miscellaneous Teachers and Instructors,broad
25-3099,"Teachers and Instructors, All Other",detailed
25-4000,"Librarians, Curators, and Archivists",minor
25-4010,"Archivists, Curators, and Museum Technicians",broad
25-4011,Archivists,detailed
25-4012,Curators,detailed
25-4013,Museum Technicians and Conservators,detailed
25-4020,Librarians,broad
25-4021,Librarians,detailed
25-4030,Library Technicians,broad
25-4031,Library Technicians,detailed
25-9000,"Other Education, Training, and Library Occupations",minor
25-9010,Audio-Visual Collections Specialists,broad
25-9011,Audio-Visual Collections Specialists,detailed
25-9020,Farm and Home Management Advisors,broad
25-9021,Farm and Home Management Advisors,detailed
25-9030,Instructional Coordinators,broad
25-9031,Instructional Coordinators,detailed
25-9040,Teacher Assistants,broad
25-9041,Teacher Assistants,detailed
25-9090,"Miscellaneous Education, Training, and Library Workers",broad
25-9099,"Education, Training, and Library Workers, All Other",detailed
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major
27-1000,Art and Design Workers,minor
27-1010,Artists and Related Workers,broad
27-1011,Art Directors,detailed
27-1012,Craft Artists,detailed
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed
27-1014,Multi-Media Artists and Animators,detailed
27-1019,"Artists and Related Workers, All Other",detailed
27-1020,Designers,broad
27-1021,Commercial and Industrial Designers,detailed
27-1022,Fashion Designers,detailed
27-1023,Floral Designers,detailed
27-1024,Graphic Designers,detailed
27-1025,Interior Designers,detailed
27-1026,Merchandise Displayers and Window Trimmers,detailed
27-1027,Set and Exhibit Designers,detailed
27-1029,"Designers, All Other",detailed
27-2000,"Entertainers and Performers, Sports and Related Workers",minor
27-2010,"Actors, Producers, and Directors",broad
27-2011,Actors,detailed
27-2012,Producers and Directors,detailed
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad
27-2021,Athletes and Sports Competitors,detailed
27-2022,Coaches and Scouts,detailed
27-2023,"Umpires, Referees, and Other Sports Officials",detailed
27-2030,Dancers and Choreographers,broad
27-2031,Dancers,detailed
27-2032,Choreographers,detailed
27-2040,"Musicians, Singers, and Related Workers",broad
27-2041,Music Directors and Composers,detailed
27-2042,Musicians and Singers,detailed
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed
27-3000,Media and Communication Workers,minor
27-3010,Announcers,broad
27-3011,Radio and Television Announcers,detailed
27-3012,Public Address System and Other Announcers,detailed
27-3020,"News Analysts, Reporters and Correspondents",broad
27-3021,Broadcast News Analysts,detailed
27-3022,Reporters and Correspondents,detailed
27-3030,Public Relations Specialists,broad
27-3031,Public Relations Specialists,detailed
27-3040,Writers and Editors,broad
27-3041,Editors,detailed
27-3042,Technical Writers,detailed
27-3043,Writers and Authors,detailed
27-3090,Miscellaneous Media and Communication Workers,broad
27-3091,Interpreters and Translators,detailed
27-3099,"Media and Communication Workers, All Other",detailed
27-4000,Media and Communication Equipment Workers,minor
27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad
27-4011,Audio and Video Equipment Technicians,detailed
27-4012,Broadcast Technicians,detailed
27-4013,Radio Operators,detailed
27-4014,Sound Engineering Technicians,detailed
27-4020,Photographers,broad
27-4021,Photographers,detailed
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad
27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed
27-4032,Film and Video Editors,detailed
27-4090,Miscellaneous Media and Communication Equipment Workers,broad
27-4099,"Media and Communication Equipment Workers, All Other",detailed
29-0000,Healthcare Practitioners and Technical Occupations,major
29-1000,Health Diagnosing and Treating Practitioners,minor
29-1010,Chiropractors,broad
29-1011,Chiropractors,detailed
29-1020,Dentists,broad
29-1021,"Dentists, General",detailed
29-1022,Oral and Maxillofacial Surgeons,detailed
29-1023,Orthodontists,detailed
29-1024,Prosthodontists,detailed
29-1029,"Dentists, All Other Specialists",detailed
29-1030,Dietitians and Nutritionists,broad
29-1031,Dietitians and Nutritionists,detailed
29-1040,Optometrists,broad
29-1041,Optometrists,detailed
29-1050,Pharmacists,broad
29-1051,Pharmacists,detailed
29-1060,Physicians and Surgeons,broad
29-1061,Anesthesiologists,detailed
29-1062,Family and General Practitioners,detailed
29-1063,"Internists, General",detailed
29-1064,Obstetricians and Gynecologists,detailed
29-1065,"Pediatricians, General",detailed
29-1066,Psychiatrists,detailed
29-1067,Surgeons,detailed
29-1069,"Physicians and Surgeons, All Other",detailed
29-1070,Physician Assistants,broad
29-1071,Physician Assistants,detailed
29-1080,Podiatrists,broad
29-1081,Podiatrists,detailed
29-1110,Registered Nurses,broad
29-1111,Registered Nurses,detailed
29-1120,Therapists,broad
29-1121,Audiologists,detailed
29-1122,Occupational Therapists,detailed
29-1123,Physical Therapists,detailed
29-1124,Radiation Therapists,detailed
29-1125,Recreational Therapists,detailed
29-1126,Respiratory Therapists,detailed
29-1127,Speech-Language Pathologists,detailed
29-1129,"Therapists, All Other",detailed
29-1130,Veterinarians,broad
29-1131,Veterinarians,detailed
29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,broad
29-1199,"Health Diagnosing and Treating Practitioners, All Other",detailed
29-2000,Health Technologists and Technicians,minor
29-2010,Clinical Laboratory Technologists and Technicians,broad
29-2011,Medical and Clinical Laboratory Technologists,detailed
29-2012,Medical and Clinical Laboratory Technicians,detailed
29-2020,Dental Hygienists,broad
29-2021,Dental Hygienists,detailed
29-2030,Diagnostic Related Technologists and Technicians,broad
29-2031,Cardiovascular Technologists and Technicians,detailed
29-2032,Diagnostic Medical Sonographers,detailed
29-2033,Nuclear Medicine Technologists,detailed
29-2034,Radiologic Technologists and Technicians,detailed
29-2040,Emergency Medical Technicians and Paramedics,broad
29-2041,Emergency Medical Technicians and Paramedics,detailed
29-2050,Health Diagnosing and Treating Practitioner Support Technicians,broad
29-2051,Dietetic Technicians,detailed
29-2052,Pharmacy Technicians,detailed
29-2053,Psychiatric Technicians,detailed
29-2054,Respiratory Therapy Technicians,detailed
29-2055,Surgical Technologists,detailed
29-2056,Veterinary Technologists and Technicians,detailed
29-2060,Licensed Practical and Licensed Vocational Nurses,broad
29-2061,Licensed Practical and Licensed Vocational Nurses,detailed
29-2070,Medical Records and Health Information Technicians,broad
29-2071,Medical Records and Health Information Technicians,detailed
29-2080,"Opticians, Dispensing",broad
29-2081,"Opticians, Dispensing",detailed
29-2090,Miscellaneous Health Technologists and Technicians,broad
29-2091,Orthotists and Prosthetists,detailed
29-2099,"Health Technologists and Technicians, All Other",detailed
29-9000,Other Healthcare Practitioners and Technical Occupations,minor
29-9010,Occupational Health and Safety Specialists and Technicians,broad
29-9011,Occupational Health and Safety Specialists,detailed
29-9012,Occupational Health and Safety Technicians,detailed
29-9090,Miscellaneous Health Practitioners and Technical Workers,broad
29-9091,Athletic Trainers,detailed
29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed
31-0000,Healthcare Support Occupations,major
31-1000,"Nursing, Psychiatric, and Home Health Aides",minor
31-1010,"Nursing, Psychiatric, and Home Health Aides",broad
31-1011,Home Health Aides,detailed
31-1012,"Nursing Aides, Orderlies, and Attendants",detailed
31-1013,Psychiatric Aides,detailed
31-2000,Occupational and Physical Therapist Assistants and Aides,minor
31-2010,Occupational Therapist Assistants and Aides,broad
31-2011,Occupational Therapist Assistants,detailed
31-2012,Occupational Therapist Aides,detailed
31-2020,Physical Therapist Assistants and Aides,broad
31-2021,Physical Therapist Assistants,detailed
31-2022,Physical Therapist Aides,detailed
31-9000,Other Healthcare Support Occupations,minor
31-9010,Massage Therapists,broad
31-9011,Massage Therapists,detailed
31-9090,Miscellaneous Healthcare Support Occupations,broad
31-9091,Dental Assistants,detailed
31-9092,Medical Assistants,detailed
31-9093,Medical Equipment Preparers,detailed
31-9094,Medical Transcriptionists,detailed
31-9095,Pharmacy Aides,detailed
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed
31-9099,"Healthcare Support Workers, All Other",detailed
33-0000,Protective Service Occupations,major
33-1000,"First-Line Supervisors/Managers, Protective Service Workers",minor
33-1010,"First-Line Supervisors/Managers, Law Enforcement Workers",broad
33-1011,First-Line Supervisors/Managers of Correctional Officers,detailed
33-1012,First-Line Supervisors/Managers of Police and Detectives,detailed
33-1020,"First-Line Supervisors/Managers, Fire Fighting and Prevention Workers",broad
33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,detailed
33-1090,"Miscellaneous First-Line Supervisors/Managers, Protective Service Workers",broad
33-1099,"First-Line Supervisors/Managers, Protective Service Workers, All Other",detailed
33-2000,Fire Fighting and Prevention Workers,minor
33-2010,Fire Fighters,broad
33-2011,Fire Fighters,detailed
33-2020,Fire Inspectors,broad
33-2021,Fire Inspectors and Investigators,detailed
33-2022,Forest Fire Inspectors and Prevention Specialists,detailed
33-3000,Law Enforcement Workers,minor
33-3010,"Bailiffs, Correctional Officers, and Jailers",broad
33-3011,Bailiffs,detailed
33-3012,Correctional Officers and Jailers,detailed
33-3020,Detectives and Criminal Investigators,broad
33-3021,Detectives and Criminal Investigators,detailed
33-3030,Fish and Game Wardens,broad
33-3031,Fish and Game Wardens,detailed
33-3040,Parking Enforcement Workers,broad
33-3041,Parking Enforcement Workers,detailed
33-3050,Police Officers,broad
33-3051,Police and Sheriff's Patrol Officers,detailed
33-3052,Transit and Railroad Police,detailed
33-9000,Other Protective Service Workers,minor
33-9010,Animal Control Workers,broad
33-9011,Animal Control Workers,detailed
33-9020,Private Detectives and Investigators,broad
33-9021,Private Detectives and Investigators,detailed
33-9030,Security Guards and Gaming Surveillance Officers,broad
33-9031,Gaming Surveillance Officers and Gaming Investigators,detailed
33-9032,Security Guards,detailed
33-9090,Miscellaneous Protective Service Workers,broad
33-9091,Crossing Guards,detailed
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed
33-9099,"Protective Service Workers, All Other",detailed
35-0000,Food Preparation and Serving Related Occupations,major
35-1000,"Supervisors, Food Preparation and Serving Workers",minor
35-1010,"First-Line Supervisors/Managers, Food Preparation and Serving Workers",broad
35-1011,Chefs and Head Cooks,detailed
35-1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,detailed
35-2000,Cooks and Food Preparation Workers,minor
35-2010,Cooks,broad
35-2011,"Cooks, Fast Food",detailed
