isco1988,isco1988_title,isco2008,isco2008_title
4143,"Coding, Proof-reading and Related Clerks",4413,"Coding, Proofreading and Related Clerks"
4144,Scribes and Related Workers,4414,Scribes and Related Workers
4141,Library and Filing Clerks,4415,Filing and Copying Clerks
4190,Other Office Clerks,4416,Personnel Clerks
4190,Other Office Clerks,4419,Clerical Support Workers Not Elsewhere Classified
5111,Travel Attendants and Travel Stewards,5111,Travel Attendants and Travel Stewards
5112,Transport Conductors,5112,Transport Conductors
5113,Travel Guides,5113,Travel Guides
5122,Cooks,5120,Cooks
5123,"Waiters, Waitresses and Bartenders",5131,Waiters
5123,"Waiters, Waitresses and Bartenders",5132,Bartenders
5141,"Hairdressers, Barbers, Beauticians and Related Workers",5141,Hairdressers
5141,"Hairdressers, Barbers, Beauticians and Related Workers",5142,Beauticians and Related Workers
5121,Housekeepers and Related Workers,5151,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments"
5121,Housekeepers and Related Workers,5152,Domestic Housekeepers
9141,Building Caretakers,5153,Building Caretakers
5151,Astrologers and Related Workers,5161,"Astrologers, Fortune-tellers and Related Workers"
5152,"Fortune-tellers, Palmists and Related Workers",5161,"Astrologers, Fortune-tellers and Related Workers"
5142,Companions and Valets,5162,Companions and Valets
5143,Undertakers and Embalmers,5163,Undertakers and Embalmers
5139,Personal Care and Related Workers Not Elsewhere Classified,5164,Pet Groomers and Animal Care Workers
6129,Market-oriented Animal Producers and Related Workers Not Elsewhere Classified,5164,Pet Groomers and Animal Care Workers
3340,Other Teaching Associate Professionals,5165,Driving Instructors
5149,Other Personal Services Workers Not Elsewhere Classified,5169,Personal Services Workers Not Elsewhere Classified
5230,Stall and Market Salespersons,5211,Stall and Market Salespersons
9111,Street Food Vendors,5212,Street Food Salespersons
1314,General Managers in Wholesale and Retail Trade,5221,Shopkeepers
5220,Shop Salespersons and Demonstrators,5222,Shop Supervisors
5220,Shop Salespersons and Demonstrators,5223,Shop Sales Assistants
4211,Cashiers and Ticket Clerks,5230,Cashiers and Ticket Clerks
5210,Fashion and Other Models,5241,Fashion and Other Models
5220,Shop Salespersons and Demonstrators,5242,Sales Demonstrators
9113,Door-to-door and Telephone Salespersons,5243,Door-to-door Salespersons
9113,Door-to-door and Telephone Salespersons,5244,Contact Centre Salespersons
5220,Shop Salespersons and Demonstrators,5245,Service Station Attendants
5220,Shop Salespersons and Demonstrators,5246,Food Service Counter Attendants
5230,Stall and Market Salespersons,5246,Food Service Counter Attendants
5220,Shop Salespersons and Demonstrators,5249,Sales Workers Not Elsewhere Classified
5131,Child-care Workers,5311,Child Care Workers
5131,Child-care Workers,5312,Teachers’ Aides
5132,Institution-based Personal Care Workers,5321,Health Care Assistants
5133,Home-based Personal Care Workers,5322,Home-based Personal Care Workers
5132,Institution-based Personal Care Workers,5329,Personal Care Workers in Health Services Not Elsewhere Classified
5139,Personal Care and Related Workers Not Elsewhere Classified,5329,Personal Care Workers in Health Services Not Elsewhere Classified
5161,Fire-fighters,5411,Firefighters
5162,Police Officers,5412,Police Officers
5163,Prison Guards,5413,Prison Guards
5169,Protective Services Workers Not Elsewhere Classified,5414,Security Guards
9152,"Doorkeepers, Watchpersons and Related Workers",5414,Security Guards
5169,Protective Services Workers Not Elsewhere Classified,5419,Protective Services Workers Not Elsewhere Classified
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6111,Field Crop and Vegetable Growers
6111,Field Crop and Vegetable Growers,6111,Field Crop and Vegetable Growers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6112,Tree and Shrub Crop Growers
6112,Tree and Shrub Crop Growers,6112,Tree and Shrub Crop Growers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6113,Gardeners; Horticultural and Nursery Growers
6113,"Gardeners, Horticultural and Nursery Growers",6113,Gardeners; Horticultural and Nursery Growers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6114,Mixed Crop Growers
6114,Mixed-crop Growers,6114,Mixed Crop Growers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6121,Livestock and Dairy Producers
6121,Dairy and Livestock Producers,6121,Livestock and Dairy Producers
6124,Mixed-animal Producers,6121,Livestock and Dairy Producers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6122,Poultry Producers
6122,Poultry Producers,6122,Poultry Producers
6124,Mixed-animal Producers,6122,Poultry Producers
6123,Apiarists and Sericulturists,6123,Apiarists and Sericulturists
6124,Mixed-animal Producers,6123,Apiarists and Sericulturists
6129,Market-oriented Animal Producers and Related Workers Not Elsewhere Classified,6129,Animal Producers Not Elsewhere Classified
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6130,Mixed Crop and Animal Producers
6130,Market-oriented Crop and Animal Producers,6130,Mixed Crop and Animal Producers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6210,Forestry and Related Workers
6141,Forestry Workers and Loggers,6210,Forestry and Related Workers
6142,Charcoal Burners and Related Workers,6210,Forestry and Related Workers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6221,Aquaculture Workers
6151,Aquatic-life Cultivation Workers,6221,Aquaculture Workers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6222,Inland and Coastal Waters Fishery Workers
6152,Inland and Coastal Waters Fishery Workers,6222,Inland and Coastal Waters Fishery Workers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",6223,Deep-sea Fishery Workers
6153,Deep-sea Fishery Workers,6223,Deep-sea Fishery Workers
6154,Hunters and Trappers,6224,Hunters and Trappers
6210,Subsistence Agricultural and Fishery Workers,6310,Subsistence Crop Farmers
6210,Subsistence Agricultural and Fishery Workers,6320,Subsistence Livestock Farmers
6210,Subsistence Agricultural and Fishery Workers,6330,Subsistence Mixed Crop and Livestock Farmers
6210,Subsistence Agricultural and Fishery Workers,6340,"Subsistence Fishers, Hunters, Trappers and Gatherers"
7121,"Builders, Traditional Materials",7111,House Builders
7129,Building Frame and Related Trades Workers Not Elsewhere Classified,7111,House Builders
7122,Bricklayers and Stonemasons,7112,Bricklayers and Related Workers
7113,"Stone Splitters, Cutters and Carvers",7113,"Stonemasons, Stone Cutters, Splitters and Carvers"
7122,Bricklayers and Stonemasons,7113,"Stonemasons, Stone Cutters, Splitters and Carvers"
7123,"Concrete Placers, Concrete Finishers and Related Workers",7114,"Concrete Placers, Concrete Finishers and Related Workers"
7124,Carpenters and Joiners,7115,Carpenters and Joiners
7129,Building Frame and Related Trades Workers Not Elsewhere Classified,7119,Building Frame and Related Trades Workers Not Elsewhere Classified
7131,Roofers,7121,Roofers
7132,Floor Layers and Tile Setters,7122,Floor Layers and Tile Setters
7133,Plasterers,7123,Plasterers
7134,Insulation Workers,7124,Insulation Workers
7135,Glaziers,7125,Glaziers
7136,Plumbers and Pipe Fitters,7126,Plumbers and Pipe Fitters
7233,Agricultural- or Industrial-machinery Mechanics and Fitters,7127,Air Conditioning and Refrigeration Mechanics
7141,Painters and Related Workers,7131,Painters and Related Workers
7142,Varnishers and Related Painters,7132,Spray Painters and Varnishers
7143,Building Structure Cleaners,7133,Building Structure Cleaners
7211,Metal Moulders and Coremakers,7211,Metal Moulders and Coremakers
8211,Machine-tool Operators,7211,Metal Moulders and Coremakers
7212,Welders and Flamecutters,7212,Welders and Flamecutters
7213,Sheet-metal Workers,7213,Sheet Metal Workers
7214,Structural-metal Preparers and Erectors,7214,Structural Metal Preparers and Erectors
7215,Riggers and Cable Splicers,7215,Riggers and Cable Splicers
7221,"Blacksmiths, Hammer-smiths and Forging-press Workers",7221,"Blacksmiths, Hammersmiths and Forging Press Workers"
7222,Tool-makers and Related Workers,7222,Toolmakers and Related Workers
7223,Machine-tool Setters and Setter-operators,7223,Metal Working Machine Tool Setters and Operators
8211,Machine-tool Operators,7223,Metal Working Machine Tool Setters and Operators
7224,"Metal Wheel-grinders, Polishers and Tool Sharpeners",7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners"
7231,Motor Vehicle Mechanics and Fitters,7231,Motor Vehicle Mechanics and Repairers
7232,Aircraft Engine Mechanics and Fitters,7232,Aircraft Engine Mechanics and Repairers
7233,Agricultural- or Industrial-machinery Mechanics and Fitters,7233,Agricultural and Industrial Machinery Mechanics and Repairers
7231,Motor Vehicle Mechanics and Fitters,7234,Bicycle and Related Repairers
7311,Precision-instrument Makers and Repairers,7311,Precision-instrument Makers and Repairers
7312,Musical Instrument Makers and Tuners,7312,Musical Instrument Makers and Tuners
7313,Jewellery and Precious-metal Workers,7313,Jewellery and Precious Metal Workers
7321,"Abrasive Wheel Formers, Potters and Related Workers",7314,Potters and Related Workers
7322,"Glass-makers, Cutters, Grinders and Finishers",7315,"Glass Makers, Cutters, Grinders and Finishers"
7323,Glass Engravers and Etchers,7316,"Signwriters, Decorative Painters, Engravers and Etchers"
7324,"Glass, Ceramics and Related Decorative Painters",7316,"Signwriters, Decorative Painters, Engravers and Etchers"
7331,Handicraft Workers in Wood and Related Materials,7317,"Handicraft Workers in Wood, Basketry and Related Materials"
7424,"Basketry Weavers, Brush Makers and Related Workers",7317,"Handicraft Workers in Wood, Basketry and Related Materials"
7332,"Handicraft Workers in Textile, Leather and Related Materials",7318,"Handicraft Workers in Textile, Leather and Related Materials"
7431,Fibre Preparers,7318,"Handicraft Workers in Textile, Leather and Related Materials"
7432,"Weavers, Knitters and Related Workers",7318,"Handicraft Workers in Textile, Leather and Related Materials"
7223,Machine-tool Setters and Setter-operators,7319,Handicraft Workers Not Elsewhere Classified
7331,Handicraft Workers in Wood and Related Materials,7319,Handicraft Workers Not Elsewhere Classified
7341,"Compositors, Typesetters and Related Workers",7321,Pre-press Technicians
7342,Stereotypers and Electrotypers,7321,Pre-press Technicians
7343,Printing Engravers and Etchers,7321,Pre-press Technicians
7341,"Compositors, Typesetters and Related Workers",7322,Printers
7346,"Silk-screen, Block and Textile Printers",7322,Printers
8251,Printing-machine Operators,7322,Printers
7345,Bookbinders and Related Workers,7323,Print Finishing and Binding Workers
8252,Bookbinding-machine Operators,7323,Print Finishing and Binding Workers
7137,Building and Related Electricians,7411,Building and Related Electricians
7241,Electrical Mechanics and Fitters,7412,Electrical Mechanics and Fitters
7245,"Electrical Line Installers, Repairers and Cable Jointers",7413,Electrical Line Installers and Repairers
7242,Electronics Fitters,7421,Electronics Mechanics and Servicers
7243,Electronics Mechanics and Servicers,7421,Electronics Mechanics and Servicers
7242,Electronics Fitters,7422,Information and Communications Technology Installers and Servicers
7243,Electronics Mechanics and Servicers,7422,Information and Communications Technology Installers and Servicers
7244,Telegraph and Telephone Installers and Servicers,7422,Information and Communications Technology Installers and Servicers
7245,"Electrical Line Installers, Repairers and Cable Jointers",7422,Information and Communications Technology Installers and Servicers
7411,"Butchers, Fishmongers and Related Food Preparers",7511,"Butchers, Fishmongers and Related Food Preparers"
7412,"Bakers, Pastry-cooks and Confectionery Makers",7512,"Bakers, Pastry-cooks and Confectionery Makers"
7413,Dairy-products Makers,7513,Dairy Products makers
7414,"Fruit, Vegetable and Related Preservers",7514,"Fruit, Vegetable and Related Preservers"
7415,Food and Beverage Tasters and Graders,7515,Food and Beverage Tasters and Graders
7416,Tobacco Preparers and Tobacco Products Makers,7516,Tobacco Preparers and Tobacco Products Makers
7421,Wood Treaters,7521,Wood Treaters
8240,Wood-products Machine Operators,7521,Wood Treaters
7422,Cabinet-makers and Related Workers,7522,Cabinet-makers and Related Workers
7423,Woodworking-machine Setters and Setter-operators,7523,Woodworking Machine Tool Setters and Operators
8240,Wood-products Machine Operators,7523,Woodworking Machine Tool Setters and Operators
7433,"Tailors, Dressmakers and Hatters",7531,"Tailors, Dressmakers, Furriers and Hatters"
7434,Furriers and Related Workers,7531,"Tailors, Dressmakers, Furriers and Hatters"
7435,"Textile, Leather and Related Pattern-makers and Cutters",7532,Garment and Related Patternmakers and Cutters
7436,"Sewers, Embroiderers and Related Workers",7533,"Sewing, Embroidery and Related workers"
7437,Upholsterers and Related Workers,7534,Upholsterers and Related Workers
7441,"Pelt Dressers, Tanners and Fellmongers",7535,"Pelt Dressers, Tanners and Fellmongers"
7442,Shoe-makers and Related Workers,7536,Shoemakers and Related Workers
6152,Inland and Coastal Waters Fishery Workers,7541,Underwater Divers
7216,Underwater Workers,7541,Underwater Divers
7112,Shotfirers and Blasters,7542,Shotfirers and Blasters
3152,"Safety, Health and Quality Inspectors",7543,Product Graders and Testers (excluding Foods and Beverages)
7143,Building Structure Cleaners,7544,Fumigators and Other Pest and Weed Controllers
7322,"Glass-makers, Cutters, Grinders and Finishers",7549,Craft and Related Workers Not Elsewhere Classified
7111,Miners and Quarry Workers,8111,Miners and Quarriers
8111,Mining-plant Operators,8111,Miners and Quarriers
8112,Mineral-ore- and Stone-processing-plant Operators,8112,Mineral and Stone Processing Plant Operators
8113,Well Drillers and Borers and Related Workers,8113,Well Drillers and Borers and Related Workers
8212,Cement and Other Mineral Products Machine Operators,8114,"Cement, Stone and Other Mineral Products Machine Operators"
8121,Ore and Metal Furnace Operators,8121,Metal Processing Plant Operators
8122,"Metal Melters, Casters and Rolling-mill Operators",8121,Metal Processing Plant Operators
8123,Metal-heat-treating-plant Operators,8121,Metal Processing Plant Operators
8124,Metal Drawers and Extruders,8121,Metal Processing Plant Operators
8223,"Metal Finishing-, Plating- and Coating-machine Operators",8122,"Metal Finishing, Plating and Coating Machine Operators"
8151,"Crushing-, Grinding- and Chemical-mixing Machinery Operators",8131,Chemical Products Plant and Machine Operators
8152,Chemical-heat-treating-plant Operators,8131,Chemical Products Plant and Machine Operators
8153,Chemical-filtering- and Separating-equipment Operators,8131,Chemical Products Plant and Machine Operators
8154,Chemical-still and Reactor Operators (except Petroleum and Natural Gas),8131,Chemical Products Plant and Machine Operators
8155,Petroleum- and Natural-gas-refining-plant Operators,8131,Chemical Products Plant and Machine Operators
8159,Chemical-processing-plant Operators Not Elsewhere Classified,8131,Chemical Products Plant and Machine Operators
8221,Pharmaceutical- and Toiletry-products Machine Operators,8131,Chemical Products Plant and Machine Operators
8222,Ammunition- and Explosive-products Machine Operators,8131,Chemical Products Plant and Machine Operators
8229,Chemical-products Machine Operators Not Elsewhere Classified,8131,Chemical Products Plant and Machine Operators
7344,Photographic and Related Workers,8132,Photographic Products Machine Operators
8224,Photographic-products Machine Operators,8132,Photographic Products Machine Operators
8231,Rubber-products Machine Operators,8141,Rubber Products Machine Operators
8232,Plastic-products Machine Operators,8142,Plastic Products Machine Operators
8253,Paper-products Machine Operators,8143,Paper Products Machine Operators
8261,"Fibre-preparing-, Spinning- and Winding-machine Operators",8151,"Fibre Preparing, Spinning and Winding Machine Operators"
7432,"Weavers, Knitters and Related Workers",8152,Weaving and Knitting Machine Operators
8262,Weaving- and Knitting-machine Operators,8152,Weaving and Knitting Machine Operators
8263,Sewing-machine Operators,8153,Sewing Machine Operators
8264,"Bleaching-, Dyeing- and Cleaning-machine Operators",8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators"
8265,Fur- and Leather-preparing-machine Operators,8155,Fur and Leather Preparing Machine Operators
8266,Shoemaking- and Related Machine Operators,8156,Shoemaking and Related Machine Operators
8264,"Bleaching-, Dyeing- and Cleaning-machine Operators",8157,Laundry Machine Operators
8269,"Textile-, Fur- and Leather-products Machine Operators Not Elsewhere Classified",8159,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
8271,Meat- and Fish-processing-machine Operators,8160,Food and Related Products Machine Operators
8272,Dairy-products Machine Operators,8160,Food and Related Products Machine Operators
8273,Grain- and Spice-milling-machine Operators,8160,Food and Related Products Machine Operators
8274,"Baked-goods, Cereal and Chocolate-products Machine Operators",8160,Food and Related Products Machine Operators
8275,"Fruit-, Vegetable- and Nut-processing-machine Operators",8160,Food and Related Products Machine Operators
8276,Sugar Production Machine Operators,8160,Food and Related Products Machine Operators
8277,"Tea-, Coffee-, and Cocoa-processing-machine Operators",8160,Food and Related Products Machine Operators
8278,"Brewers-, Wine and Other Beverage Machine Operators",8160,Food and Related Products Machine Operators
8279,Tobacco Production Machine Operators,8160,Food and Related Products Machine Operators
8142,Paper-pulp Plant Operators,8171,Pulp and Papermaking Plant Operators
8143,Papermaking-plant Operators,8171,Pulp and Papermaking Plant Operators
8141,Wood-processing-plant Operators,8172,Wood Processing Plant Operators
8131,Glass and Ceramics Kiln and Related Machine Operators,8181,Glass and Ceramics Plant Operators
8139,"Glass, Ceramics and Related Plant Operators Not Elsewhere Classified",8181,Glass and Ceramics Plant Operators
8162,Steam-engine and Boiler Operators,8182,Steam Engine and Boiler Operators
8290,Other Machine Operators and Assemblers,8183,"Packing, Bottling and Labelling Machine Operators"
8290,Other Machine Operators and Assemblers,8189,Stationary Plant and Machine Operators Not Elsewhere Classified
8281,Mechanical-machinery Assemblers,8211,Mechanical Machinery Assemblers
8282,Electrical-equipment Assemblers,8212,Electrical and Electronic Equipment Assemblers
8283,Electronic-equipment Assemblers,8212,Electrical and Electronic Equipment Assemblers
8284,"Metal-, Rubber- and Plastic-products Assemblers",8219,Assemblers Not Elsewhere Classified
8285,Wood and Related Products Assemblers,8219,Assemblers Not Elsewhere Classified
8286,"Paperboard, Textile and Related Products Assemblers",8219,Assemblers Not Elsewhere Classified
8290,Other Machine Operators and Assemblers,8219,Assemblers Not Elsewhere Classified
8311,Locomotive-engine Drivers,8311,Locomotive Engine Drivers
8312,"Railway Brakers, Signallers and Shunters",8312,"Railway Brake, Signal and Switch Operators"
8321,Motor-cycle Drivers,8321,Motorcycle Drivers
8322,"Car, Taxi and Van Drivers",8322,"Car, Taxi and Van Drivers"
8323,Bus and Tram Drivers,8331,Bus and Tram Drivers
8324,Heavy Truck and Lorry Drivers,8332,Heavy Truck and Lorry Drivers
8331,Motorised Farm and Forestry Plant Operators,8341,Mobile Farm and Forestry Plant Operators
8332,Earth-moving- and Related Plant Operators,8342,Earthmoving and Related Plant Operators
8333,"Crane, Hoist and Related Plant Operators",8343,"Crane, Hoist and Related Plant Operators"
8334,Lifting-truck Operators,8344,Lifting Truck Operators
8340,Ships’ Deck Crews and Related Workers,8350,Ships’ Deck Crews and Related Workers
9131,Domestic Helpers and Cleaners,9111,Domestic Cleaners and Helpers
9132,"Helpers and Cleaners in Offices, Hotels and Other Establishments",9112,"Cleaners and Helpers in Offices, Hotels and Other Establishments"
9133,Hand-launderers and Pressers,9121,Hand Launderers and Pressers
9142,"Vehicle, Window and Related Cleaners",9122,Vehicle Cleaners
9142,"Vehicle, Window and Related Cleaners",9123,Window Cleaners
9142,"Vehicle, Window and Related Cleaners",9129,Other Cleaning Workers
9211,Farm-hands and Labourers,9211,Crop Farm Labourers
9211,Farm-hands and Labourers,9212,Livestock Farm labourers
9211,Farm-hands and Labourers,9213,Mixed Crop and Livestock Farm Labourers
6113,"Gardeners, Horticultural and Nursery Growers",9214,Garden and Horticultural Labourers
9211,Farm-hands and Labourers,9214,Garden and Horticultural Labourers
9212,Forestry Labourers,9215,Forestry Labourers
9213,"Fishery, Hunting and Trapping Labourers",9216,Fishery and Aquaculture Labourers
9311,Mining and Quarrying Labourers,9311,Mining and Quarrying Labourers
9312,"Construction and Maintenance Labourers: Roads, Dams and Similar Constructions",9312,Civil Engineering Labourers
9313,Building Construction Labourers,9313,Building Construction Labourers
9322,Hand Packers and Other Manufacturing Labourers,9321,Hand Packers
9321,Assembling Labourers,9329,Manufacturing Labourers Not Elsewhere Classified
9322,Hand Packers and Other Manufacturing Labourers,9329,Manufacturing Labourers Not Elsewhere Classified
9331,Hand or Pedal Vehicle Drivers,9331,Hand and Pedal Vehicle Drivers
9332,Drivers of Animal-drawn Vehicles and Machinery,9332,Drivers of Animal-drawn Vehicles and Machinery
9333,Freight Handlers,9333,Freight Handlers
9333,Freight Handlers,9334,Shelf Fillers
5122,Cooks,9411,Fast Food Preparers
9132,"Helpers and Cleaners in Offices, Hotels and Other Establishments",9412,Kitchen Helpers
9120,Shoe Cleaning and Other Street Services Elementary Occupations,9510,Street and Related Services Workers
9112,"Street Vendors, Non-food Products",9520,Street Vendors (excluding Food)
9161,Garbage Collectors,9611,Garbage and Recycling Collectors
9161,Garbage Collectors,9612,Refuse Sorters
9162,Sweepers and Related Labourers,9613,Sweepers and Related Labourers
9151,"Messengers, Package and Luggage Porters and Deliverers",9621,"Messengers, Package Deliverers and Luggage Porters"
9152,"Doorkeepers, Watchpersons and Related Workers",9621,"Messengers, Package Deliverers and Luggage Porters"
9162,Sweepers and Related Labourers,9622,Odd-job Persons
9153,"Vending-machine Money Collectors, Meter Readers and Related Workers",9623,Meter Readers and Vending-machine Collectors
9162,Sweepers and Related Labourers,9624,Water and Firewood Collectors
9152,"Doorkeepers, Watchpersons and Related Workers",9629,Elementary Workers Not Elsewhere Classified
110,Armed Forces,110,Commissioned Armed Forces Officers
110,Armed Forces,210,Non-commissioned Armed Forces Officers
110,Armed Forces,310,"Armed Forces Occupations, Other Ranks"
