isco1988,isco1988_title,soc2010,soc2010_title
1229,Production and Operations Department Managers Not Elsewhere Classified,11-2031,Public Relations and Fundraising Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,11-3011,Administrative Services Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,11-3061,Purchasing Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9031,"Education Administrators, Preschool and Childcare Center/Program"
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9032,"Education Administrators, Elementary and Secondary School"
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9033,"Education Administrators, Postsecondary"
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9039,"Education Administrators, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9061,Funeral Service Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9111,Medical and Health Services Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9131,Postmasters and Mail Superintendents
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9151,Social and Community Service Managers
1229,Production and Operations Department Managers Not Elsewhere Classified,11-9199,"Managers, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,27-1011,Art Directors
1229,Production and Operations Department Managers Not Elsewhere Classified,27-1019,"Artists and Related Workers, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,27-2012,Producers and Directors
1229,Production and Operations Department Managers Not Elsewhere Classified,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,27-3099,"Media and Communication Workers, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,27-4032,Film and Video Editors
1229,Production and Operations Department Managers Not Elsewhere Classified,27-4099,"Media and Communication Equipment Workers, All Other"
1229,Production and Operations Department Managers Not Elsewhere Classified,39-3092,Costume Attendants
1229,Production and Operations Department Managers Not Elsewhere Classified,39-3099,"Entertainment Attendants and Related Workers, All Other"
1231,Finance and Administration Department Managers,11-2031,Public Relations and Fundraising Managers
1231,Finance and Administration Department Managers,11-3011,Administrative Services Managers
1231,Finance and Administration Department Managers,11-3031,Financial Managers
1231,Finance and Administration Department Managers,11-3061,Purchasing Managers
1231,Finance and Administration Department Managers,11-9061,Funeral Service Managers
1231,Finance and Administration Department Managers,11-9131,Postmasters and Mail Superintendents
1231,Finance and Administration Department Managers,11-9199,"Managers, All Other"
1232,Personnel and Industrial Relations Department Managers,11-3111,Compensation and Benefits Managers
1232,Personnel and Industrial Relations Department Managers,11-3121,Human Resources Managers
1232,Personnel and Industrial Relations Department Managers,11-3131,Training and Development Managers
1233,Sales and Marketing Department Managers,11-2021,Marketing Managers
1233,Sales and Marketing Department Managers,11-2022,Sales Managers
1234,Advertising and Public Relations Department Managers,11-2011,Advertising and Promotions Managers
1234,Advertising and Public Relations Department Managers,11-2031,Public Relations and Fundraising Managers
1235,Supply and Distribution Department Managers,11-3071,"Transportation, Storage, and Distribution Managers"
1236,Computing Services Department Managers,11-3021,Computer and Information Systems Managers
1237,Research and Development Department Managers,11-9041,Architectural and Engineering Managers
1237,Research and Development Department Managers,11-9121,Natural Sciences Managers
1239,Other Department Managers Not Elsewhere Classified,11-9199,"Managers, All Other"
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",37-1012,"First-line Supervisor of Landscaping, Lawn Service, and Groundskeeping Workers"
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",37-3013,Tree Trimmers and Pruners
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-2021,Animal Breeders
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-2091,Agricultural Equipment Operators
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-3011,Fishers and Related Fishing Workers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-4011,Forest and Conservation Workers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-4021,Fallers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-4022,Logging Equipment Operators
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-4023,Log Graders and Scalers
1311,"General Managers in Agriculture, Hunting, Forestry and Fishing",45-4029,"Logging Workers, All Other"
1312,General Managers in Manufacturing,11-3051,Industrial Production Managers
1312,General Managers in Manufacturing,11-9199,"Managers, All Other"
1313,General Managers in Construction,11-9021,Construction Managers
1314,General Managers in Wholesale and Retail Trade,11-1021,General and Operations Managers
1315,General Managers of Restaurants and Hotels,11-9051,Food Service Managers
1315,General Managers of Restaurants and Hotels,11-9081,Lodging Managers
1316,"General Managers in Transport, Storage and Communications",11-3021,Computer and Information Systems Managers
1316,"General Managers in Transport, Storage and Communications",11-3071,"Transportation, Storage, and Distribution Managers"
1317,General Managers of Business Services,11-1021,General and Operations Managers
1317,General Managers of Business Services,11-2011,Advertising and Promotions Managers
1317,General Managers of Business Services,11-2021,Marketing Managers
1317,General Managers of Business Services,11-2022,Sales Managers
1317,General Managers of Business Services,11-2031,Public Relations and Fundraising Managers
1317,General Managers of Business Services,11-3011,Administrative Services Managers
1317,General Managers of Business Services,11-3021,Computer and Information Systems Managers
1317,General Managers of Business Services,11-3031,Financial Managers
1317,General Managers of Business Services,11-3061,Purchasing Managers
1317,General Managers of Business Services,11-3111,Compensation and Benefits Managers
1317,General Managers of Business Services,11-3121,Human Resources Managers
1317,General Managers of Business Services,11-3131,Training and Development Managers
1317,General Managers of Business Services,11-9061,Funeral Service Managers
1317,General Managers of Business Services,11-9131,Postmasters and Mail Superintendents
1317,General Managers of Business Services,11-9199,"Managers, All Other"
1318,"General Managers in Personal Care, Cleaning and Related Services",11-2031,Public Relations and Fundraising Managers
1318,"General Managers in Personal Care, Cleaning and Related Services",11-3011,Administrative Services Managers
1318,"General Managers in Personal Care, Cleaning and Related Services",11-3061,Purchasing Managers
1318,"General Managers in Personal Care, Cleaning and Related Services",11-9061,Funeral Service Managers
1318,"General Managers in Personal Care, Cleaning and Related Services",11-9131,Postmasters and Mail Superintendents
1318,"General Managers in Personal Care, Cleaning and Related Services",11-9199,"Managers, All Other"
1319,General Managers Not Elsewhere Classified,11-1021,General and Operations Managers
1319,General Managers Not Elsewhere Classified,11-9031,"Education Administrators, Preschool and Childcare Center/Program"
1319,General Managers Not Elsewhere Classified,11-9032,"Education Administrators, Elementary and Secondary School"
1319,General Managers Not Elsewhere Classified,11-9033,"Education Administrators, Postsecondary"
1319,General Managers Not Elsewhere Classified,11-9039,"Education Administrators, All Other"
1319,General Managers Not Elsewhere Classified,11-9041,Architectural and Engineering Managers
1319,General Managers Not Elsewhere Classified,11-9071,Gaming Managers
1319,General Managers Not Elsewhere Classified,11-9111,Medical and Health Services Managers
1319,General Managers Not Elsewhere Classified,11-9121,Natural Sciences Managers
1319,General Managers Not Elsewhere Classified,11-9151,Social and Community Service Managers
1319,General Managers Not Elsewhere Classified,11-9199,"Managers, All Other"
2111,Physicists and Astronomers,19-2011,Astronomers
2111,Physicists and Astronomers,19-2012,Physicists
2112,Meteorologists,19-2021,Atmospheric and Space Scientists
2113,Chemists,19-2031,Chemists
2113,Chemists,19-2032,Materials Scientists
2113,Chemists,29-1051,Pharmacists
2114,Geologists and Geophysicists,19-2042,"Geoscientists, Except Hydrologists and Geographers"
2114,Geologists and Geophysicists,19-2043,Hydrologist
2121,Mathematicians and Related Professionals,15-2011,Actuaries
2121,Mathematicians and Related Professionals,15-2021,Mathematicians
2121,Mathematicians and Related Professionals,15-2031,Operations Research Analysts
2121,Mathematicians and Related Professionals,15-2041,Statisticians
2121,Mathematicians and Related Professionals,19-3022,Survey Researchers
2122,Statisticians,15-2011,Actuaries
2122,Statisticians,15-2021,Mathematicians
2122,Statisticians,15-2031,Operations Research Analysts
2122,Statisticians,15-2041,Statisticians
2122,Statisticians,19-3022,Survey Researchers
2131,Computer Systems Designers and Analysts,15-1111,Computer and Information Research Scientists
2131,Computer Systems Designers and Analysts,15-1121,Computer Systems Analysts
2131,Computer Systems Designers and Analysts,15-1132,"Software Developers, Applications"
2131,Computer Systems Designers and Analysts,15-1133,"Software Developers, Systems Software"
2131,Computer Systems Designers and Analysts,15-1134,Web Developers
2131,Computer Systems Designers and Analysts,15-1141,Database Administrators
2131,Computer Systems Designers and Analysts,15-1142,Network and Computer Systems Administrators
2131,Computer Systems Designers and Analysts,15-1143,Computer Network Architects
2131,Computer Systems Designers and Analysts,15-1199,"Computer Occupations, All Other"
2132,Computer Programmers,15-1131,Computer Programmers
2132,Computer Programmers,15-1134,Web Developers
2132,Computer Programmers,15-1143,Computer Network Architects
2132,Computer Programmers,15-1199,"Computer Occupations, All Other"
2139,Computing Professionals Not Elsewhere Classified,15-1122,Information Security Analysts
2139,Computing Professionals Not Elsewhere Classified,15-1134,Web Developers
2139,Computing Professionals Not Elsewhere Classified,15-1199,"Computer Occupations, All Other"
2141,"Architects, Town and Traffic Planners",17-1011,"Architects, Except Landscape and Naval"
2141,"Architects, Town and Traffic Planners",17-1012,Landscape Architects
2141,"Architects, Town and Traffic Planners",19-3051,Urban and Regional Planners
2142,Civil Engineers,17-2051,Civil Engineers
2143,Electrical Engineers,17-2071,Electrical Engineers
2144,Electronics and Telecommunications Engineers,17-2061,Computer Hardware Engineers
2144,Electronics and Telecommunications Engineers,17-2072,"Electronics Engineers, Except Computer"
2145,Mechanical Engineers,17-2011,Aerospace Engineers
2145,Mechanical Engineers,17-2021,Agricultural Engineers
2145,Mechanical Engineers,17-2121,Marine Engineers and Naval Architects
2145,Mechanical Engineers,17-2141,Mechanical Engineers
2146,Chemical Engineers,17-2041,Chemical Engineers
2147,"Mining Engineers, Metallurgists and Related Professionals",17-2131,Materials Engineers
2147,"Mining Engineers, Metallurgists and Related Professionals",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
2147,"Mining Engineers, Metallurgists and Related Professionals",17-2171,Petroleum Engineers
2147,"Mining Engineers, Metallurgists and Related Professionals",19-2032,Materials Scientists
2148,Cartographers and Surveyors,17-1021,Cartographers and Photogrammetrists
2148,Cartographers and Surveyors,17-1022,Surveyors
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2031,Biomedical Engineers
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2081,Environmental Engineers
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2112,Industrial Engineers
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2131,Materials Engineers
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2161,Nuclear Engineers
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",17-2199,"Engineers, All Other"
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1011,Animal Scientists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1012,Food Scientists and Technologists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1013,Soil and Plant Scientists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1021,Biochemists and Biophysicists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1022,Microbiologists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1023,Zoologists and Wildlife Biologists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1029,"Biological Scientists, All Other"
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1031,Conservation Scientists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1041,Epidemiologists
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1042,"Medical Scientists, Except Epidemiologists"
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-1099,"Life Scientists, All Other"
2211,"Biologists, Botanists, Zoologists and Related Professionals",19-2041,"Environmental Scientists and Specialists, Including Health"
2212,"Pharmacologists, Pathologists and Related Professionals",19-1011,Animal Scientists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1012,Food Scientists and Technologists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1013,Soil and Plant Scientists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1021,Biochemists and Biophysicists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1022,Microbiologists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1023,Zoologists and Wildlife Biologists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1029,"Biological Scientists, All Other"
2212,"Pharmacologists, Pathologists and Related Professionals",19-1041,Epidemiologists
2212,"Pharmacologists, Pathologists and Related Professionals",19-1042,"Medical Scientists, Except Epidemiologists"
2212,"Pharmacologists, Pathologists and Related Professionals",19-1099,"Life Scientists, All Other"
2212,"Pharmacologists, Pathologists and Related Professionals",29-1061,Anesthesiologists
2212,"Pharmacologists, Pathologists and Related Professionals",29-1064,Obstetricians and Gynecologists
2212,"Pharmacologists, Pathologists and Related Professionals",29-1066,Psychiatrists
2212,"Pharmacologists, Pathologists and Related Professionals",29-1067,Surgeons
2212,"Pharmacologists, Pathologists and Related Professionals",29-1069,"Physicians and Surgeons, All Other"
2212,"Pharmacologists, Pathologists and Related Professionals",29-1131,Veterinarians
2213,Agronomists and Related Professionals,19-1013,Soil and Plant Scientists
2213,Agronomists and Related Professionals,19-1032,Foresters
2213,Agronomists and Related Professionals,25-9021,Farm and Home Management Advisors
2221,Medical Doctors,29-1061,Anesthesiologists
2221,Medical Doctors,29-1062,Family and General Practitioners
2221,Medical Doctors,29-1063,"Internists, General"
2221,Medical Doctors,29-1064,Obstetricians and Gynecologists
2221,Medical Doctors,29-1065,"Pediatricians, General"
2221,Medical Doctors,29-1066,Psychiatrists
2221,Medical Doctors,29-1067,Surgeons
2221,Medical Doctors,29-1069,"Physicians and Surgeons, All Other"
2222,Dentists,29-1021,"Dentists, General"
2222,Dentists,29-1022,Oral and Maxillofacial Surgeons
2222,Dentists,29-1023,Orthodontists
2222,Dentists,29-1024,Prosthodontists
2222,Dentists,29-1029,"Dentists, All Other Specialists"
2223,Veterinarians,29-1131,Veterinarians
2224,Pharmacists,29-1051,Pharmacists
2229,Health Professionals (except Nursing) Not Elsewhere Classified,21-1091,Health Educators
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-1011,Chiropractors
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-1081,Podiatrists
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-1122,Occupational Therapists
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-1125,Recreational Therapists
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-1129,"Therapists, All Other"
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-9011,Occupational Health and Safety Specialists
2229,Health Professionals (except Nursing) Not Elsewhere Classified,29-9092,Genetic Counselors
2230,Nursing and Midwifery Professionals,11-1021,General and Operations Managers
2230,Nursing and Midwifery Professionals,11-9111,Medical and Health Services Managers
2230,Nursing and Midwifery Professionals,29-1141,Registered Nurses
2230,Nursing and Midwifery Professionals,29-1151,Nurse Anesthetists
2230,Nursing and Midwifery Professionals,29-1161,Nurse Midwives
2230,Nursing and Midwifery Professionals,29-1171,Nurse Practitioners
2230,Nursing and Midwifery Professionals,29-2061,Licensed Practical and Licensed Vocational Nurses
2230,Nursing and Midwifery Professionals,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
2310,"College, University and Higher Education Teaching Professionals",25-1011,"Business Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1021,"Computer Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1022,"Mathematical Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1031,"Architecture Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1032,"Engineering Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1041,"Agricultural Sciences Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1042,"Biological Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1052,"Chemistry Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1053,"Environmental Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1054,"Physics Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1061,"Anthropology and Archeology Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1063,"Economics Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1064,"Geography Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1065,"Political Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1066,"Psychology Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1067,"Sociology Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1069,"Social Sciences Teachers, Postsecondary, All Other"
2310,"College, University and Higher Education Teaching Professionals",25-1071,"Health Specialties Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1072,"Nursing Instructors and Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1081,"Education Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1082,"Library Science Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1112,"Law Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1113,"Social Work Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1121,"Art, Drama, and Music Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1122,"Communications Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1123,"English Language and Literature Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1125,"History Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1126,"Philosophy and Religion Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1191,Graduate Teaching Assistants
2310,"College, University and Higher Education Teaching Professionals",25-1192,"Home Economics Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1194,"Vocational Education Teachers, Postsecondary"
2310,"College, University and Higher Education Teaching Professionals",25-1199,"Postsecondary Teachers, All Other"
2310,"College, University and Higher Education Teaching Professionals",25-2023,"Career/Technical Education Teachers, Middle School"
2310,"College, University and Higher Education Teaching Professionals",25-2032,"Career/Technical Education Teachers, Secondary School"
2320,Secondary Education Teaching Professionals,25-1194,"Vocational Education Teachers, Postsecondary"
2320,Secondary Education Teaching Professionals,25-2023,"Career/Technical Education Teachers, Middle School"
2320,Secondary Education Teaching Professionals,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
2320,Secondary Education Teaching Professionals,25-2032,"Career/Technical Education Teachers, Secondary School"
2331,Primary Education Teaching Professionals,25-2021,"Elementary School Teachers, Except Special Education"
2331,Primary Education Teaching Professionals,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
2332,Pre-primary Education Teaching Professionals,25-2011,"Preschool Teachers, Except Special Education"
2332,Pre-primary Education Teaching Professionals,25-2012,"Kindergarten Teachers, Except Special Education"
2340,Special Education Teaching Professionals,25-2051,"Special Education Teachers, Preschool"
2340,Special Education Teaching Professionals,25-2052,"Special Education Teachers, Kindergarten and Elementary School"
2340,Special Education Teaching Professionals,25-2053,"Special Education Teachers, Middle School"
2340,Special Education Teaching Professionals,25-2054,"Special Education Teachers, Secondary School"
2340,Special Education Teaching Professionals,25-2059,"Special Education Teachers, All Other"
2351,Education Methods Specialists,25-9031,Instructional Coordinators
2352,School Inspectors,25-9031,Instructional Coordinators
2359,Other Teaching Professionals Not Elsewhere Classified,13-1151,Training and Development Specialists
2359,Other Teaching Professionals Not Elsewhere Classified,21-1012,"Educational, Guidance, School, and Vocational Counselors"
2359,Other Teaching Professionals Not Elsewhere Classified,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors
2359,Other Teaching Professionals Not Elsewhere Classified,25-3021,Self-Enrichment Education Teachers
2359,Other Teaching Professionals Not Elsewhere Classified,25-3099,"Teachers and Instructors, All Other"
2359,Other Teaching Professionals Not Elsewhere Classified,25-9099,"Education, Training, and Library Workers, All Other"
2411,Accountants,13-2011,Accountants and Auditors
2411,Accountants,13-2031,Budget Analysts
2411,Accountants,13-2051,Financial Analysts
2411,Accountants,13-2052,Personal Financial Advisors
2411,Accountants,13-2082,Tax Preparers
2412,Personnel and Careers Professionals,13-1071,Human Resources Specialists
2412,Personnel and Careers Professionals,13-1075,Labor Relations Specialists
2412,Personnel and Careers Professionals,13-1141,"Compensation, Benefits, and Job Analysis Specialists"
2412,Personnel and Careers Professionals,13-1151,Training and Development Specialists
2412,Personnel and Careers Professionals,21-1012,"Educational, Guidance, School, and Vocational Counselors"
2412,Personnel and Careers Professionals,21-1091,Health Educators
2412,Personnel and Careers Professionals,29-9011,Occupational Health and Safety Specialists
2419,Business Professionals Not Elsewhere Classified,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
2419,Business Professionals Not Elsewhere Classified,13-1051,Cost Estimators
2419,Business Professionals Not Elsewhere Classified,13-1081,Logisticians
2419,Business Professionals Not Elsewhere Classified,13-1111,Management Analysts
2419,Business Professionals Not Elsewhere Classified,13-1161,Market Research Analysts and Marketing Specialists
2419,Business Professionals Not Elsewhere Classified,13-1199,"Business Operations Specialists, All Other"
2419,Business Professionals Not Elsewhere Classified,13-2041,Credit Analysts
2419,Business Professionals Not Elsewhere Classified,13-2051,Financial Analysts
2419,Business Professionals Not Elsewhere Classified,13-2052,Personal Financial Advisors
2419,Business Professionals Not Elsewhere Classified,13-2061,Financial Examiners
2419,Business Professionals Not Elsewhere Classified,13-2099,"Financial Specialists, All Other"
2419,Business Professionals Not Elsewhere Classified,27-3031,Public Relations Specialists
2419,Business Professionals Not Elsewhere Classified,27-3043,Writers and Authors
2419,Business Professionals Not Elsewhere Classified,41-1012,First-Line Supervisors of Non-Retail Sales Workers
2419,Business Professionals Not Elsewhere Classified,41-3011,Advertising Sales Agents
2419,Business Professionals Not Elsewhere Classified,41-3041,Travel Agents
2419,Business Professionals Not Elsewhere Classified,41-9099,"Sales and Related Workers, All Other"
2421,Lawyers,23-1011,Lawyers
2422,Judges,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
2422,Judges,23-1023,"Judges, Magistrate Judges, and Magistrates"
2429,Legal Professionals Not Elsewhere Classified,23-1022,"Arbitrators, Mediators, and Conciliators"
2431,Archivists and Curators,25-4011,Archivists
2431,Archivists and Curators,25-4012,Curators
2432,Librarians and Related Information Professionals,25-4021,Librarians
2432,Librarians and Related Information Professionals,25-9011,Audio-Visual and Multimedia Collections Specialists
2441,Economists,19-3011,Economists
2442,"Sociologists, Anthropologists and Related Professionals",19-3041,Sociologists
2442,"Sociologists, Anthropologists and Related Professionals",19-3091,Anthropologists and Archeologists
2442,"Sociologists, Anthropologists and Related Professionals",19-3092,Geographers
2443,"Philosophers, Historians and Political Scientists",19-3093,Historians
2443,"Philosophers, Historians and Political Scientists",19-3094,Political Scientists
2443,"Philosophers, Historians and Political Scientists",19-3099,"Social Scientists and Related Workers, All Other"
2444,"Philologists, Translators and Interpreters",19-3099,"Social Scientists and Related Workers, All Other"
2444,"Philologists, Translators and Interpreters",27-3091,Interpreters and Translators
2445,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists"
2445,Psychologists,19-3032,Industrial-Organizational Psychologists
2445,Psychologists,19-3039,"Psychologists, All Other"
2446,Social Work Professionals,21-1011,Substance Abuse and Behavioral Disorder Counselors
