code,title,soc2d,soc3d,soc5d,soc6d,Level,Hierarchical_structure
11-9021,Construction Managers,11-0000,11-9000,11-9020,11-9021,6,Detailed
11-9030,Education and Childcare Administrators,11-0000,11-9000,11-9030,NA,5,Broad
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11-0000,11-9000,11-9030,11-9031,6,Detailed
11-9032,"Education Administrators, Kindergarten through Secondary",11-0000,11-9000,11-9030,11-9032,6,Detailed
11-9033,"Education Administrators, Postsecondary",11-0000,11-9000,11-9030,11-9033,6,Detailed
11-9039,"Education Administrators, All Other",11-0000,11-9000,11-9030,11-9039,6,Detailed
11-9040,Architectural and Engineering Managers,11-0000,11-9000,11-9040,NA,5,Broad
11-9041,Architectural and Engineering Managers,11-0000,11-9000,11-9040,11-9041,6,Detailed
11-9050,Food Service Managers,11-0000,11-9000,11-9050,NA,5,Broad
11-9051,Food Service Managers,11-0000,11-9000,11-9050,11-9051,6,Detailed
11-9070,Entertainment and Recreation Managers,11-0000,11-9000,11-9070,NA,5,Broad
11-9071,Gambling Managers,11-0000,11-9000,11-9070,11-9071,6,Detailed
11-9072,"Entertainment and Recreation Managers, Except Gambling",11-0000,11-9000,11-9070,11-9072,6,Detailed
11-9080,Lodging Managers,11-0000,11-9000,11-9080,NA,5,Broad
11-9081,Lodging Managers,11-0000,11-9000,11-9080,11-9081,6,Detailed
11-9110,Medical and Health Services Managers,11-0000,11-9000,11-9110,NA,5,Broad
11-9111,Medical and Health Services Managers,11-0000,11-9000,11-9110,11-9111,6,Detailed
11-9120,Natural Sciences Managers,11-0000,11-9000,11-9120,NA,5,Broad
11-9121,Natural Sciences Managers,11-0000,11-9000,11-9120,11-9121,6,Detailed
11-9130,Postmasters and Mail Superintendents,11-0000,11-9000,11-9130,NA,5,Broad
11-9131,Postmasters and Mail Superintendents,11-0000,11-9000,11-9130,11-9131,6,Detailed
11-9140,"Property, Real Estate, and Community Association Managers",11-0000,11-9000,11-9140,NA,5,Broad
11-9141,"Property, Real Estate, and Community Association Managers",11-0000,11-9000,11-9140,11-9141,6,Detailed
11-9150,Social and Community Service Managers,11-0000,11-9000,11-9150,NA,5,Broad
11-9151,Social and Community Service Managers,11-0000,11-9000,11-9150,11-9151,6,Detailed
11-9160,Emergency Management Directors,11-0000,11-9000,11-9160,NA,5,Broad
11-9161,Emergency Management Directors,11-0000,11-9000,11-9160,11-9161,6,Detailed
11-9170,Personal Service Managers,11-0000,11-9000,11-9170,NA,5,Broad
11-9171,Funeral Home Managers,11-0000,11-9000,11-9170,11-9171,6,Detailed
11-9179,"Personal Service Managers, All Other",11-0000,11-9000,11-9170,11-9179,6,Detailed
11-9190,Miscellaneous Managers,11-0000,11-9000,11-9190,NA,5,Broad
11-9199,"Managers, All Other",11-0000,11-9000,11-9190,11-9199,6,Detailed
13-0000,Business and Financial Operations Occupations,13-0000,NA,NA,NA,2,Major
13-1000,Business Operations Specialists,13-0000,13-1000,NA,NA,3,Minor
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",13-0000,13-1000,13-1010,NA,5,Broad
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-0000,13-1000,13-1010,13-1011,6,Detailed
13-1020,Buyers and Purchasing Agents,13-0000,13-1000,13-1020,NA,5,Broad
13-1021,"Buyers and Purchasing Agents, Farm Products",13-0000,13-1000,13-1020,13-1021,6,Detailed
13-1022,"Wholesale and Retail Buyers, Except Farm Products",13-0000,13-1000,13-1020,13-1022,6,Detailed
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-0000,13-1000,13-1020,13-1023,6,Detailed
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-0000,13-1000,13-1030,NA,5,Broad
13-1031,"Claims Adjusters, Examiners, and Investigators",13-0000,13-1000,13-1030,13-1031,6,Detailed
13-1032,"Insurance Appraisers, Auto Damage",13-0000,13-1000,13-1030,13-1032,6,Detailed
13-1040,Compliance Officers,13-0000,13-1000,13-1040,NA,5,Broad
13-1041,Compliance Officers,13-0000,13-1000,13-1040,13-1041,6,Detailed
13-1050,Cost Estimators,13-0000,13-1000,13-1050,NA,5,Broad
13-1051,Cost Estimators,13-0000,13-1000,13-1050,13-1051,6,Detailed
13-1070,Human Resources Workers,13-0000,13-1000,13-1070,NA,5,Broad
13-1071,Human Resources Specialists,13-0000,13-1000,13-1070,13-1071,6,Detailed
13-1074,Farm Labor Contractors,13-0000,13-1000,13-1070,13-1074,6,Detailed
13-1075,Labor Relations Specialists,13-0000,13-1000,13-1070,13-1075,6,Detailed
13-1080,Logisticians and Project Management Specialists,13-0000,13-1000,13-1080,NA,5,Broad
13-1081,Logisticians,13-0000,13-1000,13-1080,13-1081,6,Detailed
13-1082,Project Management Specialists,13-0000,13-1000,13-1080,13-1082,6,Detailed
13-1110,Management Analysts,13-0000,13-1000,13-1110,NA,5,Broad
13-1111,Management Analysts,13-0000,13-1000,13-1110,13-1111,6,Detailed
13-1120,"Meeting, Convention, and Event Planners",13-0000,13-1000,13-1120,NA,5,Broad
13-1121,"Meeting, Convention, and Event Planners",13-0000,13-1000,13-1120,13-1121,6,Detailed
13-1130,Fundraisers,13-0000,13-1000,13-1130,NA,5,Broad
13-1131,Fundraisers,13-0000,13-1000,13-1130,13-1131,6,Detailed
13-1140,"Compensation, Benefits, and Job Analysis Specialists",13-0000,13-1000,13-1140,NA,5,Broad
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-0000,13-1000,13-1140,13-1141,6,Detailed
13-1150,Training and Development Specialists,13-0000,13-1000,13-1150,NA,5,Broad
13-1151,Training and Development Specialists,13-0000,13-1000,13-1150,13-1151,6,Detailed
13-1160,Market Research Analysts and Marketing Specialists,13-0000,13-1000,13-1160,NA,5,Broad
13-1161,Market Research Analysts and Marketing Specialists,13-0000,13-1000,13-1160,13-1161,6,Detailed
13-1190,Miscellaneous Business Operations Specialists,13-0000,13-1000,13-1190,NA,5,Broad
13-1199,"Business Operations Specialists, All Other",13-0000,13-1000,13-1190,13-1199,6,Detailed
13-2000,Financial Specialists,13-0000,13-2000,NA,NA,3,Minor
13-2010,Accountants and Auditors,13-0000,13-2000,13-2010,NA,5,Broad
13-2011,Accountants and Auditors,13-0000,13-2000,13-2010,13-2011,6,Detailed
13-2020,Property Appraisers and Assessors,13-0000,13-2000,13-2020,NA,5,Broad
13-2022,Appraisers of Personal and Business Property,13-0000,13-2000,13-2020,13-2022,6,Detailed
13-2023,Appraisers and Assessors of Real Estate,13-0000,13-2000,13-2020,13-2023,6,Detailed
13-2030,Budget Analysts,13-0000,13-2000,13-2030,NA,5,Broad
13-2031,Budget Analysts,13-0000,13-2000,13-2030,13-2031,6,Detailed
13-2040,Credit Analysts,13-0000,13-2000,13-2040,NA,5,Broad
13-2041,Credit Analysts,13-0000,13-2000,13-2040,13-2041,6,Detailed
13-2050,Financial Analysts and Advisors,13-0000,13-2000,13-2050,NA,5,Broad
13-2051,Financial and Investment Analysts,13-0000,13-2000,13-2050,13-2051,6,Detailed
13-2052,Personal Financial Advisors,13-0000,13-2000,13-2050,13-2052,6,Detailed
13-2053,Insurance Underwriters,13-0000,13-2000,13-2050,13-2053,6,Detailed
13-2054,Financial Risk Specialists,13-0000,13-2000,13-2050,13-2054,6,Detailed
13-2060,Financial Examiners,13-0000,13-2000,13-2060,NA,5,Broad
13-2061,Financial Examiners,13-0000,13-2000,13-2060,13-2061,6,Detailed
13-2070,Credit Counselors and Loan Officers,13-0000,13-2000,13-2070,NA,5,Broad
13-2071,Credit Counselors,13-0000,13-2000,13-2070,13-2071,6,Detailed
13-2072,Loan Officers,13-0000,13-2000,13-2070,13-2072,6,Detailed
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-0000,13-2000,13-2080,NA,5,Broad
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-0000,13-2000,13-2080,13-2081,6,Detailed
13-2082,Tax Preparers,13-0000,13-2000,13-2080,13-2082,6,Detailed
13-2090,Miscellaneous Financial Specialists,13-0000,13-2000,13-2090,NA,5,Broad
13-2099,"Financial Specialists, All Other",13-0000,13-2000,13-2090,13-2099,6,Detailed
15-0000,Computer and Mathematical Occupations,15-0000,NA,NA,NA,2,Major
15-1200,Computer Occupations,15-0000,15-1200,NA,NA,3,Minor
15-1210,Computer and Information Analysts,15-0000,15-1200,15-1210,NA,5,Broad
15-1211,Computer Systems Analysts,15-0000,15-1200,15-1210,15-1211,6,Detailed
15-1212,Information Security Analysts,15-0000,15-1200,15-1210,15-1212,6,Detailed
15-1220,Computer and Information Research Scientists,15-0000,15-1200,15-1220,NA,5,Broad
15-1221,Computer and Information Research Scientists,15-0000,15-1200,15-1220,15-1221,6,Detailed
15-1230,Computer Support Specialists,15-0000,15-1200,15-1230,NA,5,Broad
15-1231,Computer Network Support Specialists,15-0000,15-1200,15-1230,15-1231,6,Detailed
15-1232,Computer User Support Specialists,15-0000,15-1200,15-1230,15-1232,6,Detailed
15-1240,Database and Network Administrators and Architects,15-0000,15-1200,15-1240,NA,5,Broad
15-1241,Computer Network Architects,15-0000,15-1200,15-1240,15-1241,6,Detailed
15-1242,Database Administrators,15-0000,15-1200,15-1240,15-1242,6,Detailed
15-1243,Database Architects,15-0000,15-1200,15-1240,15-1243,6,Detailed
15-1244,Network and Computer Systems Administrators,15-0000,15-1200,15-1240,15-1244,6,Detailed
15-1250,"Software and Web Developers, Programmers, and Testers",15-0000,15-1200,15-1250,NA,5,Broad
15-1251,Computer Programmers,15-0000,15-1200,15-1250,15-1251,6,Detailed
15-1252,Software Developers,15-0000,15-1200,15-1250,15-1252,6,Detailed
15-1253,Software Quality Assurance Analysts and Testers,15-0000,15-1200,15-1250,15-1253,6,Detailed
15-1254,Web Developers,15-0000,15-1200,15-1250,15-1254,6,Detailed
15-1255,Web and Digital Interface Designers,15-0000,15-1200,15-1250,15-1255,6,Detailed
15-1290,Miscellaneous Computer Occupations,15-0000,15-1200,15-1290,NA,5,Broad
15-1299,"Computer Occupations, All Other",15-0000,15-1200,15-1290,15-1299,6,Detailed
15-2000,Mathematical Science Occupations,15-0000,15-2000,NA,NA,3,Minor
15-2010,Actuaries,15-0000,15-2000,15-2010,NA,5,Broad
15-2011,Actuaries,15-0000,15-2000,15-2010,15-2011,6,Detailed
15-2020,Mathematicians,15-0000,15-2000,15-2020,NA,5,Broad
15-2021,Mathematicians,15-0000,15-2000,15-2020,15-2021,6,Detailed
15-2030,Operations Research Analysts,15-0000,15-2000,15-2030,NA,5,Broad
15-2031,Operations Research Analysts,15-0000,15-2000,15-2030,15-2031,6,Detailed
15-2040,Statisticians,15-0000,15-2000,15-2040,NA,5,Broad
15-2041,Statisticians,15-0000,15-2000,15-2040,15-2041,6,Detailed
15-2050,Data Scientists,15-0000,15-2000,15-2050,NA,5,Broad
15-2051,Data Scientists,15-0000,15-2000,15-2050,15-2051,6,Detailed
15-2090,Miscellaneous Mathematical Science Occupations,15-0000,15-2000,15-2090,NA,5,Broad
15-2099,"Mathematical Science Occupations, All Other",15-0000,15-2000,15-2090,15-2099,6,Detailed
17-0000,Architecture and Engineering Occupations,17-0000,NA,NA,NA,2,Major
17-1000,"Architects, Surveyors, and Cartographers",17-0000,17-1000,NA,NA,3,Minor
17-1010,"Architects, Except Naval",17-0000,17-1000,17-1010,NA,5,Broad
17-1011,"Architects, Except Landscape and Naval",17-0000,17-1000,17-1010,17-1011,6,Detailed
17-1012,Landscape Architects,17-0000,17-1000,17-1010,17-1012,6,Detailed
17-1020,"Surveyors, Cartographers, and Photogrammetrists",17-0000,17-1000,17-1020,NA,5,Broad
17-1021,Cartographers and Photogrammetrists,17-0000,17-1000,17-1020,17-1021,6,Detailed
17-1022,Surveyors,17-0000,17-1000,17-1020,17-1022,6,Detailed
17-2000,Engineers,17-0000,17-2000,NA,NA,3,Minor
17-2010,Aerospace Engineers,17-0000,17-2000,17-2010,NA,5,Broad
17-2011,Aerospace Engineers,17-0000,17-2000,17-2010,17-2011,6,Detailed
17-2020,Agricultural Engineers,17-0000,17-2000,17-2020,NA,5,Broad
17-2021,Agricultural Engineers,17-0000,17-2000,17-2020,17-2021,6,Detailed
17-2030,Bioengineers and Biomedical Engineers,17-0000,17-2000,17-2030,NA,5,Broad
17-2031,Bioengineers and Biomedical Engineers,17-0000,17-2000,17-2030,17-2031,6,Detailed
17-2040,Chemical Engineers,17-0000,17-2000,17-2040,NA,5,Broad
17-2041,Chemical Engineers,17-0000,17-2000,17-2040,17-2041,6,Detailed
17-2050,Civil Engineers,17-0000,17-2000,17-2050,NA,5,Broad
17-2051,Civil Engineers,17-0000,17-2000,17-2050,17-2051,6,Detailed
17-2060,Computer Hardware Engineers,17-0000,17-2000,17-2060,NA,5,Broad
17-2061,Computer Hardware Engineers,17-0000,17-2000,17-2060,17-2061,6,Detailed
17-2070,Electrical and Electronics Engineers,17-0000,17-2000,17-2070,NA,5,Broad
17-2071,Electrical Engineers,17-0000,17-2000,17-2070,17-2071,6,Detailed
17-2072,"Electronics Engineers, Except Computer",17-0000,17-2000,17-2070,17-2072,6,Detailed
17-2080,Environmental Engineers,17-0000,17-2000,17-2080,NA,5,Broad
17-2081,Environmental Engineers,17-0000,17-2000,17-2080,17-2081,6,Detailed
17-2110,"Industrial Engineers, Including Health and Safety",17-0000,17-2000,17-2110,NA,5,Broad
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-0000,17-2000,17-2110,17-2111,6,Detailed
17-2112,Industrial Engineers,17-0000,17-2000,17-2110,17-2112,6,Detailed
17-2120,Marine Engineers and Naval Architects,17-0000,17-2000,17-2120,NA,5,Broad
17-2121,Marine Engineers and Naval Architects,17-0000,17-2000,17-2120,17-2121,6,Detailed
17-2130,Materials Engineers,17-0000,17-2000,17-2130,NA,5,Broad
17-2131,Materials Engineers,17-0000,17-2000,17-2130,17-2131,6,Detailed
17-2140,Mechanical Engineers,17-0000,17-2000,17-2140,NA,5,Broad
17-2141,Mechanical Engineers,17-0000,17-2000,17-2140,17-2141,6,Detailed
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",17-0000,17-2000,17-2150,NA,5,Broad
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17-0000,17-2000,17-2150,17-2151,6,Detailed
17-2160,Nuclear Engineers,17-0000,17-2000,17-2160,NA,5,Broad
17-2161,Nuclear Engineers,17-0000,17-2000,17-2160,17-2161,6,Detailed
17-2170,Petroleum Engineers,17-0000,17-2000,17-2170,NA,5,Broad
17-2171,Petroleum Engineers,17-0000,17-2000,17-2170,17-2171,6,Detailed
17-2190,Miscellaneous Engineers,17-0000,17-2000,17-2190,NA,5,Broad
17-2199,"Engineers, All Other",17-0000,17-2000,17-2190,17-2199,6,Detailed
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-0000,17-3000,NA,NA,3,Minor
17-3010,Drafters,17-0000,17-3000,17-3010,NA,5,Broad
17-3011,Architectural and Civil Drafters,17-0000,17-3000,17-3010,17-3011,6,Detailed
17-3012,Electrical and Electronics Drafters,17-0000,17-3000,17-3010,17-3012,6,Detailed
17-3013,Mechanical Drafters,17-0000,17-3000,17-3010,17-3013,6,Detailed
17-3019,"Drafters, All Other",17-0000,17-3000,17-3010,17-3019,6,Detailed
17-3020,"Engineering Technologists and Technicians, Except Drafters",17-0000,17-3000,17-3020,NA,5,Broad
17-3021,Aerospace Engineering and Operations Technologists and Technicians,17-0000,17-3000,17-3020,17-3021,6,Detailed
17-3022,Civil Engineering Technologists and Technicians,17-0000,17-3000,17-3020,17-3022,6,Detailed
17-3023,Electrical and Electronic Engineering Technologists and Technicians,17-0000,17-3000,17-3020,17-3023,6,Detailed
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17-0000,17-3000,17-3020,17-3024,6,Detailed
17-3025,Environmental Engineering Technologists and Technicians,17-0000,17-3000,17-3020,17-3025,6,Detailed
17-3026,Industrial Engineering Technologists and Technicians,17-0000,17-3000,17-3020,17-3026,6,Detailed
17-3027,Mechanical Engineering Technologists and Technicians,17-0000,17-3000,17-3020,17-3027,6,Detailed
17-3028,Calibration Technologists and Technicians,17-0000,17-3000,17-3020,17-3028,6,Detailed
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17-0000,17-3000,17-3020,17-3029,6,Detailed
17-3030,Surveying and Mapping Technicians,17-0000,17-3000,17-3030,NA,5,Broad
17-3031,Surveying and Mapping Technicians,17-0000,17-3000,17-3030,17-3031,6,Detailed
19-0000,"Life, Physical, and Social Science Occupations",19-0000,NA,NA,NA,2,Major
19-1000,Life Scientists,19-0000,19-1000,NA,NA,3,Minor
19-1010,Agricultural and Food Scientists,19-0000,19-1000,19-1010,NA,5,Broad
19-1011,Animal Scientists,19-0000,19-1000,19-1010,19-1011,6,Detailed
19-1012,Food Scientists and Technologists,19-0000,19-1000,19-1010,19-1012,6,Detailed
19-1013,Soil and Plant Scientists,19-0000,19-1000,19-1010,19-1013,6,Detailed
19-1020,Biological Scientists,19-0000,19-1000,19-1020,NA,5,Broad
19-1021,Biochemists and Biophysicists,19-0000,19-1000,19-1020,19-1021,6,Detailed
19-1022,Microbiologists,19-0000,19-1000,19-1020,19-1022,6,Detailed
19-1023,Zoologists and Wildlife Biologists,19-0000,19-1000,19-1020,19-1023,6,Detailed
19-1029,"Biological Scientists, All Other",19-0000,19-1000,19-1020,19-1029,6,Detailed
19-1030,Conservation Scientists and Foresters,19-0000,19-1000,19-1030,NA,5,Broad
19-1031,Conservation Scientists,19-0000,19-1000,19-1030,19-1031,6,Detailed
19-1032,Foresters,19-0000,19-1000,19-1030,19-1032,6,Detailed
19-1040,Medical Scientists,19-0000,19-1000,19-1040,NA,5,Broad
19-1041,Epidemiologists,19-0000,19-1000,19-1040,19-1041,6,Detailed
19-1042,"Medical Scientists, Except Epidemiologists",19-0000,19-1000,19-1040,19-1042,6,Detailed
19-1090,Miscellaneous Life Scientists,19-0000,19-1000,19-1090,NA,5,Broad
19-1099,"Life Scientists, All Other",19-0000,19-1000,19-1090,19-1099,6,Detailed
19-2000,Physical Scientists,19-0000,19-2000,NA,NA,3,Minor
19-2010,Astronomers and Physicists,19-0000,19-2000,19-2010,NA,5,Broad
19-2011,Astronomers,19-0000,19-2000,19-2010,19-2011,6,Detailed
19-2012,Physicists,19-0000,19-2000,19-2010,19-2012,6,Detailed
19-2020,Atmospheric and Space Scientists,19-0000,19-2000,19-2020,NA,5,Broad
19-2021,Atmospheric and Space Scientists,19-0000,19-2000,19-2020,19-2021,6,Detailed
19-2030,Chemists and Materials Scientists,19-0000,19-2000,19-2030,NA,5,Broad
19-2031,Chemists,19-0000,19-2000,19-2030,19-2031,6,Detailed
19-2032,Materials Scientists,19-0000,19-2000,19-2030,19-2032,6,Detailed
19-2040,Environmental Scientists and Geoscientists,19-0000,19-2000,19-2040,NA,5,Broad
19-2041,"Environmental Scientists and Specialists, Including Health",19-0000,19-2000,19-2040,19-2041,6,Detailed
19-2042,"Geoscientists, Except Hydrologists and Geographers",19-0000,19-2000,19-2040,19-2042,6,Detailed
19-2043,Hydrologists,19-0000,19-2000,19-2040,19-2043,6,Detailed
19-2090,Miscellaneous Physical Scientists,19-0000,19-2000,19-2090,NA,5,Broad
19-2099,"Physical Scientists, All Other",19-0000,19-2000,19-2090,19-2099,6,Detailed
19-3000,Social Scientists and Related Workers,19-0000,19-3000,NA,NA,3,Minor
19-3010,Economists,19-0000,19-3000,19-3010,NA,5,Broad
19-3011,Economists,19-0000,19-3000,19-3010,19-3011,6,Detailed
19-3020,Survey Researchers,19-0000,19-3000,19-3020,NA,5,Broad
19-3022,Survey Researchers,19-0000,19-3000,19-3020,19-3022,6,Detailed
19-3030,Psychologists,19-0000,19-3000,19-3030,NA,5,Broad
19-3032,Industrial-Organizational Psychologists,19-0000,19-3000,19-3030,19-3032,6,Detailed
19-3033,Clinical and Counseling Psychologists,19-0000,19-3000,19-3030,19-3033,6,Detailed
19-3034,School Psychologists,19-0000,19-3000,19-3030,19-3034,6,Detailed
19-3039,"Psychologists, All Other",19-0000,19-3000,19-3030,19-3039,6,Detailed
19-3040,Sociologists,19-0000,19-3000,19-3040,NA,5,Broad
19-3041,Sociologists,19-0000,19-3000,19-3040,19-3041,6,Detailed
19-3050,Urban and Regional Planners,19-0000,19-3000,19-3050,NA,5,Broad
19-3051,Urban and Regional Planners,19-0000,19-3000,19-3050,19-3051,6,Detailed
19-3090,Miscellaneous Social Scientists and Related Workers,19-0000,19-3000,19-3090,NA,5,Broad
19-3091,Anthropologists and Archeologists,19-0000,19-3000,19-3090,19-3091,6,Detailed
19-3092,Geographers,19-0000,19-3000,19-3090,19-3092,6,Detailed
19-3093,Historians,19-0000,19-3000,19-3090,19-3093,6,Detailed
19-3094,Political Scientists,19-0000,19-3000,19-3090,19-3094,6,Detailed
19-3099,"Social Scientists and Related Workers, All Other",19-0000,19-3000,19-3090,19-3099,6,Detailed
19-4000,"Life, Physical, and Social Science Technicians",19-0000,19-4000,NA,NA,3,Minor
19-4010,Agricultural and Food Science Technicians,19-0000,19-4000,19-4010,NA,5,Broad
19-4012,Agricultural Technicians,19-0000,19-4000,19-4010,19-4012,6,Detailed
19-4013,Food Science Technicians,19-0000,19-4000,19-4010,19-4013,6,Detailed
19-4020,Biological Technicians,19-0000,19-4000,19-4020,NA,5,Broad
19-4021,Biological Technicians,19-0000,19-4000,19-4020,19-4021,6,Detailed
19-4030,Chemical Technicians,19-0000,19-4000,19-4030,NA,5,Broad
19-4031,Chemical Technicians,19-0000,19-4000,19-4030,19-4031,6,Detailed
19-4040,Environmental Science and Geoscience Technicians,19-0000,19-4000,19-4040,NA,5,Broad
19-4042,"Environmental Science and Protection Technicians, Including Health",19-0000,19-4000,19-4040,19-4042,6,Detailed
19-4043,"Geological Technicians, Except Hydrologic Technicians",19-0000,19-4000,19-4040,19-4043,6,Detailed
19-4044,Hydrologic Technicians,19-0000,19-4000,19-4040,19-4044,6,Detailed
19-4050,Nuclear Technicians,19-0000,19-4000,19-4050,NA,5,Broad
19-4051,Nuclear Technicians,19-0000,19-4000,19-4050,19-4051,6,Detailed
19-4060,Social Science Research Assistants,19-0000,19-4000,19-4060,NA,5,Broad
19-4061,Social Science Research Assistants,19-0000,19-4000,19-4060,19-4061,6,Detailed
19-4070,Forest and Conservation Technicians,19-0000,19-4000,19-4070,NA,5,Broad
19-4071,Forest and Conservation Technicians,19-0000,19-4000,19-4070,19-4071,6,Detailed
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-0000,19-4000,19-4090,NA,5,Broad
19-4092,Forensic Science Technicians,19-0000,19-4000,19-4090,19-4092,6,Detailed
19-4099,"Life, Physical, and Social Science Technicians, All Other",19-0000,19-4000,19-4090,19-4099,6,Detailed
19-5000,Occupational Health and Safety Specialists and Technicians,19-0000,19-5000,NA,NA,3,Minor
19-5010,Occupational Health and Safety Specialists and Technicians,19-0000,19-5000,19-5010,NA,5,Broad
19-5011,Occupational Health and Safety Specialists,19-0000,19-5000,19-5010,19-5011,6,Detailed
19-5012,Occupational Health and Safety Technicians,19-0000,19-5000,19-5010,19-5012,6,Detailed
21-0000,Community and Social Service Occupations,21-0000,NA,NA,NA,2,Major
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-0000,21-1000,NA,NA,3,Minor
21-1010,Counselors,21-0000,21-1000,21-1010,NA,5,Broad
21-1011,Substance Abuse and Behavioral Disorder Counselors,21-0000,21-1000,21-1010,21-1011,6,Detailed
21-1012,"Educational, Guidance, and Career Counselors and Advisors",21-0000,21-1000,21-1010,21-1012,6,Detailed
21-1013,Marriage and Family Therapists,21-0000,21-1000,21-1010,21-1013,6,Detailed
21-1014,Mental Health Counselors,21-0000,21-1000,21-1010,21-1014,6,Detailed
21-1015,Rehabilitation Counselors,21-0000,21-1000,21-1010,21-1015,6,Detailed
21-1019,"Counselors, All Other",21-0000,21-1000,21-1010,21-1019,6,Detailed
21-1020,Social Workers,21-0000,21-1000,21-1020,NA,5,Broad
21-1021,"Child, Family, and School Social Workers",21-0000,21-1000,21-1020,21-1021,6,Detailed
21-1022,Healthcare Social Workers,21-0000,21-1000,21-1020,21-1022,6,Detailed
21-1023,Mental Health and Substance Abuse Social Workers,21-0000,21-1000,21-1020,21-1023,6,Detailed
